"model","window","coin","horizon","accuracy","sensitivity","specificity","precision","recall","f1_score","auc","TP","TN","FP","FN","total_observations"
"LASSO","Window 1","USDT","depeg_5d",0.976,0,0.994,0,0,0,0.584,0,160,1,3,164
"LASSO","Window 1","USDT","depeg_7d",0.878,0,0.906,0,0,0,0.497,0,144,15,5,164
"LASSO","Window 1","UST","depeg_1d",0.405,1,0.01,0.401,1,0.573,0.573,65,1,97,0,163
"LASSO","Window 1","UST","depeg_3d",0.578,1,0.014,0.575,1,0.73,0.572,92,1,68,0,161
"LASSO","Window 1","UST","depeg_5d",0.654,0.99,0,0.658,0.99,0.791,0.662,104,0,54,1,159
"LASSO","Window 1","UST","depeg_7d",0.701,0.982,0,0.71,0.982,0.824,0.72,110,0,45,2,157
"LASSO","Window 2","DAI","depeg_1d",0.853,0.5,0.856,0.031,0.5,0.058,0.675,5,928,156,5,1094
"LASSO","Window 2","DAI","depeg_3d",0.853,0.381,0.862,0.051,0.381,0.09,0.647,8,923,148,13,1092
"LASSO","Window 2","DAI","depeg_5d",0.845,0.321,0.859,0.057,0.321,0.096,0.58,9,912,150,19,1090
"LASSO","Window 2","DAI","depeg_7d",0.832,0.333,0.849,0.07,0.333,0.116,0.508,12,893,159,24,1088
"LASSO","Window 2","PAX","depeg_1d",0.987,0.143,0.996,0.25,0.143,0.182,0.481,1,670,3,6,680
"LASSO","Window 2","PAX","depeg_3d",0.951,0.053,0.977,0.062,0.053,0.057,0.644,1,644,15,18,678
"LASSO","Window 2","PAX","depeg_5d",0.957,0,0.994,0,0,0,0.56,0,647,4,25,676
"LASSO","Window 2","PAX","depeg_7d",0.941,0,0.986,0,0,0,0.582,0,634,9,31,674
"LASSO","Window 2","USDC","depeg_1d",0.541,0.903,0.507,0.146,0.903,0.251,0.798,84,508,493,9,1094
"LASSO","Window 2","USDC","depeg_3d",0.546,0.906,0.474,0.255,0.906,0.398,0.786,164,432,479,17,1092
"LASSO","Window 2","USDC","depeg_5d",0.563,0.876,0.47,0.33,0.876,0.479,0.767,219,395,445,31,1090
"LASSO","Window 2","USDC","depeg_7d",0.608,0.818,0.523,0.409,0.818,0.545,0.749,256,405,370,57,1088
"LASSO","Window 2","USDT","depeg_1d",0.996,0.5,0.999,0.75,0.5,0.6,0.839,3,1087,1,3,1094
"LASSO","Window 2","USDT","depeg_3d",0.986,0.4,0.992,0.308,0.4,0.348,0.634,4,1073,9,6,1092
"LASSO","Window 2","USDT","depeg_5d",0.98,0.214,0.99,0.214,0.214,0.214,0.587,3,1065,11,11,1090
"LASSO","Window 2","USDT","depeg_7d",0.982,0.167,0.995,0.375,0.167,0.231,0.595,3,1065,5,15,1088
"PCR","Window 1","DAI","depeg_1d",0.915,0.677,0.97,0.84,0.677,0.75,0.935,21,129,4,10,164
"PCR","Window 1","DAI","depeg_3d",0.823,0.429,0.93,0.625,0.429,0.508,0.577,15,120,9,20,164
