"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","parkinson_daily","parkinson_7d","rvol","close_dai","close_pax","close_usdc","close_usdt","close_wluna","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_big_players","big_players_vol_pct","big_player_7d_avg","gross_inflow","gross_outflow","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2020-11-25,1.01048833,1.01075222,0.99354158,0.99957196,NA,NA,NA,NA,3758726.64,NA,NA,NA,13328042.0724798,13333749.41,NA,NA,NA,0.000428039999999963,0.0172180099969992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,"Extreme Greed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010314153283626,NA,NA,1.0012392,0.99726133,1.00005264,1.00005305,0.40699868,4.34303039965033e+34,"UST",5.14880717097423,NA,NA,0.940020144455027,NA,NA,0.0119047619047619,NA,NA,30,0.58664637557036,NA,118452403.294719,112893348.014719,5559055.2799999,NA,NA
2020-11-26,0.99935995,1.0227736,0.98269107,1.00044145,NA,NA,NA,NA,16210369.84,NA,NA,NA,15646380.0067857,15639476.02,0.00086948422488637,0.99957196,NA,0.000441450000000065,0.0400648433748922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"Extreme Greed",-0.0110128733500565,0.0118934984876907,-0.0109210426804684,0.000869862335874276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0240096162653443,NA,NA,1.00443507,1.00262449,1.00023493,1.00203454,0.34942642,4.34303039965033e+34,"UST",5.31986299440483,NA,0.709612062921398,0.944811089192633,NA,0.695638938046486,0.000371057513914657,NA,0.0304411254427747,55,0.747495901103006,NA,248755721.314791,270047475.914791,-21291754.6,NA,1.57486766082818
2020-11-27,1.00010601,1.00360525,0.99469791,0.99951533,NA,NA,NA,NA,4086972.72,NA,NA,NA,17439301.8686989,17447758.34,-0.000926140080084276,1.00044145,NA,0.000484669999999965,0.00891165921387111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,"Extreme Greed",0.000746537821532776,-0.0187415377166561,0.0122183261520835,-0.0009257113447269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00535398069193564,NA,NA,1.00269751,0.99869085,1.00076925,1.00119989,0.38394561,4.34303039965033e+34,"UST",5.05398848831472,NA,0.667831651712695,0.938026178529416,NA,0.689497375474605,0,NA,0,36,0.64601047355919,NA,127585238.925979,133218004.565978,-5632765.63999997,NA,0.234717504885107
2020-11-28,0.99947553,1.00403307,0.99560121,0.99932532,NA,NA,NA,NA,3721757.38,NA,NA,NA,17435986.2692095,17447757.88,-0.000190120208504263,0.99951533,NA,0.000674680000000039,0.00843755264802052,0.000902658430343676,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,"Extreme Greed",-0.000630413169899959,0.00042628314269986,0.000908114906967133,-0.000190102136802718,-0.0108984930088208,-0.00664767275999663,0.00207301842364763,-0.000246745616993974,NA,NA,NA,NA,NA,NA,NA,NA,0.00506480415998159,NA,NA,1.00236246,1.00069141,1.00004266,1.00100063,0.3849632,4.34303039965033e+34,"UST",3.7516692570324,NA,0.555208279391151,0.95773781868816,NA,0.703545490169342,0.000789265982636148,NA,2.18522619784303,25,0.745063827771436,NA,93546345.1872795,77241727.1872795,16304618,NA,1.35959151088571
2020-11-29,0.99924555,1.00182822,0.99705886,0.99964099,NA,NA,NA,NA,856953.09,NA,NA,NA,17438703.3980373,17444966.35,0.000315833239454649,0.99932532,NA,0.000359010000000048,0.00477107286286844,0.000624528071067627,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,"Extreme Greed",-0.000230100680904077,-0.00219599340487862,0.00146409022544275,0.000315883120023408,-0.000114473268615536,-0.0204789994579447,0.0146208614676838,-0.000800106792856407,NA,NA,NA,NA,NA,NA,NA,NA,0.00286589277600148,NA,NA,1.00390913,1.00371065,1.00007259,1.00088981,0.38011206,4.34303039965033e+34,"UST",4.9553617114699,NA,0.84191481088752,0.899874485152398,NA,0.662422593451211,0,NA,0,28,0.719140787901256,NA,22615786.9275962,24251042.6275962,-1635255.7,NA,0.095577430310889
2020-11-30,0.99962877,1.00151232,0.98790167,0.99770842,NA,NA,NA,NA,2663923.71,NA,NA,NA,17428749.412264,17468780.46,-0.00193513522812437,0.99964099,NA,0.00229157999999995,0.0136419115316277,0.00118095479395814,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"Extreme Greed",0.00038350933862054,-0.000315323519235588,-0.00918420202394073,-0.0019332640611305,-0.000477189413150357,-0.00208541156993737,-0.00683246635151773,-0.00180778617972772,NA,NA,NA,NA,NA,NA,NA,NA,0.0082176519660146,NA,NA,1.00644711,1.00032731,1.00019227,1.00037696,0.39824063,4.34303039965033e+34,"UST",5.43391023766746,NA,0.740293011292202,0.879596973895053,NA,0.681761447864486,0.0303712035995501,NA,5.71936718634542,32,0.6927573102141,NA,104237867.751508,106271765.291508,-2033897.54000004,NA,0.808161388108568
2020-12-01,0.99687959,1.00645353,0.99109269,0.99996315,NA,NA,NA,NA,9102663.96,NA,NA,NA,17541897.7326911,17542544.13,0.00225735900866472,0.99770842,NA,3.68499999999772e-05,0.0153614060678135,0.00209814955298121,NA,NA,0.999452374285714,NA,0.000511055581463544,0.999452374285714,NA,NA,NA,95,"Extreme Greed",-0.00275020095710132,0.00493374859332726,0.00323009880122993,0.00225990876172017,-0.00259730220708851,0.00241073732760611,-0.00452843965507034,0.000638260621676294,NA,NA,NA,NA,NA,NA,NA,NA,0.00923663875615388,0.0113277120520907,NA,1.00468244,0.99782219,1.00022674,1.00132273,0.38902112,4.34303039965033e+34,"UST",5.65658776269518,5.04574108893696,0.71342032738938,0.905794694357302,0.923694483467141,0.707871600360586,0,0.0062051841429804,0,50,0.737418127946965,0.69636182915233,55281310.1249156,57122558.0049156,-1841247.87999999,-1510178.29714287,0.644629033521565
2020-12-02,1.00016824,1.00305456,0.99511825,0.99985995,NA,NA,NA,NA,2346373.47,NA,NA,NA,23546187.0213075,23549485.24,-0.000103209128938979,0.99996315,0.99957196,0.000140049999999947,0.00793742163590016,0.00210179459393856,0.00132846087067928,NA,0.999493515714286,NA,0.000366619972969395,0.999554268214286,NA,NA,NA,92,"Extreme Greed",0.00329894405802812,-0.00337717529789964,0.00406173916992565,-0.000103203803060113,0.000923386649057385,0.00122410207210983,-0.00194633444208099,0.000219038637061193,-0.0102129729692178,-0.00761577352756153,0.00158691898933907,0.000288113324027232,NA,NA,NA,NA,0.00477062337251664,0.0107875358747944,NA,1.0037464,1.00293455,1.00005216,1.00067079,0.40816157,4.34303039965033e+34,"UST",4.10322241045989,4.89637183743491,0.545444676831527,0.945244423780935,0.924440809085128,0.714633400222865,0,0.00450450387087156,0,31,0.820074876691427,0.729708757883911,71455714.5454746,42852712.9454746,28603001.6,1781814.03428571,2.80545307742457
2020-12-03,0.99983109,1.0023017,0.99549338,0.99979456,NA,NA,NA,NA,3813306.81,NA,NA,NA,23543823.6529768,23548661.59,-6.54012977705204e-05,0.99985995,1.00044145,0.000205440000000001,0.00680971898866912,0.0013520926253724,0.00127731570262406,NA,0.999401102857143,NA,0.000393692924424702,0.999614341160714,NA,NA,NA,92,"Extreme Greed",-0.000337093287425332,-0.0007505673470045,0.000376970274638216,-6.53991591522933e-05,0.000202395135145998,0.00078818800751254,0.00768468181656179,0.00209093153689127,0.000471441746289749,-0.0200160622057511,0.0130278074064517,-0.000646604556418636,NA,NA,NA,NA,0.0040933414334213,0.00603431002839261,NA,1.00366453,1.00145126,0.99998822,1.00083972,0.5024722,4.34303039965033e+34,"UST",5.71273138587084,4.95249589335863,0.87222219829396,0.914802093775672,0.920153809739848,0.676861205784439,0,0.00445149565459804,0,27,0.514071902514644,0.696362472371288,39452625.4384268,40952038.7384268,-1499413.30000001,4609291.36285714,0.0510937326632963
2020-12-04,0.99984938,1.00220003,0.9890702,1.00069198,NA,NA,NA,NA,4671524.02,NA,NA,NA,23564956.6790589,23548661.59,0.000897201797918327,0.99979456,0.99951533,0.000691980000000036,0.0131207507029286,0.000566988561686934,0.00126481022192707,NA,0.999569195714286,NA,0.00112326819446651,0.999883750870536,NA,NA,NA,92,"Extreme Greed",1.8293089885789e-05,-0.00010143652355379,-0.00645225787438182,0.000897604403848764,0.00297908596965053,-0.00422622592421124,-0.00204066685225979,0.000728856858375245,-0.000256602797537524,-0.00140017202978948,-0.00565770767528802,0.00117722056349051,NA,NA,NA,NA,0.00791995046971175,0.00642484895680585,NA,1.00360458,0.99876073,1.00005416,1.00023672,0.45094279,4.34303039965033e+34,"UST",5.28471411251219,4.98545669681541,0.654957346195585,0.915274565914344,0.916903579366266,0.693350718313559,0.000732600732600733,0.00455615290211243,2.11938402866758,24,0.662639504671207,0.698738048244434,41296125.8996032,39909390.3596032,1386735.54000001,5612077.24571428,0.654848813426284
