date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2020-11-25,1.01048833,1.01075222,0.99354158,0.99957196,NA,NA,NA,NA,0.99932532,1.00044145,0.99770842,1.00044145,0.99770842,1.00044145,3758726.64,NA,NA,NA,13328042.0724798,13333749.41,0.40699868
2020-11-26,0.99935995,1.0227736,0.98269107,1.00044145,NA,NA,NA,NA,0.99932532,0.99964099,0.99770842,0.99996315,0.99770842,0.99996315,16210369.84,NA,NA,NA,15646380.00678574,15639476.02,0.34942642
2020-11-27,1.00010601,1.00360525,0.99469791,0.99951533,NA,NA,NA,NA,0.99770842,0.99964099,0.99770842,0.99996315,0.99770842,1.00069198,4086972.72,NA,NA,NA,17439301.86869892,17447758.34,0.38394561
2020-11-28,0.99947553,1.00403307,0.99560121,0.99932532,NA,NA,NA,NA,0.99770842,0.99996315,0.99770842,0.99996315,0.99770842,1.00069198,3721757.38,NA,NA,NA,17435986.26920947,17447757.88,0.3849632
2020-11-29,0.99924555,1.00182822,0.99705886,0.99964099,NA,NA,NA,NA,0.99770842,0.99996315,0.99770842,1.00069198,0.99770842,1.00080809,856953.09,NA,NA,NA,17438703.39803731,17444966.35,0.38011206
2020-11-30,0.99962877000000006,1.00151232,0.98790167,0.99770842,NA,NA,NA,NA,0.99979456,0.99996315,0.99979456,1.00069198,0.99979456,1.00080809,2663923.71,NA,NA,NA,17428749.41226398,17468780.46,0.39824063
2020-12-01,0.99687959,1.00645353,0.99109269,0.99996315,NA,NA,NA,NA,0.99979456,1.00069198,0.99979456,1.00080809,0.99945298,1.00080809,9102663.96,NA,NA,NA,17541897.7326911,17542544.13,0.38902112
2020-12-02,1.00016824,1.00305456,0.99511825,0.99985995,NA,NA,NA,NA,0.99979456,1.00069198,0.99979456,1.00080809,0.99945298,1.00080809,2346373.47,NA,NA,NA,23546187.02130748,23549485.24,0.40816157
2020-12-03,0.99983109,1.0023017,0.99549338,0.99979456,NA,NA,NA,NA,1.00037538,1.00080809,0.99945298,1.00080809,0.99945298,1.00080809,3813306.81,NA,NA,NA,23543823.65297677,23548661.59,0.5024722
2020-12-04,0.99984938,1.00220003,0.9890702,1.00069198,NA,NA,NA,NA,1.00021393,1.00080809,0.99945298,1.00080809,0.99860359,1.00080809,4671524.02,NA,NA,NA,23564956.67905887,23548661.59,0.45094279
2020-12-05,1.00082893,1.00163035,0.99631894,1.00037538,NA,NA,NA,NA,0.99945298,1.00080809,0.99945298,1.00080809,0.99860359,1.00080809,3255119.79,NA,NA,NA,23557501.20537081,23548661.59,0.51001161
2020-12-06,1.00036972,1.00241182,0.99912218,1.00080809,NA,NA,NA,NA,0.99945298,1.00021393,0.99860359,1.00050771,0.99843893,1.00050771,3435633.89,NA,NA,NA,23567690.99809249,23548661.59,0.50165126
2020-12-07,1.00086418,1.00145348,0.99913592,1.00021393,NA,NA,NA,NA,0.99945298,1.00050771,0.99860359,1.00050771,0.99843893,1.00050771,2550538.3,NA,NA,NA,23553699.33678434,23548661.59,0.50830913
2020-12-08,1.00023956,1.00258062,0.99530759,0.99945298,NA,NA,NA,NA,0.99860359,1.00050771,0.99843893,1.00050771,0.99843893,1.00050771,5183315.45,NA,NA,NA,23535779.96553921,23548661.59,0.47270158
2020-12-09,0.99940162,1.00158036,0.99481523,0.99945449,NA,NA,NA,NA,0.99860359,1.00050771,0.99843893,1.00050771,0.99732706,1.00050771,7156472.21,NA,NA,NA,23535815.612126,23548661.59,0.49212076
2020-12-10,0.9994352,1.00112507,0.995817,1.00050771,NA,NA,NA,NA,0.99843893,0.99948541,0.99843893,0.99988421,0.99732706,0.99988421,6486806.76,NA,NA,NA,23560617.53504402,23548661.59,0.47554365
2020-12-11,1.00070103,1.00146993,0.9959596,0.99860359,NA,NA,NA,NA,0.99843893,0.99988421,0.99732706,0.99988421,0.99732706,0.99988421,15755473.56,NA,NA,NA,23515777.94511244,23548661.59,0.46411572
2020-12-12,0.99860725,1.00125162,0.9925069,0.99948541,NA,NA,NA,NA,0.99843893,0.99988421,0.99732706,0.99988421,0.99732706,0.99988421,3976835.13,NA,NA,NA,23536543.79584274,23548661.59,0.48255607
