"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","WLUNA_close","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","is_depegged","markout_1d","will_depeg_1d","markout_3d","will_depeg_3d","markout_7d","will_depeg_7d","markout_14d","will_depeg_14d","markout_30d","will_depeg_30d","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_shark_trades","shark_volume_pct","shark_pct_7d_avg","log_diff_shark_pct","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2020-12-25,0.99539844,1.00163829,0.99444913,0.99862475,0,0,1,1,10032425.38,213617676.15,0.983271605134179,1.01672839486582,163343755.419143,163568703.49,0.53819007,0.00290884115046571,0.99572413,0.99810532,0.00137525000000005,0.0071990605079636,0.00341368665246778,0.00234483618210465,0.00143427262608943,0.997760967142857,0.999051192,0.0008657212354341,0.997787534772151,50.1048661923016,0.483604970241013,0.00255298790940807,94,"Extreme Greed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.000746775386818565,0,-0.000380415415572285,0,0.0031714840307514,1,0.0105068945404097,1,0.000253326341355283,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",4.66488206722098,NA,NA,0.894909304924523,NA,NA,0,NA,NA,21,0.715850094792057,NA,NA,-2767116.92,NA,NA
2020-12-26,0.99835909,1.00171753,0.99184587,0.99787928,0,0,1,1,5776734.65,203184040.96,0.982990033086098,1.0170099669139,163215055.380152,163561925.01,0.5404179,-0.000746775386818565,0.99862475,0.99922402,0.00212071999999996,0.00989263951847969,0.00306575748455041,0.00231199635468835,0.00142960617400532,0.997568861428572,0.998965786333333,0.000311175081170852,0.997810471079113,48.0866468842518,0.360614094548354,0.00177975992925648,93,"Extreme Greed",0.00297433658827113,7.91103942322692e-05,-0.00261779101762601,-0.000746496619475849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00184426307530462,0,-0.00042347754111811,0,0.00171754973854053,1,0.00730184835017934,1,0.00144450180220353,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",5.29257528042716,NA,0.758247805118008,0.886176904391671,NA,0.688200716277445,0.0112554112554113,NA,4.73227948589759,23,0.731116038548687,NA,0.703048438168883,2442371.84,NA,0.632675599779521
2020-12-27,0.99799007,1.0025147,0.99136586,0.99972133,0,1,1,1,17643295.84,216740364.08,0.983352332221975,1.01664766777803,163677411.267888,163723036.01,0.55184387,0.00184426307530461,0.99787928,0.99740195,0.000278670000000036,0.0111519477132693,0.00188017459552659,0.00229602776128438,0.00146252954940909,0.997900201428572,0.998972653,0.00182496062113363,0.998288185809335,53.1124128538897,0.746378322925367,0.00359291094459108,91,"Extreme Greed",-0.000369626523859319,0.000795803184157128,-0.000483956242112472,0.00184596477441633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00147790310405848,0,-0.160594375808068,1,-0.000792574783742484,1,0.0022483578029972,1,-0.00187556995745181,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",5.17238082683345,NA,0.681717875180431,0.835584045072434,NA,0.664131497336934,0.000677048070412999,NA,0.057913548926371,40,0.891669844490904,NA,0.796576642604854,-2604578.61000001,NA,0.725814345568802
2020-12-28,0.99920879,1.00140546,0.99446867,0.99824493,0,1,1,1,17354534.57,230373141.27,0.983687417594272,1.01631258240573,166360375.961907,166652863.61,0.62001604,-0.00147790310405848,0.99972133,0.99808528,0.00175506999999996,0.00694898595678308,0.00174570024987214,0.00238441709326154,0.00148720117261311,0.997923008571429,0.99893664,0.000322591448244282,0.998277371857001,49.016481936935,0.450333808441597,0.00213507935157247,92,"Extreme Greed",0.00122117447521297,-0.00110645759109579,0.00312983341992432,-0.00147681154307264,0.00382796460882535,-0.000232449180831608,1.96490694300674e-05,-0.00038034306680254,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.000789837512364353,0,-0.000942778137570593,1,0.00540005652724728,1,0.0264689999443507,1,0.00232594983617526,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",5.4261525323883,NA,0.717372640550467,0.91893917008414,NA,0.741758815499347,0.00121506682867558,NA,0.941449901609072,39,0.696939322664525,NA,0.577026660679077,-3067803.35000001,NA,0.7783380205176
2020-12-29,0.99803641,1.00013787,0.92084635,0.99745679,1,1,1,1,16529542.27,246045730.45,0.984041402465376,1.01595859753462,172661991.092797,173102226.02,0.64797052,-0.000789837512364353,0.99824493,0.99636901,0.00254321000000001,0.079493689145171,0.00175350640564058,0.0022952157821861,0.00149187293754006,0.998078405714286,0.998863833333333,-0.000622812507240747,0.998072226392751,46.9356204546197,0.304214707951918,0.00143960967626693,91,"Extreme Greed",-0.00117330833328635,-0.0012658109533374,-0.0740318143959226,-0.000789525672822649,-0.000323210359110387,-0.00157695153842419,-0.0715832188725048,-0.000423387887160111,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.158326635191646,1,0.00434173695868807,1,-0.00530572836436726,1,0.00723776798899042,1,0.0187687928209576,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",5.15204844905257,NA,0.667556071445333,0.924058604251247,NA,0.695874264036402,0,NA,0,36,0.601091078159025,NA,0.621241250944467,7370083.83999999,NA,1.22448017105656
2020-12-30,0.99750524,0.99963868,0.79285628,0.85140012,0,0,0,0,1438686.18,244820492.92,0.984014824428396,1.0159851755716,154134019.571689,181035937.66,0.66907328,-0.158326635191646,0.99745679,0.99889763,0.14859988,0.242873350781299,0.0907559371930978,0.0597857791032419,0.0289411060870108,0.977007332857143,0.99398689,-0.128563224279821,0.961404199794563,4.9550148139002,-0.561572565391765,-0.0797748219387273,91,"Extreme Greed",-0.000532215052154285,-0.000499121186162157,-0.138991776423939,-0.146429069874796,-0.000485806436931774,-0.00286880581401957,-0.200238466957093,-0.148362554192977,NA,NA,NA,NA,NA,NA,NA,NA,1,0.15817369456644,0,0.160467662471304,0,0.1614068621592,0,0.167361042255947,1,0.185624056506814,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",5.48223967721191,NA,0.724679110774549,0.881084512222307,NA,0.669566845729952,0,NA,0,47,0.867427085056525,NA,0.892281119427447,-955752.999999985,NA,0.121934454575706
2020-12-31,0.8514484,1.00293851,0.84295969,0.99730425,0,0,0,0,6708078.04,242425907,0.983962365056742,1.01603763494326,181481833.026806,181972385.37,0.65252032,0.15817369456644,0.85140012,0.99572413,0.00269574999999999,0.160411248623477,0.158250700836251,0.0913793469178347,0.0415816059673779,0.977233064285714,0.99389826,0.0205387910497648,0.970379212345922,51.5626673563269,0.549058837665662,0.0779652688132173,95,"Extreme Greed",-0.146422128068219,0.00330102272553108,0.0631935588629002,0.171369637580037,-0.147877392071381,0.00153089838355777,-0.152351687459395,-0.000942333861891016,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00449467758389423,0,0.00162810645788668,0,0.00395797772351629,0,0.00918761594339291,1,0.0341297408497069,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",4.71807897126914,5.12976540062907,0.62089680517695,0.899329219090128,0.891440251433779,0.703390175748929,0.000827129859387924,0.0019963794305554,2.2269234554063,30,0.763962333960078,0.7525793996674,0.631116494526794,9769317.10999998,1455217.27285714,2.41783881631464
2021-01-01,0.99730347,1.00605505,0.98953036,1.0017969,0,0,0,0,2823174.92,242902708.45,0.983972865524836,1.01602713447516,182344045.969133,182016980.26,0.64944285,0.00449467758389422,0.99730425,0.99862475,0.00179689999999999,0.0164950500445749,0.158272170059283,0.0913890705624163,0.0415900235119374,0.977686228571429,0.993962825,0.024660950235334,0.978233634259442,52.3377047544264,0.582286634991734,0.0827702834433253,94,"Extreme Greed",0.171302300879302,0.00310740884802615,0.173876250239202,0.00450479379788062,-0.000734382025200879,0.00591636431085243,0.0745879157798693,0.00435117595419849,0.00191383663410199,0.00440953590142807,-0.00494622585672126,0.0031765185070769,NA,NA,NA,NA,0,-0.00220070967902944,0,0.00184815708092368,0,0.00733541050965813,0,-0.000719476398909751,1,0.0394286198359097,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",4.91283342086014,5.16518702257752,0.713565435288364,0.915233998348185,0.89434377906573,0.701894813228249,0,0.0019963794305554,0,30,0.63589292146851,0.741156946335465,0.605011629855726,5294174.66,2606830.35571428,0.433027449769607
2021-01-02,1.00183174,1.0074757,0.98937719,0.99959466,0,0,0,0,5756221.01,244845622.65,0.984015371326595,1.01598462867341,181961261.351607,182035047.2,0.63142637,-0.00220070967902944,1.0017969,0.99787928,0.000405340000000032,0.0181058490248438,0.090721201131462,0.0913939040959986,0.041592080637626,0.977931282857143,0.993956161666667,0.0221522488569595,0.983573890694582,51.899324595561,0.56507297349586,0.0803571771187078,94,"Extreme Greed",0.00454051363122211,0.00141209966591791,-0.000154790601877072,-0.00219828989289149,0.004337320573875,0.00783985269557605,0.247864480558822,0.174059806334065,0.00347835767188745,0.00574829712723507,-0.00248897542921664,0.0017190255719108,NA,NA,NA,NA,0,-0.000665861446978247,0,-0.00744675564402581,0,0.00558429861163873,0,0.000780611780039684,1,0.0235314033583964,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",5.0063631194031,5.12429957100266,0.702610804033983,0.88480656509674,0.894148016309312,0.676331007451007,0.000544365813826892,0.000466230081757628,1.86309641273877,35,0.811687326436302,0.75266713031941,0.821737673092056,-2868892.34,1848078.32999999,0.433012794491246
2021-01-03,0.99964803,1.00775652,0.9929371,0.99892929,0,0,0,0,9128282.87,249302381.5,0.984111196614492,1.01588880338551,182900503.092109,183096546.24,0.66189457,-0.000665861446978247,0.99959466,0.99972133,0.00107071000000003,0.0148353043086764,0.00350749513625486,0.0913915094403125,0.0415918883445751,0.977818134285714,0.993897405333333,0.0215900636059559,0.987412740520936,51.7582661192422,0.560402492722634,0.0796638114019964,93,"Extreme Greed",-0.00217971732458792,0.000278736251405329,0.00359813227551769,-0.000665639810440763,0.174055914603868,0.00480389371029352,0.177917653452682,0.00162943254277716,0.00166129909488986,0.00522867145987979,0.00158492445967423,-0.000792260779311365,NA,NA,NA,NA,0,0.00471472820693139,0,0.00160506113487362,0,0.00304093258673961,0,0.000803297714426839,1,0.0303493862743686,1,"0x0000000000085d4780b73119b644ae5ecd22b376","UST",5.14479227481165,5.12035834928526,0.706867680402917,0.903381840568694,0.90383341566592,0.703532180161137,0,0.000369508928841485,0,38,0.745773346554885,0.731824773471407,0.651107421760686,726285.379999995,2323916.04285714,0.225667343836763
