"date","token_address","shannon_entropy","gini_coefficient","pin_proxy","n_big_players","big_players_vol_pct","gross_inflow","gross_outflow","net_swap_flow"
2020-01-01,"0x0000000000085d4780b73119b644ae5ecd22b376",4.21650560324823,-0.923231321575824,0.00813008130081301,14,0.615393876181042,1542841.73381561,1957840.19381561,-414998.46
2020-01-01,"0x6b175474e89094c44da98b954eedeac495271d0f",5.08225778952352,-0.88170546756105,0.000237925291458482,46,0.737220101393153,15180568.8104533,15141334.5021756,39234.308277728
2020-01-01,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",3.85730856667886,-0.96517767092191,0.000734753857457752,15,0.65083455761585,5798168.57775284,5798168.57775284,0
2020-01-01,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",5.96010681112526,-0.933363160789803,0.000437254044599913,60,0.673686888228099,2.4068400728526e-05,2.5805967038526e-05,-1.73756630999998e-06
2020-01-01,"0xdac17f958d2ee523a2206206994597c13d831ec7",9.47479959734067,-0.884615847931052,0.000342914775592537,885,0.654248900696426,0.000281336804552688,0.000281336940402688,-1.35849999977587e-10
2020-01-02,"0x0000000000085d4780b73119b644ae5ecd22b376",4.80498632835863,-0.910825171617302,0.0048780487804878,13,0.501738855214859,10649097.4188222,11396096.1688222,-746998.749999996
2020-01-02,"0x6b175474e89094c44da98b954eedeac495271d0f",5.43342723558854,-0.827680969428008,0.000195809672997846,58,0.830459006048828,14830755.2037742,14849330.7767776,-18575.5730033517
2020-01-02,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",5.50261255596217,-0.85101380752139,0.000619195046439629,22,0.575403635468098,1616673.33199589,1616673.33199589,0
2020-01-02,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",6.11403759823677,-0.957603367639151,0,87,0.495836993568915,7.58979523636877e-05,7.57207527936877e-05,1.77199570000006e-07
2020-01-02,"0xdac17f958d2ee523a2206206994597c13d831ec7",9.312270012455,-0.903951854167732,1.78606511993427e-05,1046,0.687086620981945,0.000466767347458487,0.000466767347458487,0
2020-01-03,"0x0000000000085d4780b73119b644ae5ecd22b376",5.17250795534794,-0.912350723321321,0,25,0.60676157973354,15950144.3304071,15793062.4404071,157081.890000002
2020-01-03,"0x6b175474e89094c44da98b954eedeac495271d0f",5.1509547336825,-0.843420430823381,0.000138293458719403,72,0.873187553713181,27869222.5283731,27076369.2937522,792853.234620862
2020-01-03,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",4.32932254416383,-0.90538095234333,0.0150622134905043,22,0.729971132926449,2319329.07988433,2319329.12097714,-0.0410928060300648
2020-01-03,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",6.10659983713432,-0.955981997160161,0.000239750659314313,101,0.496845357369512,0.000105809137863875,0.000106438287923875,-6.29150059999986e-07
2020-01-03,"0xdac17f958d2ee523a2206206994597c13d831ec7",8.88966087799514,-0.91538737093857,0,1335,0.749478430829314,0.000726525648756159,0.000726525653756159,-4.99999998002099e-12
2020-01-04,"0x0000000000085d4780b73119b644ae5ecd22b376",4.2110005917233,-0.93262021184193,0.0055452865064695,17,0.704822927934977,7645655.65249015,7854283.75249015,-208628.1
2020-01-04,"0x6b175474e89094c44da98b954eedeac495271d0f",5.43110105847396,-0.856000237183171,0.00153879973620576,56,0.725683435246147,8474660.6663744,8876853.51837999,-402192.852005597
2020-01-04,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",5.14863900755378,-0.872333847819467,0.00397614314115308,11,0.48762361150098,745815.406838431,745815.406838431,0
2020-01-04,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",6.19280945293438,-0.954928879764026,0.000377216144851,61,0.533242993686306,5.95210291926681e-05,5.95824361526681e-05,-6.14069600000057e-08
2020-01-04,"0xdac17f958d2ee523a2206206994597c13d831ec7",8.54596250507335,-0.902433675899679,1.61872541560775e-05,1020,0.596333850313806,0.000439553300067291,0.000439553836572291,-5.36504999985605e-10
2020-01-05,"0x0000000000085d4780b73119b644ae5ecd22b376",6.02431585330603,-0.902163506127142,0,32,0.635977929082717,7307891.45278357,6999050.26278357,308841.190000001
2020-01-05,"0x6b175474e89094c44da98b954eedeac495271d0f",5.17934977676976,-0.846776357906145,0.000148126203525404,63,0.829363999518751,17187776.5789457,17074983.0934937,112793.485451967
2020-01-05,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",4.72589005472517,-0.919300731494575,0,12,0.52775807854856,1629721.38791216,1629721.38791216,0
2020-01-05,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",6.46321010188024,-0.911264972229155,0,87,0.640698300601524,2.1499464511854e-05,2.1505072751854e-05,-5.60824000000321e-09
2020-01-05,"0xdac17f958d2ee523a2206206994597c13d831ec7",9.35058149154657,-0.872582820263668,0,1036,0.707438198349356,0.000352050534998488,0.000352050534998488,0
2020-01-06,"0x0000000000085d4780b73119b644ae5ecd22b376",5.13591541819667,-0.916247473168009,0.00321543408360129,20,0.565631997279953,8354352.88058294,9317311.35058295,-962958.470000005
2020-01-06,"0x6b175474e89094c44da98b954eedeac495271d0f",5.85836979285693,-0.874811850145043,0,88,0.756987123366245,34179721.4778532,31975493.3744466,2204228.10340656
2020-01-06,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",4.14100513773936,-0.961180358350269,0.0075685903500473,31,0.583700203841566,12913574.5569327,12913574.5569327,0
2020-01-06,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",6.27645939865067,-0.944556544899804,0.000874890638670166,114,0.502199557215899,8.56212924089441e-05,8.94001393789442e-05,-3.77884697000004e-06
2020-01-06,"0xdac17f958d2ee523a2206206994597c13d831ec7",9.32073631416135,-0.907873482923095,0.000125019100140299,1385,0.787119845246344,0.0007110388142584,0.0007110389642584,-1.50000000051151e-10
2020-01-07,"0x0000000000085d4780b73119b644ae5ecd22b376",5.58433320329736,-0.906303255764242,0,26,0.598782361009606,13571065.1754813,13220562.2554813,350502.920000002
2020-01-07,"0x6b175474e89094c44da98b954eedeac495271d0f",5.53630485147646,-0.848343884053656,0.000103487529752665,91,0.802565961674788,34471717.9024419,32226053.6553987,2245664.24704324
2020-01-07,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",4.15635345786442,-0.957320477170276,0.000462748727441,25,0.576717357867986,11135947.5402842,11135947.5402842,0
2020-01-07,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",5.68215134586428,-0.966904274061047,0.000186811133943583,115,0.616969153374119,0.000200242879624769,0.000225780863464769,-2.55379838399999e-05
2020-01-07,"0xdac17f958d2ee523a2206206994597c13d831ec7",9.0446542831404,-0.912008511404584,0,1301,0.781026390601627,0.00076469924408008,0.00076469924408008,0
2020-01-08,"0x0000000000085d4780b73119b644ae5ecd22b376",5.05358986813418,-0.932562188872382,0.00364298724954463,32,0.538406724755787,13565738.1261996,18820411.3061996,-5254673.18
2020-01-08,"0x6b175474e89094c44da98b954eedeac495271d0f",5.64060446488398,-0.841582784651946,8.36470096194061e-05,110,0.887517748216201,66247265.7280663,67315580.2633138,-1068314.5352475
2020-01-08,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",4.04362055985216,-0.919555803593806,0,47,0.940763628629294,7896501.06286579,7896501.06286579,0
2020-01-08,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48",6.0483473577121,-0.959375458047078,0.000162946064852534,153,0.664912508049226,0.000202902130160679,0.000220463489650678,-1.75613594899998e-05
2020-01-08,"0xdac17f958d2ee523a2206206994597c13d831ec7",9.34173470560066,-0.909429879767343,1.33399143577498e-05,1474,0.767947449414831,0.000770569558556543,0.000770569558556543,0
2020-01-09,"0x0000000000085d4780b73119b644ae5ecd22b376",4.37276928392055,-0.94546842778312,0,18,0.688468297362409,17503618.4274971,17308257.5874971,195360.839999989
2020-01-09,"0x6b175474e89094c44da98b954eedeac495271d0f",4.7559904503637,-0.866652295087252,0.000287494010541447,102,0.914505374022181,58605042.2315168,59011261.1170801,-406218.885563314
