"date","token_address","shannon_entropy","gini_coefficient","pin_proxy","n_big_players","big_players_vol_pct","gross_inflow","gross_outflow","net_swap_flow"
"2018-01-01","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.43916609302757,-0.453986546721908,0.330708661417323,3,0.771596263795239,1825128.27378557,1825128.27378557,0
"2018-01-02","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.37926383459857,-0.524426554007556,0.33,5,0.923567999463942,4600563.75076631,4600563.75076631,0
"2018-01-03","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.66872078590605,-0.495131916330999,0.303896103896104,3,0.741966904533203,2909322.03280758,2909322.03280758,0
"2018-01-04","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",3.14408428266265,-0.5318891268956,0.15929203539823,3,0.559064694824165,4260718.85980232,4260718.85980232,0
"2018-01-05","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",3.14312059498866,-0.600315095434703,0.253333333333333,4,0.715190152710327,4300317.12184909,4300317.12184909,0
"2018-01-06","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",3.4234997365762,-0.530838649911406,0.192307692307692,2,0.378892735610487,1461460.11611243,1461460.11611243,0
"2018-01-07","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",3.18795069951675,-0.502010716020303,0.0163170163170163,4,0.660713265848742,4213092.84415429,4213092.84415429,0
"2018-01-08","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",3.11719795209593,-0.490462721790242,0.176630434782609,4,0.723378720138976,5969409.35837099,5969409.35837099,0
"2018-01-09","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.30120300864024,-0.53981384919661,0,3,0.853565746887525,4657742.25699823,4657742.25699823,0
"2018-01-10","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.32074332103875,-0.324722773845475,0.128440366972477,3,0.832155671036794,3304709.65509154,3304709.65509154,0
"2018-01-11","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.88933161409778,-0.28942690850645,0.514423076923077,3,0.947961931160531,9625632.32902679,9625632.32902679,0
"2018-01-12","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.1064742373136,-0.263151031358922,0.96875,3,0.878210347503966,8252977.02378446,8252977.02378446,0
"2018-01-13","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.23743204022106,-0.331970469207676,0.0677083333333333,4,0.884057043587601,10025047.4528197,10025047.4528197,0
"2018-01-14","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.56782378134593,-0.209541509470037,0.980645161290323,2,0.87901658922304,9504244.93803237,9504244.93803237,0
"2018-01-15","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.55014656086752,-0.179340257548015,0.991735537190083,3,0.96608950306789,7920727.80874796,7920727.80874796,0
"2018-01-16","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.09671506080626,-0.269096988624171,0.22972972972973,3,0.91021498467756,25920281.0016745,25920281.0016745,0
"2018-01-17","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.27869388086564,-0.331970456144415,0.283922462941847,6,0.939174690206563,22492446.3559257,22492446.3559257,0
