date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close,log_return,close_lag1d,close_lag7d,abs_peg_deviation,intraday_range,volatility_3d,volatility_7d,volatility_30d,ma_7d,ma_30d,dist_from_ma_7d,ema_7d,rsi_14,bb_pctb,dist_from_lower_band
2017-12-07,1.0070699453,1.076949954,1.0010700226,1.0316599607,1,1,1,1,1671609984,NA,0.995,1.005,839789136.949,814017347.72,1,0.021307911822600504,1.0099099874,1.0081000328,0.0316599607000001,0.07355130012849789,0.011554452851668402,0.009637979066690993,NA,1.0081862807,NA,0.023283078186406198,1.0108996220336495,NA,NA,NA
2017-12-08,1.0363299847,1.0576599836,0.9865630269,1.0176000595,1,1,1,1,1993030016,NA,0.995,1.005,828344053.04,814017347.72,1,-0.013722145243452239,1.0316599607,1.0097800493,0.017600059500000098,0.06986728826935573,0.017674278629341792,0.011623309704739907,NA,1.0093034250142856,NA,0.008220158854208846,1.0125747314002371,NA,NA,NA
2017-12-09,1.0205800533,1.0472600460000001,0.9935600162,1.0171300173,1,1,1,1,1598909952,NA,0.995,1.005,827961464.886,814017347.72,1,-4.620192267474785e-4,1.0176000595,0.999653995,0.017130017299999967,0.05279563958061953,0.01768646251573581,0.010605312343219968,NA,1.0117999996285714,NA,0.00526785696124257,1.0137135528751777,NA,NA,NA
2017-12-10,1.0220600367,1.0446599722,0.9715359807,1.0177500248,1,1,1,1,1649500032,NA,0.995,1.005,828466155.642,814017347.72,1,6.093799205445288e-4,1.0171300173,1.0006599426,0.017750024799999986,0.07184867572405097,0.007983017930143766,0.010615523946522746,NA,1.0142414399428572,NA,0.003459319170926853,1.0147226708563832,NA,NA,NA
2017-12-11,1.0127199888,1.0296299458,0.9999499917,1.0185600519,1,1,1,1,1542119936,NA,0.995,1.005,854589509.694,839017347.72,1,7.95583297449879e-4,1.0177500248,1.0036699772,0.018560051899999985,0.02913913032877705,6.787404927825953e-4,0.010628064046481683,NA,1.0163685934714286,NA,0.0021561650395811693,1.0156820161172875,59.4527194574178,NA,NA
2017-12-12,1.0188200474,1.0816700459,1.0008699894,1.0778800249,1,1,1,1,2240839936,NA,0.995,1.005,904360018.76,839017347.72,1,0.056606256071429134,1.0185600519,1.0019700527,0.07788002490000001,0.07496201305659801,0.03227619351224487,0.022906477317997453,NA,1.0272128752142857,NA,0.04932487793744278,1.0312315183129657,76.13915684110124,NA,NA
2017-12-13,1.0809500217,1.0880000591,1.0194599628,1.0271600485,1,1,1,1,2198139904,NA,0.995,1.005,913163058.884,889017347.72,1,-0.04819841253435964,1.0778800249,1.0099099874,0.02716004850000009,0.066727766914310635,0.05243926865848526,0.03196331023856058,NA,1.0296771696571427,NA,-0.002444573145174019,1.0302136508597242,55.21591600688209,NA,NA
2017-12-14,1.026720047,1.0514199734,1.0066900253,1.0081900358,1,1,1,1,2336179968,NA,0.995,1.005,1027363099.8,1019017347.72,1,-0.018641080143496466,1.0271600485,1.0316599607,0.008190035799999995,0.04436658418718334,0.05403674069105703,0.03159300267865431,NA,1.0263243232428572,NA,-0.01766915879530031,1.0247077470947932,49.71332807758623,NA,NA
2017-12-15,1.0098199844,1.0187300444,0.9955250025,1.016100049,1,1,1,1,2044499968,NA,0.995,1.005,1035423527.02,1019017347.72,1,0.007815138273846573,1.0081900358,1.0176000595,0.01610004900000006,0.022837359296299035,0.028021079164186467,0.03145586416507547,NA,1.0261100360285715,NA,-0.009755276410036743,1.022555822571095,51.86728654640527,NA,NA
2017-12-16,1.017359972,1.0193699598,1.0018199682,1.0074199438,1,1,1,1,1592729984,NA,0.995,1.005,1127320456.44,1119017347.72,1,-0.00857926629986829,1.016100049,1.0171300173,0.007419943799999995,0.01742073075682932,0.01335382649341024,0.03161588387353075,NA,1.0247228826714285,NA,-0.016885481103261962,1.0187718528783212,49.368293704119985,0.4197956251398333,0.0312999412277599
2017-12-17,1.0117399693,1.0163999796,1.0028599501,1.0092400312,1,1,1,1,1931020032,NA,0.995,1.005,1129357068.01,1119017347.72,1,0.0018050518349637492,1.0074199438,1.0177500248,0.009240031200000054,0.013416064644107337,0.008293890356309352,0.03163158831305124,NA,1.0235071693,NA,-0.0139394608342192,1.016388897458741,49.91323088389559,0.43869019913520113,0.03234295533983029
2017-12-18,1.0105199814,1.0183000565,0.9957399964,1.0130200386,1,1,1,1,2517230080,NA,0.995,1.005,1133586953.59,1119017347.72,1,0.0037384032437665724,1.0092400312,1.0185600519,0.013020038599999895,0.022270102505749192,0.006624410587384502,0.03168203967916526,NA,1.0227157388285715,NA,-0.009480347138958798,1.0155466827440556,51.09056998623459,0.4819181148316481,0.034933589862979335
2017-12-19,1.0131299496,1.0339699984,0.9967679977,1.0106799603,0,1,1,1,3073860096,NA,0.995,1.005,1181535443.89,1169049990,1,-0.002312674155513822,1.0130200386,1.0778800249,0.010679960300000069,0.036808883287798876,0.0030905515336979456,0.019303967690498216,NA,1.0131157296,NA,-0.0024042359908493225,1.0143300021330417,50.30227529377991,0.4314509312028004,0.029668108223907464
2017-12-20,1.008409977,1.0191899538,0.9890789986,1.000180006,1,1,1,1,3751790080,NA,0.995,1.005,1169260419,1169049990,1,-0.010443342555782043,1.0106799603,1.0271600485,1.800059999998993e-4,0.030105536022882625,0.007116239880843171,0.009243021748156012,NA,1.0092614378142857,NA,-0.008998096503075603,1.0107925030997813,46.81209669656255,0.28517521409113294,0.01994104321395996
2017-12-21,1.0023100376,1.0404100418,0.9938110113,1.0092099905,1,1,1,1,3106720000,NA,0.995,1.005,1229308443.91,1218089836.52,1,0.008987847360190294,1.000180006,1.0081900358,0.009209990500000043,0.046173770512233064,0.009758591912707804,0.007604398620073731,NA,1.0094071456285714,NA,-1.953177460900116e-4,1.010396874949836,50.02360622924188,0.4173249520648036,0.029199190491885362
2017-12-22,1.0063500404,1.0590900183,0.9630889893,1.017950058,1,1,1,1,4687949824,NA,0.995,1.005,1239954549.09,1218089836.52,1,0.008623020824751606,1.0092099905,1.016100049,0.017950058000000046,0.09430819149282868,0.011114783342543538,0.007745049321149645,NA,1.0096714326285714,NA,0.008199326141055745,1.012285170712377,52.982749796219046,0.5320754331937756,0.03636122108734185
2017-12-23,1.0123900175,1.0520000458,1.0072599649,1.0452599525,1,1,1,1,2353740032,NA,0.995,1.005,1273220582.52,1218089836.52,1,0.02647475486894043,1.017950058,1.0074199438,0.04525995249999992,0.04280282698384547,0.010203017862418553,0.011499742473514821,NA,1.0150771481571428,NA,0.029734492986718857,1.0205288661592826,60.794345362275685,0.8866823845204198,0.06353852363776077
2017-12-24,1.0507099628,1.0692199469,1.0218299627,1.0230300426,1,1,1,1,2611589888,NA,0.995,1.005,1246142445.46,1218089836.52,1,-0.021496759161037774,1.0452599525,1.0092400312,0.023030042600000078,0.04632315985516892,0.024245795900544643,0.015385260532003026,NA,1.0170471497857143,NA,0.0058826110623743716,1.021154160269462,53.06577136754604,0.5582909892839854,0.03925915801608493
2017-12-25,1.0264799595,1.0317200422,1.0089399815,1.0111299753,0,1,1,1,1708380032,NA,0.995,1.005,1231647176.4,1218089836.52,1,-0.01170036079105094,1.0230300426,1.0130200386,0.011129975300000039,0.022529310035775713,0.025346186547505176,0.016170823864071683,NA,1.0167771407428572,NA,-0.00555398544732362,1.0186481140270967,49.44225014765865,0.37723247839082946,0.025949343749450432
2017-12-26,1.0104899406,1.0173200369,0.9985799789,1.0040700436,0,1,1,1,1854780032,55900151872,0.995,1.005,1223047462.15,1218089836.52,1,-0.00700670952471955,1.0111299753,1.0106799603,0.004070043600000073,0.0186640943223534,0.007393255053271877,0.016365952727843296,NA,1.0158328669285714,1.0136333425733333,-0.011579486854109118,1.0150035964203226,47.375418275012656,0.2802800952142327,0.019547146822808902
2017-12-27,1.0046900511,1.0148400068,0.996457994,1.0036599636,1,1,1,1,1939949952,57055664832,0.995,1.005,1222548045.32,1218089836.52,1,-4.0850114729764215e-4,1.0040700436,1.000180006,0.0036599636000000935,0.018314980637531994,0.005672636221605719,0.0158250702366807,0.01748686536281306,1.0163300037285714,1.01371234257,-0.012466462745455922,1.012167688215242,47.25185807968366,0.2955101609730288,0.020724017083474638
2017-12-28,1.0033099651,1.0330599546,1.0005500317,1.0065900087,1,1,1,1,2211409920,58472310720,0.995,1.005,1276446548.54,1268089836.52,1,0.002915107290434133,1.0036599636,1.0092099905,0.0065900086999999274,0.032297084829985855,0.005050167913919775,0.015443831717140753,0.01749276635409785,1.0159557206142857,1.01392734447,-0.009218622154736178,1.0107732683364314,48.28961045930178,0.34757794368157857,0.02465323099102448
2017-12-29,1.0109499693,1.0151900053,1.000880003,1.0056400299,1,1,1,1,1929090048,58729280704,0.995,1.005,1375805863.2,1368089836.52,1,-9.442050385435354e-4,1.0065900087,1.017950058,0.005640029899999899,0.014229746106490002,0.0020907591667086254,0.014929976102333055,0.017396859808014142,1.0141971451714284,1.0144284784666666,-0.008437329282742314,1.0094899587273236,47.96015896813276,0.3439026732817221,0.024684352550364528
2017-12-30,1.0077199936,1.0347800255,0.9928420186,1.0213500261,1,1,1,1,2711059968,60396370688,0.995,1.005,1397298554.53,1368089836.52,1,0.015501122686830559,1.0056400299,1.0452599525,0.02135002609999992,0.04106134608929241,0.00859991161975793,0.011700768331178262,0.01733302828244171,1.0107814414,1.01487014491,0.010455855506568943,1.0124549755704928,53.598098378721396,0.5642533901300129,0.040565382035248336
2017-12-31,1.0243099928,1.0243099928,1.000270009,1.0122599602,1,1,1,1,1927010048,61573984768,0.995,1.005,1384862617.92,1368089836.52,1,-0.008939891623522265,1.0213500261,1.0230300426,0.012259960199999975,0.023748824160989303,0.01246156082037237,0.009126461760997502,0.017415029468408474,1.0092428582,1.0149528086066666,0.0029894707458035393,1.0124062217278695,50.20857982514189,0.4399780994801782,0.03168469735083398
2018-01-01,1.0125499964,1.0153599977,1.0015300512,1.0072799921,0,1,1,1,1685299968,62579334720,0.995,1.005,1378049530.53,1368089836.52,1,-0.004931794677434517,1.0122599602,1.0111299753,0.007279992099999966,0.013729992264779368,0.013108089955335437,0.008176187530810489,0.017336660489010967,1.0086928605999999,1.01520700851,-0.0014006924755663197,1.0111246643209022,48.40264552831406,0.36122794750697507,0.014926343587026075
2018-01-02,1.0057400465,1.0098799467,0.9932500124,1.0048999786,1,1,1,1,2635859968,64268445696,0.995,1.005,1374793476.72,1368089836.52,1,-0.002365608091280039,1.0072799921,1.0040700436,0.00489997859999991,0.01654884531211585,0.0033133909792061574,0.007741488787539175,0.01734254070573685,1.008811422742857,1.0153483430433332,-0.0038772797915217223,1.0095684928906767,47.52288524570786,0.3230521869488915,0.012803116813365769
2018-01-03,1.0066000223,1.0232800245,1.0026400089,1.0134400129,0,1,1,1,2471689984,66071625664,0.995,1.005,1386476963.92,1368089836.52,1,0.008462484319936845,1.0048999786,1.0036599636,0.013440012900000076,0.020366292367850862,0.007109144448293754,0.008343605044467054,0.01740214821215331,1.0102085726428571,1.0156740109,0.003198785225796506,1.0105363728930077,50.96678498895881,0.5336693518218091,0.021072131992838295
