"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","WLUNA_close","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","parkinson_daily","parkinson_7d","rvol","close_dai","close_pax","close_usdc","close_ust","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_big_players","big_players_vol_pct","big_player_7d_avg","gross_inflow","gross_outflow","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2017-12-27,1.0046900511,1.0148400068,0.996457994,1.0036599636,1,1,1,1,1939949952,57055664832,0.995,1.005,1222548045.32,1218089836.52,1,-0.000408501147297642,1.0040700436,1.000180006,0.00365996360000009,0.018314980637532,0.00567263622160571,0.0158250702366807,0.0174868653628131,1.01633000372857,1.01371234257,-0.0124664627454561,1.01216768821524,47.2518580796837,0.295510160973029,0.0207240170834746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109778174372812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-28,1.0033099651,1.0330599546,1.0005500317,1.0065900087,1,1,1,1,2211409920,58472310720,0.995,1.005,1276446548.54,1268089836.52,1,0.00291510729043413,1.0036599636,1.0092099905,0.00659000869999992,0.0322970848299858,0.00505016791391977,0.0154438317171407,0.0174927663540979,1.01595572061429,1.01392734447,-0.00921862215473639,1.01077326833643,48.2896104593018,0.347577943681579,0.0246532309910245,NA,NA,-0.00137364354159689,0.0179535174785347,0.00410658324248437,0.00291936034739309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0192031530663285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-29,1.0109499693,1.0151900053,1.000880003,1.0056400299,1,1,1,1,1929090048,58729280704,0.995,1.005,1375805863.2,1368089836.52,1,-0.000944205038543535,1.0065900087,1.017950058,0.00564002989999989,0.01422974610649,0.00209075916670862,0.014929976102333,0.0173968598080141,1.01419714517143,1.01442847846667,-0.00843732928274253,1.00948995872732,47.9601589681328,0.343902673281722,0.0246843525503645,NA,NA,0.00761479947947942,-0.0172980757026046,0.000329789905097865,-0.000943759417229778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00852567273052888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-30,1.0077199936,1.0347800255,0.9928420186,1.0213500261,1,1,1,1,2711059968,60396370688,0.995,1.005,1397298554.53,1368089836.52,1,0.0155011226868305,1.0056400299,1.0452599525,0.0213500260999999,0.0410613460892924,0.00859991161975793,0.0117007683311783,0.0173330282824417,1.0107814414,1.01487014491,0.0104558555065687,1.01245497557049,53.5980983787214,0.564253390130013,0.0405653820352483,NA,NA,-0.00319499065046347,0.0192969001839324,-0.00803091716879874,0.0156218882829895,0.0030157982520904,0.0196484357794238,-0.0036288287331458,0.0176255536153378,NA,NA,NA,NA,NA,NA,NA,NA,0.0248467731032515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-31,1.0243099928,1.0243099928,1.000270009,1.0122599602,1,1,1,1,1927010048,61573984768,0.995,1.005,1384862617.92,1368089836.52,1,-0.00893989162352226,1.0213500261,1.0230300426,0.0122599602,0.0237488241609893,0.0124615608203724,0.0091264617609975,0.0174150294684085,1.0092428582,1.01495280860667,0.00298947074580331,1.01240622172787,50.2085798251419,0.439978099480178,0.031684697350834,NA,NA,0.0164629056735625,-0.0101181240862675,0.00748154314668737,-0.00890004960856577,0.0209307476557426,-0.00846994577714338,-0.000279868763308278,0.0056328310940844,NA,NA,NA,NA,NA,NA,NA,NA,0.0142628695319066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-01,1.0125499964,1.0153599977,1.0015300512,1.0072799921,0,1,1,1,1685299968,62579334720,0.995,1.005,1378049530.53,1368089836.52,1,-0.00493179467743451,1.0122599602,1.0111299753,0.00727999209999996,0.0137299922647794,0.0131080899553354,0.00817618753081048,0.017336660489011,1.0086928606,1.01520700851,-0.00140069247556653,1.0111246643209,48.4026455283141,0.361227947506975,0.0149263435870261,NA,NA,-0.0114808959032543,-0.00873758448410192,0.001259702069104,-0.00491965334578291,0.00158269662059336,0.000167448851064886,0.00064947665859204,0.00163076463867806,NA,NA,NA,NA,NA,NA,NA,NA,0.00823630372075173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-02,1.0057400465,1.0098799467,0.9932500124,1.0048999786,1,1,1,1,2635859968,64268445696,0.995,1.005,1374793476.72,1368089836.52,1,-0.00236560809128003,1.0072799921,1.0040700436,0.00489997859999991,0.0165488453121159,0.00331339097920615,0.00774148878753917,0.0173425407057369,1.00881142274286,1.01534834304333,-0.00387727979152172,1.00956849289068,47.5228852457079,0.323052186948891,0.0128031168133658,NA,NA,-0.00672554434271099,-0.00539715077648676,-0.0082673892711249,-0.00236281224551889,-0.00196477901855152,-0.0240631614317917,0.00041093526699778,-0.0161061801337727,NA,NA,NA,NA,NA,NA,NA,NA,0.00997191698620888,0.0148806109089847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-03,1.0066000223,1.0232800245,1.0026400089,1.0134400129,0,1,1,1,2471689984,66071625664,0.995,1.005,1386476963.92,1368089836.52,1,0.00846248431993684,1.0048999786,1.0036599636,0.0134400129000001,0.0203662923678509,0.00710914444829375,0.00834360504446705,0.0174021482121533,1.01020857264286,1.0156740109,0.0031987852257965,1.01053637289301,50.9667849889588,0.533669351821809,0.0210721319928383,NA,NA,0.000855067671803281,0.0132689809752018,0.00945380959755632,0.00849839235930517,-0.0172896590138585,-0.00100552401835351,0.00236936015143485,0.00116576052239283,0.00190105515418288,0.00831659930969122,0.00620398946791934,0.00974438520484587,NA,NA,NA,NA,0.0122374242967594,0.0150203202595912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-04,1.0132000446,1.0161800385,0.9938219786,1.0025299788,0,1,1,1,3200130048,68457609728,0.995,1.005,1471804103.81,1468089836.52,1,-0.0108237133056907,1.0134400129,1.0065900087,0.00252997879999994,0.0223016372306012,0.00966733803362863,0.00946440339672922,0.0175180744555937,1.00962856837143,1.01569267510333,-0.00703089214569168,1.00853477436976,46.7461519541178,0.276657201348401,0.0111341645797505,NA,NA,0.00655674761949586,-0.00693845851576091,-0.00879481191826202,-0.0107653476881978,0.000641991212593155,0.00080763552026614,-0.0076962968717359,-0.0047156831638213,0.00985745167896777,-0.0163397255162563,-0.00672435449186746,-0.00403344943314455,NA,NA,NA,NA,0.0133611181468095,0.0140866123644755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-05,1.0017499924,1.0050100088,0.9859150052,0.9986339808,1,1,1,1,3096620032,70272739712,0.995,1.005,1466084425.8,1468089836.52,1,-0.00389373684613714,1.0025299788,1.0056400299,0.00136601920000001,0.0191211234217197,0.00976949498941871,0.00954873881807844,0.0174674804939524,1.00862770421429,1.01531680821667,-0.00990823806695927,1.00605957597732,45.3033781676792,0.201199433329376,0.00841009622951031,NA,NA,-0.0113008800789388,-0.010992175871205,-0.00795612651990107,-0.00388616608219871,-0.00396728171845743,-0.00482229389336175,-0.00738485487886013,-0.00623544425658118,-0.00910032858141357,-0.0100276760476889,-0.014951840135825,-0.00696675638567867,NA,NA,NA,NA,0.0115203434868631,0.0143877912228001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-06,1.0002800226,1.0120899677,0.9968469739,1.0089900494,0,1,1,1,2620080128,71221209856,0.995,1.005,1481287964.15,1468089836.52,1,0.0103168325342008,0.9986339808,1.0213500261,0.00899004939999992,0.0151071795099112,0.0107771945503141,0.00815503629696989,0.0171086076310942,1.00686199325714,1.01456114450667,0.00211355295671953,1.00679219433299,49.7435996348309,0.451691951020987,0.018885326678188,NA,NA,-0.00146740185790095,0.00704466506602606,0.0110881451670191,0.0103702345394894,-0.00627856105701189,-0.0109354785904941,-0.00577778160514023,-0.00439094908761931,-0.00738297448423291,-0.0219274215203722,0.00403382937564162,-0.0121016070731366,NA,NA,NA,NA,0.00911380164136922,0.0114315290853846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-01-07,1.0072699785,1.0157200098,0.9982079864,1.0015699863,1,1,1,1,2338180096,71566359936,0.995,1.005,1470394737.56,1468089836.52,1,-0.00738112431951166,1.0089900494,1.0122599602,0.00156998630000004,0.0174845728601483,0.00937478737802196,0.00794420545601028,0.0169813949732583,1.00533485412857,1.01402680873333,-0.00374488938994831,1.00548664232474,46.8114026322208,0.290291519886055,0.0123797408138582,NA,NA,0.00698799910232275,0.00358667926355355,0.00136531738133812,-0.00735395071974421,-0.00585280876328922,-0.000452703932935834,0.00441327309562882,-0.000957569868532988,-0.016635602912962,-0.00838611656664471,-0.00206146598563079,-0.0105605025589354,NA,NA,NA,NA,0.0104445709719819,0.0108260177094319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
