timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,circulatingSupply,timestamp
2018-09-27T00:00:00Z,2018-09-27T23:59:59Z,2018-09-27T22:34:23Z,2018-09-27T21:59:28Z,2781,0.997747,1.00347,0.993784,0.997747,18084600,0,0,2018-09-27T23:59:59Z
2018-09-28T00:00:00Z,2018-09-28T23:59:59Z,2018-09-28T19:29:21Z,2018-09-28T19:54:25Z,2781,0.99694,1.00945,0.988285,1.00001,14445200,0,0,2018-09-28T23:59:59Z
2018-09-29T00:00:00Z,2018-09-29T23:59:59Z,2018-09-29T01:39:28Z,2018-09-29T08:19:27Z,2781,1.00004,1.00576,0.990617,0.998921,12641400,0,0,2018-09-29T23:59:59Z
2018-09-30T00:00:00Z,2018-09-30T23:59:59Z,2018-09-30T20:29:30Z,2018-09-30T10:39:23Z,2781,1.00111,1.00863,0.988652,1.00214,24168200,0,0,2018-09-30T23:59:59Z
2018-10-01T00:00:00Z,2018-10-01T23:59:59Z,2018-10-01T11:04:21Z,2018-10-01T21:34:28Z,2781,1.00019,1.0088,0.993398,0.997613,10192600,0,0,2018-10-01T23:59:59Z
2018-10-02T00:00:00Z,2018-10-02T23:59:59Z,2018-10-02T23:39:23Z,2018-10-02T22:54:25Z,2781,0.997961,1.00607,0.995453,1.00471,3671040,0,0,2018-10-02T23:59:59Z
2018-10-03T00:00:00Z,2018-10-03T23:59:59Z,2018-10-03T23:54:26Z,2018-10-03T18:09:30Z,2781,1.00376,1.01298,0.995236,1.00466,2526330,0,0,2018-10-03T23:59:59Z
2018-10-04T00:00:00Z,2018-10-04T23:59:59Z,2018-10-04T07:19:24Z,2018-10-04T01:09:25Z,2781,1.00572,1.01114,0.995924,1.00422,3735650,0,0,2018-10-04T23:59:59Z
2018-10-05T00:00:00Z,2018-10-05T23:59:59Z,2018-10-05T15:24:24Z,2018-10-05T22:14:27Z,2781,1.00403,1.00911,0.994087,1.00266,11916300,0,0,2018-10-05T23:59:59Z
2018-10-06T00:00:00Z,2018-10-06T23:59:59Z,2018-10-06T11:39:26Z,2018-10-06T05:54:27Z,2781,1.00308,1.01135,0.998741,1.00323,12614100,0,0,2018-10-06T23:59:59Z
2018-10-07T00:00:00Z,2018-10-07T23:59:59Z,2018-10-07T08:14:23Z,2018-10-07T23:44:29Z,2781,1.00464,1.00834,0.999669,1.00538,12880100,0,0,2018-10-07T23:59:59Z
2018-10-08T00:00:00Z,2018-10-08T23:59:59Z,2018-10-08T23:49:25Z,2018-10-08T12:24:24Z,2781,1.00304,1.02298,0.996648,1.02114,14762500,0,0,2018-10-08T23:59:59Z
2018-10-09T00:00:00Z,2018-10-09T23:59:59Z,2018-10-09T01:09:24Z,2018-10-09T18:04:28Z,2781,1.02242,1.02366,1.00074,1.0056,12885600,13363538.6172,13289119.55,2018-10-09T23:59:59Z
2018-10-10T00:00:00Z,2018-10-10T23:59:59Z,2018-10-10T03:29:28Z,2018-10-10T06:24:23Z,2781,1.00457,1.01098,1.00365,1.00565,4300970,13364203.0731,13289119.55,2018-10-10T23:59:59Z
2018-10-11T00:00:00Z,2018-10-11T23:59:59Z,2018-10-11T01:19:25Z,2018-10-11T20:54:24Z,2781,1.00598,1.04661,1.00235,1.01184,52747000,13446462.7231,13289119.55,2018-10-11T23:59:59Z
2018-10-12T00:00:00Z,2018-10-12T23:59:59Z,2018-10-12T22:24:29Z,2018-10-12T06:19:24Z,2781,1.00796,1.01666,1.00211,1.01321,31630200,21357075.3362,21078626.68,2018-10-12T23:59:59Z
2018-10-13T00:00:00Z,2018-10-13T23:59:59Z,2018-10-13T06:14:22Z,2018-10-13T22:44:27Z,2781,1.0135,1.01524,1.0042,1.00969,16169700,23975534.5129,23745441.19,2018-10-13T23:59:59Z
2018-10-14T00:00:00Z,2018-10-14T23:59:59Z,2018-10-14T13:19:27Z,2018-10-14T02:34:26Z,2781,1.00883,1.02989,1.00675,1.01878,25629000,24191380.5733,23745441.19,2018-10-14T23:59:59Z
2018-10-15T00:00:00Z,2018-10-15T23:59:59Z,2018-10-15T07:14:29Z,2018-10-15T05:54:27Z,2781,1.01815,1.10002,0.994573,1.02444,26404800,36458480.6854,35588693.03,2018-10-15T23:59:59Z
2018-10-16T00:00:00Z,2018-10-16T23:59:59Z,2018-10-16T06:34:27Z,2018-10-16T05:59:26Z,2781,1.02743,1.0318,1.01406,1.01665,18049200,50848167.1131,50015410.53,2018-10-16T23:59:59Z
2018-10-17T00:00:00Z,2018-10-17T23:59:59Z,2018-10-17T01:29:24Z,2018-10-17T15:04:25Z,2781,1.01828,1.02228,1.00758,1.01022,16751300,63840658.8446,63194807.91,2018-10-17T23:59:59Z
2018-10-18T00:00:00Z,2018-10-18T23:59:59Z,2018-10-18T17:54:21Z,2018-10-18T03:34:28Z,2781,1.01161,1.01993,1.00648,1.00949,20209700,41925778.4233,41531643.13,2018-10-18T23:59:59Z
2018-10-19T00:00:00Z,2018-10-19T23:59:59Z,2018-10-19T08:29:26Z,2018-10-19T01:14:33Z,2781,1.01032,1.01865,1.00623,1.01144,17583200,42006765.1274,41531643.13,2018-10-19T23:59:59Z
2018-10-20T00:00:00Z,2018-10-20T23:59:59Z,2018-10-20T18:49:23Z,2018-10-20T06:39:26Z,2781,1.01134,1.01646,0.994787,1.00758,10019600,41846452.9849,41531643.13,2018-10-20T23:59:59Z
2018-10-21T00:00:00Z,2018-10-21T23:59:59Z,2018-10-21T10:59:29Z,2018-10-21T04:34:28Z,2781,1.00952,1.01738,0.992407,1.01077,14796700,41978938.9265,41531643.13,2018-10-21T23:59:59Z
2018-10-22T00:00:00Z,2018-10-22T23:59:59Z,2018-10-22T12:24:27Z,2018-10-22T06:19:26Z,2781,1.00966,1.02239,1.00331,1.00669,19751400,41809489.8225,41531643.13,2018-10-22T23:59:59Z
