date,open,high,low,close,next_close,depeg,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply
2017-12-26,1.0104899406,1.0173200369,0.9985799789,1.0040700436,1.0036599636,1,1854780032,55900151872,0.9973846548936165,1.0026153451063835,1223047462.15,1218089836.52
2017-12-27,1.0046900511,1.0148400068,0.996457994,1.0036599636,1.0065900087,1,1939949952,57055664832,0.9974024310963171,1.0025975689036828,1222548045.32,1218089836.52
2017-12-28,1.0033099651,1.0330599546,1.0005500317,1.0065900087,1.0056400299,1,2211409920,58472310720,0.997423580478758,1.002576419521242,1276446548.54,1268089836.52
2017-12-29,1.0109499693,1.0151900053,1.000880003,1.0056400299,1.0213500261,1,1929090048,58729280704,0.9974273436808468,1.002572656319153,1375805863.2,1368089836.52
2017-12-30,1.0077199936,1.0347800255,0.9928420186,1.0213500261,1.0122599602,1,2711059968,60396370688,0.997451235442285,1.002548764557715,1397298554.53,1368089836.52
2017-12-31,1.0243099928,1.0243099928,1.000270009,1.0122599602,1.0072799921,1,1927010048,61573984768,0.9974675886769573,1.0025324113230427,1384862617.92,1368089836.52
2018-01-01,1.0125499964,1.0153599977,1.0015300512,1.0072799921,1.0048999786,1,1685299968,62579334720,0.9974812231906754,1.0025187768093247,1378049530.53,1368089836.52
2018-01-02,1.0057400465,1.0098799467,0.9932500124,1.0048999786,1.0134400129,1,2635859968,64268445696,0.9975034856442602,1.0024965143557398,1374793476.72,1368089836.52
2018-01-03,1.0066000223,1.0232800245,1.0026400089,1.0134400129,1.0025299788,1,2471689984,66071625664,0.9975264064727152,1.0024735935272848,1386476963.92,1368089836.52
2018-01-04,1.0132000446,1.0161800385,0.9938219786,1.0025299788,0.9986339808,0,3200130048,68457609728,0.9975554847199939,1.002444515280006,1471804103.81,1468089836.52
2018-01-05,1.0017499924,1.0050100088,0.9859150052,0.9986339808,1.0089900494,1,3096620032,70272739712,0.997576715684108,1.002423284315892,1466084425.8,1468089836.52
2018-01-06,1.0002800226,1.0120899677,0.9968469739,1.0089900494,1.0015699863,0,2620080128,71221209856,0.9975875209476498,1.0024124790523503,1481287964.15,1468089836.52
2018-01-07,1.0072699785,1.0157200098,0.9982079864,1.0015699863,1.0093200207,1,2338180096,71566359936,0.9975914054986789,1.002408594501321,1470394737.56,1468089836.52
2018-01-08,1.0051399469,1.0423599482,0.9976170063,1.0093200207,1.0059900284,1,3815749888,73783199872,0.9976157735333289,1.0023842264666711,1481772433.8,1468089836.52
2018-01-09,1.0085799694,1.0142999887,1.0006599426,1.0059900284,1.0012799501,0,2766180096,74899879936,0.9976276816973246,1.0023723183026754,1476883694.64,1468089836.52
2018-01-10,1.0051499605,1.0138200521,0.9964460135,1.0012799501,1.0017100573,0,3189860096,76547620096,0.9976448272430369,1.002355172756963,1469968991.51,1468089836.52
2018-01-11,0.9999759793,1.0235199928,0.9901980162,1.0017100573,1.0060800314,1,3841110016,78147890176,0.9976610142235864,1.0023389857764136,1470600270.14,1468089836.52
2018-01-12,1.0062500238,1.0190999508,0.9977110028,1.0060800314,1.0020200014,0,2668219904,78617970176,0.9976656853743521,1.002334314625648,1477015822.73,1468089836.52
2018-01-13,1.0041300058,1.01256001,0.9965760112,1.0020200014,1.016119957,1,2759879936,79041670144,0.9976698638520498,1.0023301361479502,1471055377.99,1468089836.52
2018-01-14,1.0043599606,1.0403100252,1.0006400347,1.016119957,1.0066200495,1,2960410112,79957580288,0.9976787952405017,1.0023212047594983,1491755444.68,1468089836.52
2018-01-15,1.0153900385,1.0240000486,1.0017199516,1.0066200495,1.0341500044,1,2557179904,80922030208,0.9976880536951979,1.0023119463048022,1477808591.24,1468089836.52
2018-01-16,1.0067700148,1.0464500189,0.9990010262,1.0341500044,1.0145299435,1,5552929792,84543939968,0.9977215517327664,1.0022784482672336,1673348624.61,1618090823
2018-01-17,1.0328700542,1.0698900223,0.997739017,1.0145299435,1.0231100321,1,5588839936,87615549824,0.9977484948927607,1.0022515051072391,1641601682.66,1618090823
2018-01-18,1.0172599554,1.0398999453,1.0012700558,1.0231100321,1.0045399666,1,4302300160,88843989888,0.9977589202297618,1.0022410797702384,1655484901.92,1618090823
2018-01-19,1.0233199596,1.0422199965,1.0024900436,1.0045399666,1.0011099577,0,2876989952,87969189760,0.9977515159939083,1.0022484840060917,1625436955.34,1618090823
