"date","open","high","low","close","next_close","depeg","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","Intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band"
2017-11-27,1.0067499876,1.0201699734,0.9981259704,1.0012899637,1.0001399517,NA,784436992,NA,NA,NA,675838547.862,674967839.35,NA,NA,NA,0.0012899636999999,0.0220156036704316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-28,1.0028699636,1.0064799786,0.9960479736,1.0001399517,0.99060601,NA,794764032,NA,NA,NA,675062334.847,674967839.35,-0.00114919050396283,1.0012899637,NA,0.000139951700000029,0.0104305452274636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-29,1.0001300573,1.0484499931,0.9556180239,0.99060601,1.0081000328,NA,1672120064,NA,NA,NA,732076009.362,739018347.72,-0.00957833372399573,1.0001399517,NA,0.00939398999999996,0.093712301624336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-30,1.0038599968,1.0286699533,0.9893190265,1.0081000328,1.0097800493,NA,1043969984,NA,NA,NA,770205888.237,764017347.72,0.0175057954305343,0.99060601,NA,0.00810003280000005,0.0390347440925111,0.0138600685886914,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-01,1.0072000027,1.019209981,0.9930430055,1.0097800493,0.999653995,NA,749395968,NA,NA,NA,771489437.381,764017347.72,0.00166513055268146,1.0081000328,NA,0.00978004929999998,0.0259135398031872,0.0136069357606861,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-02,1.008949995,1.0167700052,0.995611012,0.999653995,1.0006599426,NA,679950016,NA,NA,NA,813735697.718,814017347.72,-0.010078599040436,1.0097800493,NA,0.000346005000000038,0.0211663168514621,0.0138428120147775,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-12-03,1.0010199547,1.0295399427,0.985319972,1.0006599426,1.0036699772,NA,946748992,NA,NA,NA,814554599.169,814017347.72,0.00100578980718339,0.999653995,NA,0.000659942600000019,0.0441908073037319,0.00659815114382009,NA,NA,1.00146142072857,NA,-0.000800308541080266,1.00146142072857,NA,NA,NA
2017-12-04,1.0024499893,1.0140500069,0.9921320081,1.0036699772,1.0019700527,NA,668510016,NA,NA,NA,817004791.386,814017347.72,0.00300353433146208,1.0006599426,1.0012899637,0.00366997719999995,0.0218378543723565,0.00704742119347737,0.00924749000361859,NA,1.00180142265714,NA,0.00186519453915436,1.00201355984643,NA,NA,NA
2017-12-05,1.0035099983,1.0083700418,0.996457994,1.0019700527,1.0099099874,NA,814145984,NA,NA,NA,815620961.895,814017347.72,-0.00169514457402201,1.0036699772,1.0001399517,0.00197005269999995,0.0118886265791084,0.00235809291493162,0.00926442169730717,NA,1.00206286565714,NA,-9.26218906256469e-05,1.00200268305982,NA,NA,NA
2017-12-06,0.9997599721,1.0200400352,0.995840013,1.0099099874,1.0316599607,NA,1281490048,NA,NA,NA,822084259.636,814017347.72,0.00789309080440069,1.0019700527,0.99060601,0.00990998739999993,0.0239625535957939,0.00479443433630659,0.00849313727461441,NA,1.00482057671429,NA,0.0050649944912119,1.00397950914487,NA,NA,NA
2017-12-07,1.0070699453,1.076949954,1.0010700226,1.0316599607,1.0176000595,NA,1671609984,NA,NA,NA,839789136.949,814017347.72,0.0213079118226005,1.0099099874,1.0081000328,0.0316599607000001,0.0735513001284979,0.0115544528516684,0.00963797906669099,NA,1.0081862807,NA,0.0232830781864062,1.01089962203365,NA,NA,NA
2017-12-08,1.0363299847,1.0576599836,0.9865630269,1.0176000595,1.0171300173,NA,1993030016,NA,NA,NA,828344053.04,814017347.72,-0.0137221452434522,1.0316599607,1.0097800493,0.0176000595000001,0.0698672882693557,0.0176742786293418,0.0116233097047399,NA,1.00930342501429,NA,0.00822015885420885,1.01257473140024,NA,NA,NA
2017-12-09,1.0205800533,1.047260046,0.9935600162,1.0171300173,1.0177500248,NA,1598909952,NA,NA,NA,827961464.886,814017347.72,-0.000462019226747479,1.0176000595,0.999653995,0.0171300173,0.0527956395806195,0.0176864625157358,0.01060531234322,NA,1.01179999962857,NA,0.00526785696124257,1.01371355287518,NA,NA,NA
2017-12-10,1.0220600367,1.0446599722,0.9715359807,1.0177500248,1.0185600519,NA,1649500032,NA,NA,NA,828466155.642,814017347.72,0.000609379920544529,1.0171300173,1.0006599426,0.0177500248,0.071848675724051,0.00798301793014377,0.0106155239465227,NA,1.01424143994286,NA,0.00345931917092685,1.01472267085638,NA,NA,NA
2017-12-11,1.0127199888,1.0296299458,0.9999499917,1.0185600519,1.0778800249,NA,1542119936,NA,NA,NA,854589509.694,839017347.72,0.000795583297449879,1.0177500248,1.0036699772,0.0185600519,0.029139130328777,0.000678740492782595,0.0106280640464817,NA,1.01636859347143,NA,0.00215616503958117,1.01568201611729,59.4527194574178,NA,NA
2017-12-12,1.0188200474,1.0816700459,1.0008699894,1.0778800249,1.0271600485,NA,2240839936,NA,NA,NA,904360018.76,839017347.72,0.0566062560714291,1.0185600519,1.0019700527,0.0778800249,0.074962013056598,0.0322761935122449,0.0229064773179975,NA,1.02721287521429,NA,0.0493248779374428,1.03123151831297,76.1391568411012,NA,NA
2017-12-13,1.0809500217,1.0880000591,1.0194599628,1.0271600485,1.0081900358,NA,2198139904,NA,NA,NA,913163058.884,889017347.72,-0.0481984125343596,1.0778800249,1.0099099874,0.0271600485000001,0.0667277669143106,0.0524392686584853,0.0319633102385606,NA,1.02967716965714,NA,-0.00244457314517402,1.03021365085972,55.2159160068821,NA,NA
2017-12-14,1.026720047,1.0514199734,1.0066900253,1.0081900358,1.016100049,NA,2336179968,NA,NA,NA,1027363099.8,1019017347.72,-0.0186410801434965,1.0271600485,1.0316599607,0.0081900358,0.0443665841871833,0.054036740691057,0.0315930026786543,NA,1.02632432324286,NA,-0.0176691587953003,1.02470774709479,49.7133280775862,NA,NA
2017-12-15,1.0098199844,1.0187300444,0.9955250025,1.016100049,1.0074199438,NA,2044499968,NA,NA,NA,1035423527.02,1019017347.72,0.00781513827384657,1.0081900358,1.0176000595,0.0161000490000001,0.022837359296299,0.0280210791641865,0.0314558641650755,NA,1.02611003602857,NA,-0.00975527641003674,1.02255582257109,51.8672865464053,NA,NA
2017-12-16,1.017359972,1.0193699598,1.0018199682,1.0074199438,1.0092400312,NA,1592729984,NA,NA,NA,1127320456.44,1119017347.72,-0.00857926629986829,1.016100049,1.0171300173,0.0074199438,0.0174207307568293,0.0133538264934102,0.0316158838735308,NA,1.02472288267143,NA,-0.016885481103262,1.01877185287832,49.36829370412,0.419795625139833,0.0312999412277599
2017-12-17,1.0117399693,1.0163999796,1.0028599501,1.0092400312,1.0130200386,NA,1931020032,NA,NA,NA,1129357068.01,1119017347.72,0.00180505183496375,1.0074199438,1.0177500248,0.00924003120000005,0.0134160646441073,0.00829389035630935,0.0316315883130512,NA,1.0235071693,NA,-0.0139394608342192,1.01638889745874,49.9132308838956,0.438690199135201,0.0323429553398303
2017-12-18,1.0105199814,1.0183000565,0.9957399964,1.0130200386,1.0106799603,NA,2517230080,NA,NA,NA,1133586953.59,1119017347.72,0.00373840324376657,1.0092400312,1.0185600519,0.0130200385999999,0.0222701025057492,0.0066244105873845,0.0316820396791653,NA,1.02271573882857,NA,-0.0094803471389588,1.01554668274406,51.0905699862346,0.481918114831648,0.0349335898629793
2017-12-19,1.0131299496,1.0339699984,0.9967679977,1.0106799603,1.000180006,NA,3073860096,NA,NA,NA,1181535443.89,1169049990,-0.00231267415551382,1.0130200386,1.0778800249,0.0106799603000001,0.0368088832877989,0.00309055153369795,0.0193039676904982,NA,1.0131157296,NA,-0.00240423599084932,1.01433000213304,50.3022752937799,0.4314509312028,0.0296681082239075
2017-12-20,1.008409977,1.0191899538,0.9890789986,1.000180006,1.0092099905,NA,3751790080,NA,NA,NA,1169260419,1169049990,-0.010443342555782,1.0106799603,1.0271600485,0.000180005999999899,0.0301055360228826,0.00711623988084317,0.00924302174815601,NA,1.00926143781429,NA,-0.0089980965030756,1.01079250309978,46.8120966965625,0.285175214091133,0.01994104321396
2017-12-21,1.0023100376,1.0404100418,0.9938110113,1.0092099905,1.017950058,NA,3106720000,NA,NA,NA,1229308443.91,1218089836.52,0.00898784736019029,1.000180006,1.0081900358,0.00920999050000004,0.0461737705122331,0.0097585919127078,0.00760439862007373,NA,1.00940714562857,NA,-0.000195317746090012,1.01039687494984,50.0236062292419,0.417324952064804,0.0291991904918854
2017-12-22,1.0063500404,1.0590900183,0.9630889893,1.017950058,1.0452599525,NA,4687949824,NA,NA,NA,1239954549.09,1218089836.52,0.00862302082475161,1.0092099905,1.016100049,0.017950058,0.0943081914928287,0.0111147833425435,0.00774504932114964,NA,1.00967143262857,NA,0.00819932614105575,1.01228517071238,52.982749796219,0.532075433193776,0.0363612210873418
2017-12-23,1.0123900175,1.0520000458,1.0072599649,1.0452599525,1.0230300426,NA,2353740032,NA,NA,NA,1273220582.52,1218089836.52,0.0264747548689404,1.017950058,1.0074199438,0.0452599524999999,0.0428028269838455,0.0102030178624186,0.0114997424735148,NA,1.01507714815714,NA,0.0297344929867189,1.02052886615928,60.7943453622757,0.88668238452042,0.0635385236377608
