date,open,high,low,close,next_close,depeg,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply
2019-12-21,1.0039897506,1.0095876493,1.001518035,1.0050117734,0.999937035,0,1342908.15,59182446.690000005,0.9743392687557562,1.0256607312442438,0,0
2019-12-22,1.0052584935,1.0068582966,0.9975018922,0.999937035,0.9973078917,0,1591895.09,58669800.940000005,0.9742647458347935,1.0257352541652065,0,0
2019-12-23,0.999937035,1.0089406108,0.9942255176,0.9973078917,1.0101815149,0,3625855.09,61984372.95,0.9747318994771844,1.0252681005228155,0,0
2019-12-24,0.9968134659,1.0206660729,0.9942839881,1.0101815149,1.0106405864,0,3862385.3,65591698.17,0.9752038812038134,1.0247961187961867,0,0
2019-12-25,1.0101815149,1.0181532672,1.0020050217,1.0106405864,1.0043796425,0,1790486.85,66423407.85,0.9753078096885669,1.0246921903114332,0,0
2019-12-26,1.0106405864,1.0136426215,0.9948204381,1.0043796425,1.0082691843,0,2858957.75,69064980.83000001,0.9756267167948952,1.024373283205105,0,0
2019-12-27,1.0047243319,1.0214214026,0.9968969472,1.0082691843,1.0067808306,0,2522002.2,71108146.79,0.9758624299825032,1.0241375700174968,0,0
2019-12-28,1.0082691843,1.0175101489,1.0056020163,1.0067808306,1.0039442025,0,2471910.56,72284883.8,0.9759941269960335,1.0240058730039665,0,0
2019-12-29,1.0059485027,1.0311987586,1.0035611125,1.0039442025,1.0071963782,0,3967640.18,74735079.73,0.97625939224548,1.02374060775452,0,0
2019-12-30,1.0063560518,1.012390185,1.0013497867,1.0071963782,0.9980452052,0,3338304.66,76973597.81,0.9764917985023323,1.0235082014976677,0,0
2019-12-31,1.006545149,1.007899654,0.99666487,0.9980452052,1.0002425686,0,3115203.75,78705687.29,0.976665528908941,1.023334471091059,0,0
2020-01-01,0.9978491696,1.0038984601,0.9957802588,1.0002425686,0.9978230601,0,2058557.92,79111703.4,0.9767055163565855,1.0232944836434146,0,0
2020-01-02,1.0002425686,1.0040469458,0.9946461495,0.9978230601,1.0021852771,0,2925547.28,80600983.96000001,0.9768498814794979,1.023150118520502,0,0
2020-01-03,0.9986782301,1.0045827585,0.991769891,1.0021852771,1.0077953039,0,3578684.48,81871388.16000001,0.976970246899004,1.023029753100996,0,0
2020-01-04,1.0019960042,1.0126918806,0.9993849569,1.0077953039,1.0076349997,0,3342562.31,83814800.34000002,0.9771496374512976,1.0228503625487024,0,0
2020-01-05,1.0079416504,1.0155981184,1.0022728194,1.0076349997,1.0030216885,0,4610513.6,85946042.32000001,0.9773400973871683,1.0226599026128316,0,0
2020-01-06,1.0061918579,1.0129605093,0.9966494791,1.0030216885,0.9960112457,0,5758883.06,89773539.87000002,0.9776668208395121,1.022333179160488,0,0
2020-01-07,1.0030216885,1.0077226012,0.9942538731,0.9960112457,1.0059684668,0,6468095.5,92226056.29,0.977866566640726,1.022133433359274,0,0
2020-01-08,0.9960112457,1.0123413999,0.9899545831,1.0059684668,1.0051490467,0,8331933.77,97781102.84,0.9782939054917488,1.0217060945082512,0,0
2020-01-09,1.0056048824,1.0097374048,0.9966442448,1.0051490467,1.0021670631,0,4861968.86,100405600.64999999,0.9784847025887538,1.0215152974112462,0,0
2020-01-10,1.0052796156,1.0111150449,0.9977553475,1.0021670631,1.0024464912,0,6095383.04,103659508.22,0.9787122243150765,1.0212877756849235,0,0
2020-01-11,1.0031237482,1.0085084871,0.9971074631,1.0024464912,1.0016923595,0,3583659.46,104870864.41000001,0.9787945064924775,1.0212054935075225,0,0
2020-01-12,1.0010197369,1.0115443912,0.9977473278,1.0016923595,1.0011725608,0,3966034.51,106625407.05000001,0.978911463938937,1.021088536061063,0,0
2020-01-13,1.0008774368,1.0069354791,0.9979888458,1.0011725608,1.0017365272,0,3752012.9,108731801.43000002,0.9790485313111544,1.0209514686888455,0,0
2020-01-14,1.0006771302,1.0182377966,0.9939058886,1.0017365272,0.9957192129,0,8995881.43,116221907.83000001,0.9795086455046089,1.020491354495391,0,0
2020-01-15,1.0029750737,1.0239170826,0.9657180497,0.9957192129,0.9848066434,1,505927648.95,618746454.5699999,0.9882646577782489,1.0117353422217512,0,0
2020-01-16,0.9939406713,1.0007963967,0.9507622324,0.9848066434,1.0030138014,0,973939833.96,1587683699.8200002,0.9914280689053564,1.0085719310946435,0,0
2020-01-17,0.9851248473,1.0171047505,0.9754783471,1.0030138014,1.0018271387,0,14412819.14,1596839665.0600002,0.9914444835751275,1.0085555164248725,0,0
2020-01-18,1.0019319803,1.009346375,0.9869846276,1.0018271387,0.9859407485,1,16575859.43,1611360225.42,0.9914702601278819,1.008529739872118,0,0
2020-01-19,1.0008520477,1.0135798938,0.9794907846,0.9859407485,0.9916333439,0,16767021.89,1626440451.0700004,0.9914967043818022,1.0085032956181978,0,0
2020-01-20,0.9859407485,0.9999759646,0.9800976509,0.9916333439,0.9991829307,0,15109477.86,1640207020.7800002,0.9915205611778858,1.0084794388221143,0,0
2020-01-21,0.9914029944,1.0016114316,0.9819598487,0.9991829307,0.9959756512,0,14856777.4,1653471903.0900002,0.9915432973550917,1.0084567026449083,96972668.3792637,97051966.56
2020-01-22,0.9975369466,1.005249423,0.9908286885,0.9959756512,0.9909974095,1,14547495,1664393543.0000002,0.9915618354032996,1.0084381645967004,96661395.5954033,97051966.56
2020-01-23,0.9954937564,0.99761192,0.9780474743,0.9909974095,1.0000832477,0,16040878.56,1676572036.2600002,0.9915823164724296,1.0084176835275704,98545962.0075361,99441190.33
2020-01-24,0.9909974095,1.0067546332,0.9784694177,1.0000832477,0.9885580211,1,15248299.24,1690029848.6500003,0.9916047195556074,1.0083952804443927,100107567.026286,100099233.99
2020-01-25,0.9987027981,1.0003053003,0.982634591,0.9885580211,1.006592085,0,13314599.46,1700485490.3600004,0.9916219614093025,1.0083780385906975,99362724.1560586,100512789.37
2020-01-26,0.9903335019,1.0125654006,0.9832118158,1.006592085,1.0176238251,1,14292201.3,1712255689.4600003,0.9916412026950916,1.0083587973049084,101625920.132711,100960380.72
2020-01-27,1.0064257478,1.0223347907,1.0037007897,1.0176238251,1.013261748,1,16881574.74,1726665353.64,0.9916645201035306,1.0083354798964694,104107548.623118,102304551.11
2020-01-28,1.0175518329,1.0319811558,0.9909393323,1.013261748,0.9991950755,0,17205596.05,1739903309.5100002,0.9916857139545269,1.0083142860454732,105461958.699405,104081654.04
