date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,log_return,close_lag1d,close_lag7d,abs_peg_deviation,intraday_range,volatility_3d,volatility_7d,volatility_30d,ma_7d,ma_30d,dist_from_ma_7d,ema_7d,rsi_14,bb_pctb,dist_from_lower_band,value,value_classification,pct_open_1d,pct_high_1d,pct_low_1d,pct_close_1d,pct_open_3d,pct_high_3d,pct_low_3d,pct_close_3d,pct_open_7d,pct_high_7d,pct_low_7d,pct_close_7d,pct_open_30d,pct_high_30d,pct_low_30d,pct_close_30d,parkinson_daily,parkinson_7d,rvol,close_pax,close_usdc,close_usdt,close_wluna,token_address,token_name,shannon_entropy,entropy_7d_avg,log_diff_entropy,gini_coefficient,gini_7d_avg,log_diff_gini,pin_proxy,pin_7d_avg,log_diff_pin,n_big_players,big_players_vol_pct,big_player_7d_avg,gross_inflow,gross_outflow,net_swap_flow,net_flow_7d_avg,log_diff_net_flow
2019-12-22,1.0052584935,1.0068582966,0.9975018922,0.999937035,0,0,0,0,1591895.09,58669800.94,0.974264745834794,1.02573525416521,0,0,-0.00506222325067047,1.0050117734,1.0032213136,6.29650000000259e-5,0.00935699356309966,0.00326420689433186,0.00426983202025789,0.00647163420520514,1.00362455661429,1.00430408571,-0.00367420425295835,1.00336498879036,49.2404883686605,0.00904505465479237,8.10715371493662e-5,20,Extreme Fear,0.00126370104798559,-0.00270343313123182,-0.00401005539555756,-0.00504943179205939,0.00269988995246981,-0.0128340139833538,-2.5278813368437e-4,-0.00757218553998562,-0.00231829594371737,-0.00324036970695162,0.0162064627287298,-0.00327373287975182,0.00792111791084817,-0.0191806206508585,0.0260630940062973,0.00739385366063081,0.00560691071534971,0.0120214103772283,0.643184749075541,1.0037389944,1.0020878522,1.0038866948,0.266124503,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.43649737445822,5.6055001758574,0.708184287573124,0.86598161331343,0.849785166674915,0.669180551045692,0.0251424740194435,0.0109814260392134,5.53111314565121,60,0.798982544717779,0.795100070848465,12890069.7810934,12743459.1565045,146610.62458895,-342022.050093666,0.792201217035125
2019-12-23,0.999937035,1.0089406108,0.9942255176,0.9973078917,0,0,0,0,3625855.09,61984372.95,0.974731899477184,1.02526810052282,0,0,-0.00263277155796785,0.999937035,1.0062221564,0.00269210829999999,0.0147548147592785,0.00313128784629685,0.00403368161577349,0.00475405204057966,1.00235109022857,1.00367160759667,-0.00503136932531441,1.00185071451777,46.9231555141993,-0.111652804268778,-0.00122454698269336,33,Fear,-0.00529362202300058,0.00206813034866157,-0.00328457983450426,-0.00262930885443199,-0.00757218553998562,-0.00134472779535784,-0.00199587991911784,-0.00652230775211504,-0.00327373287975182,-0.0134750741028867,-0.004884425256456,-0.00885914173455782,0.00781455173412101,-0.019253105917647,0.00595404607576079,-0.0186703483979851,0.00882350488659365,0.011292210605381,1.40292356979136,1.0033502877,1.0005825245,1.0121363633,0.2806800095,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.5986320999713,5.56145040070207,0.707939452102263,0.851906018943931,0.850719028537186,0.684929757776021,0.00473512873631252,0.00773395706645468,0.171922475371102,65,0.661966566959376,0.780708937337146,22025035.1246711,22243149.5467404,-218114.422069319,-733982.375844803,0.911359433759935
2019-12-24,0.9968134659,1.0206660729,0.9942839881,1.0101815149,0,0,0,0,3862385.3,65591698.17,0.975203881203813,1.02479611879619,0,0,0.0128257709689917,0.9973078917,1.000816022,0.0101815149,0.0261161824987579,0.00970265521895647,0.00621852685681978,0.00468657508232563,1.00368901778571,1.0039353214,0.00646863420764439,1.00393341461333,57.4760361690518,0.980011583050105,0.0120446074156693,25,Extreme Fear,-0.00312376578791284,0.011621558270613,5.8810097875085e-5,0.012908373940625,-0.00714776689275097,0.0109732162508935,-0.00722308200870288,0.00514396113242592,-0.00935051016334392,-4.172848612741e-4,-0.00557261676409298,0.00935785668307376,-0.0191626313961344,-0.013978490638827,-0.0013310187870704,0.00789349507052567,0.015727399313574,0.0118359884540793,1.45082209742753,1.0078280771,1.010235717,1.00858676,0.3207903098,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.66630761663525,5.4891450510503,0.699163938155217,0.866337668751156,0.858223449060121,0.701522542288985,0.0182036407281456,0.0101216546112842,1.56127067127214,65,0.778637451477544,0.770388281806931,13192110.4633744,13213171.8538753,-21061.390500914302,-568464.628846618,0.0921786982536466
2019-12-25,1.0101815149,1.0181532672,1.0020050217,1.0106405864,0,0,0,0,1790486.85,66423407.85,0.975307809688567,1.02469219031143,0,0,4.5434133722295e-4,1.0101815149,1.0019630487,0.0106405864000001,0.0159782277867165,0.00818076070443407,0.00622743659175262,0.00461043264918024,1.00492866602857,1.00405595937333,0.00568390629556013,1.00561020756,57.7982621012534,0.975707134090082,0.0127970025269013,22,Extreme Fear,0.0134107829170729,-0.00246192733031728,0.00776542083791814,4.5444456588138e-4,0.00489726914204879,0.0112180339955894,0.00451440697527741,0.0107042253915519,0.00782551454300429,-0.00732009707515825,0.00807526972018801,0.00866053664479825,0.00888078095032506,-0.015999268231694,0.0174653314060548,0.0035939047872942,0.00960144201091413,0.0101258221018495,0.667650795392861,1.0102830003,1.0129361693,1.0046611386,0.343339557,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.41134386374407,5.40591603410882,0.670383386109501,0.857015038756025,0.868586185444843,0.687694773718933,4.2607584149978e-4,0.00694877450160958,0.0230113969613975,48,0.788493629508805,0.766076433787626,10714333.2601439,11340931.4365122,-626598.176368294,-685611.543842735,3.42587773322317
2019-12-26,1.0106405864,1.0136426215,0.9948204381,1.0043796425,0,0,0,0,2858957.75,69064980.83,0.975626716794895,1.0243732832051,0,0,-0.00621429398937491,1.0106405864,1.0075665156,0.0043796425,0.0187401084246887,0.00966132359696619,0.00644709951450513,0.00475079073117378,1.00447339844286,1.00399875067,-9.33384029905024e-5,1.005302566295,52.0098851276367,0.487665635916674,0.00628987069491292,39,Fear,4.5444456588138e-4,-0.00443022268386424,-0.00717020717901266,-0.00619502519911869,0.0107042253915519,0.00466034437475136,5.983758105868e-4,0.00709084010951279,0.00806828424452371,-0.00618237809578011,-0.00294027803338772,-0.00316294066015306,0.00340794427389888,-0.0172435067657925,0.003079049315414,-0.00170586232769539,0.0112565715479273,0.00978237616402497,1.05857692976754,1.0044694861,1.0050478371,1.0039875119,0.3524613034,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.23417848619086,5.35939581893977,0.676632815509965,0.821244884460139,0.867666063556061,0.672000215543979,0.00107089312486614,0.00708260177860965,1.11041732786424,55,0.834188927456186,0.770715483273297,14989264.1682641,15642947.0362285,-653682.867964434,-976747.058449244,0.714528615704263
2019-12-27,1.0047243319,1.0214214026,0.9968969472,1.0082691843,0,0,0,0,2522002.2,71108146.79,0.975862429982503,1.0241375700175,0,0,0.00386510213840237,1.0043796425,1.0038553452,0.00826918430000001,0.0243233213727803,0.00512669829849359,0.00644717922763406,0.00448566556757696,1.00510394688571,1.00437326311,0.00314916424723337,1.00604422079625,55.0233910514895,0.771948138565497,0.0102576820560921,38,Fear,-0.00585396488090219,0.00767408644329569,0.00208732050576476,0.00387258127844821,0.00793615482798237,7.400360608183e-4,0.00262798066877573,-0.00189305641787482,-0.002820839771861,0.0110088323636246,6.8570257912845e-4,0.00439688758057123,-2.3860045945073e-4,-0.00735239790154548,0.012679227485254,0.01126879858528,0.0145954788538671,0.0107689834951176,0.923713355501581,1.0064925566,1.0086439587,1.0058033204,0.3107075427,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.11682038399271,5.3914697468538,0.681863675271517,0.862566406183243,0.861998333120485,0.717931415891209,5.8263740532142e-4,0.00716583569365557,0.403864389256808,52,0.773845249199505,0.758607169374626,14631479.1520692,15026300.7881822,-394821.636113044,-235189.680341815,0.472497247533076
2019-12-28,1.0082691843,1.0175101489,1.0056020163,1.0067808306,0,0,0,0,2471910.56,72284883.8,0.975994126996034,1.02400587300397,0,0,-0.00147723774561986,1.0082691843,1.0050117734,0.00678083059999989,0.011827929414293,0.00504272617396524,0.00648795368697847,0.00427701900691565,1.00535666934286,1.00444135506333,0.00141657314321466,1.00622837324719,53.6354700643702,0.646907273877705,0.008656637052552,37,Fear,0.00352818408736689,-0.00382922630174373,0.00873216547051325,-0.00147614716702208,-0.00189305641787482,-6.3165175687997e-4,0.00358979697915804,-0.00381911814342329,0.00426242767661981,0.00784726279634374,0.00407779107043238,0.00176023529954796,0.00840232940744493,-5.82067437002355e-5,0.0133706308778876,0.00203312550497221,0.00706994418894918,0.0109450117857624,0.931705401042587,1.0024266114,1.0024017379,1.0003073742,0.2871200511,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.02982834034944,5.35622973790598,0.684600560864787,0.815694085176895,0.84867795936926,0.665544632897682,0,0.00716583569365557,0,65,0.850611266454751,0.783817947967707,11047651.9855935,10735374.1008709,312277.884722656,-207912.854814914,0.582736193628189
2019-12-29,1.0059485027,1.0311987586,1.0035611125,1.0039442025,0,0,0,0,3967640.18,74735079.73,0.97625939224548,1.02374060775452,0,0,-0.00282149964329995,1.0067808306,0.999937035,0.00394420250000004,0.0275290658894961,0.00353690728539859,0.00623234609682642,0.00430945155952466,1.00592912184286,1.00441418075333,-0.00197321988175548,1.00565733056039,50.9953198136863,0.443570060476197,0.00590585986853157,37,Fear,-0.00230164884153556,0.0134530448809757,-0.00202953431568213,-0.00281752295413624,-0.0046426828321964,0.0173198489562526,0.00878618297860232,-4.3354124434073e-4,6.8639977126435e-4,0.0241746649773796,0.00607439479301265,0.00400741982718949,9.6609297473937e-4,0.0228581631449352,0.0101544885285648,-8.1136765100022e-4,0.0163155555717362,0.0123826658033251,1.46264855365386,1.0050359895,1.0052833362,1.0042100452,0.310098839,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.41590500076636,5.35328797023571,0.73079743800257,0.800794126713541,0.839365461283561,0.683911188835892,0,0.00357405369087792,0,63,0.851116623113689,0.791265673452837,17639161.2742191,17272617.8030513,366543.47116781,-176493.87673222,0.776462817402889
2019-12-30,1.0063560518,1.012390185,1.0013497867,1.0071963782,0,0,0,0,3338304.66,76973597.81,0.976491798502332,1.02350820149767,0,0,0.00323416330610733,1.0039442025,0.9973078917,0.00719637819999996,0.0109615150917547,0.00318002603963643,0.00612317723264033,0.00434981961262196,1.00734176277143,1.00447980782333,-1.4432497172415e-4,1.00604209247029,53.8029937327312,0.673664134014529,0.0090747140402446,40,Fear,4.0513912879864e-4,-0.0182395231211636,-0.00220347896351935,0.00323939885493777,0.00162404736124416,-0.00884181355218433,0.00446669990564907,-0.00106400762485353,0.00641942099884331,0.00341900619627633,0.00716564700250063,0.00991517923631804,0.00158905699162222,-0.00332189780580986,0.0011194516393656,0.00195857352742357,0.00658526068643113,0.0121820963865735,1.20617327051169,1.0088973367,1.0093577238,1.0061750739,0.2885965294,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.38710782069137,5.32307021605287,0.690475857869012,0.824267882772979,0.835417156116282,0.707634025995157,8.8230104111522e-4,0.00302364973442117,2.28472763456719,54,0.821397707644312,0.814041550693542,14909649.0354862,15284331.3868232,-374682.351337025,-198860.723770463,0.704186827578118
2019-12-31,1.006545149,1.007899654,0.99666487,0.9980452052,0,0,0,0,3115203.75,78705687.29,0.976665528908941,1.02333447109106,0,0,-0.00912731573699637,1.0071963782,1.0101815149,0.00195479480000004,0.011256788712039,0.00618116135928943,0.0047750006628872,0.00460292562529363,1.00560800424286,1.00437996532333,-0.00752062335517232,1.00404287065272,45.8436736633305,0.0532170224017169,7.8434244905367e-4,38,Fear,1.8790287956394e-4,-0.00443557342468712,-0.00467860158580492,-0.00908578823164002,-0.00170989585603275,-0.00944510962410509,-0.00888735916907078,-0.0086767895598428,0.00976279257144006,-0.0125079291248773,0.0023945692865373,-0.0120139890910609,0.0019763399902485,-0.0141056150500861,0.00118768188951368,-0.00299216171498033,0.0067318821390884,0.010933509791778,1.12002536865911,1.0032130615,1.0037295044,0.9996785622,0.2587994203,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,5.30711284802625,5.27175667768015,0.685685600789594,0.900204669827084,0.840255299127129,0.738117613212943,0.00603621730382294,0.00128544638808936,1.96640959221324,52,0.765870686656844,0.812217727147727,18597810.825633,18852102.1250594,-254291.299426332,-232179.28218838,0.518009682202843
