"date","open","high","low","close","next_close","depeg","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","Intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","bb_pctb","dist_from_lower_band"
2018-11-07,1.00144,1.01161,0.997181,1.0043,1.00384,0,2589880,49032843,0.972678514525982,1.02732148547402,134846050.978564,134268695.59,0.00377091657030505,1.00052,0.996386,0.00429999999999997,0.0143672209499153,0.0013968733469501,0.00470779772148201,0.00508258242221208,0.999642571428571,1.00800313333333,0.00465909386469302,1.0014417363913,0.464996265531413,0.0107382627962056
2018-11-08,1.00383,1.00721,0.998625,1.00384,1.00804,0,3423190,52347230,0.973267755078635,1.02673224492137,134582387.304781,134067567.84,-0.000458135396979923,1.0043,0.992502,0.00384000000000007,0.00855215970672613,0.00211559105091576,0.00425136713335919,0.00500955174957353,1.00126228571429,1.00790246666667,0.00257446457585859,1.00204130229347,0.451697866235516,0.0104123685963986
2018-11-09,1.00407,1.01361,1.00194,1.00804,1.01096,0,3478250,55113697,0.9737227355403,1.0262772644597,135152022.946511,134074067.44,0.00417520538135186,1.00384,0.999969,0.00804000000000005,0.011576921550732,0.00256632606245085,0.00362625820195897,0.00504439057121153,1.00241528571429,1.0078498,0.00561116172695477,1.00354097672011,0.630817327728216,0.014625431584204
2018-11-10,1.00711,1.02973,0.995854,1.01096,1.00901,0,2497760,53434167,0.97345025716136,1.02654974283864,135543519.223448,134074067.44,0.00289252306676011,1.00804,1.00379,0.0109600000000001,0.033508744163963,0.00239235005900584,0.00352880193445664,0.00507294475988117,1.00343957142857,1.00788913333333,0.00749465018677918,1.00539573254008,0.767585547485606,0.01740862607961
2018-11-11,1.01264,1.01993,0.996741,1.00901,1.0132,0,4726130,56838057,0.973991203362861,1.02600879663714,135307299.941031,134099067.34,-0.00193072234315311,1.01096,0.997669,0.00900999999999996,0.0229819327856017,0.00321950626601072,0.00223661973257915,0.00505548552496084,1.00505971428571,1.00776546666667,0.00393039901822484,1.00629929940506,0.682071564216295,0.0154375459160265
2018-11-12,1.00856,1.01514,1.0006,1.0132,1.01282,0,6446540,62586090,0.974813138160035,1.02518686183997,135869179.957355,134099072.2,0.00414398702024804,1.00901,0.998748,0.0132000000000001,0.0143505724437426,0.00320759391031456,0.00240785025004817,0.00501819354577789,1.00712428571429,1.0079578,0.00603273535540384,1.00802447455379,0.852147208685631,0.0198620145697431
2018-11-13,1.00826,1.02223,0.999477,1.01282,1.02307,0,6483310,68086650,0.975510532354762,1.02448946764524,135535719.465778,133820145.2,-0.000375119697195511,1.0132,1.00052,0.0128200000000001,0.0224649987164551,0.00315553267995403,0.00258011078577564,0.0047492396467006,1.00888142857143,1.00784146666667,0.00390389922644187,1.00922335591535,0.820914158340142,0.019660816598758
2018-11-14,1.01763,1.04334,0.999077,1.02307,1.01831,0,24013300,81439550,0.97692961308086,1.02307038691914,145938457.51628,142647577.89,0.0100693913777947,1.01282,1.0043,0.0230699999999999,0.0432648792360249,0.00523801097618281,0.00407142792695799,0.0047343259627892,1.01156285714286,1.00771713333333,0.0113756083231888,1.01268501693651,1.09849338587008,0.0317050101406806
2018-11-15,1.02067,1.06139,1.00785,1.01831,1.03027,1,18776600,98092070,0.978316867007664,1.02168313299234,145288637.977145,142676236.09,-0.00466352039000184,1.02307,1.00384,0.01831,0.0525773094637194,0.00757778421060903,0.00484286873691925,0.00471382560191795,1.01363,1.00761313333333,0.0046170693448302,1.01409126270238,0.897040309416018,0.0274352376461989
2018-11-16,1.01712,1.03941,1.00618,1.03027,1.00912,0,9247040,106236370,0.978885753260079,1.02111424673992,147038389.425786,142718306.29,0.0116765133762763,1.01831,1.00804,0.03027,0.0322536810738931,0.00900590763294471,0.00606790739136293,0.00487077762082279,1.01680571428571,1.0082158,0.0132417486695028,1.01813594702679,1.11627466384915,0.0419377732736995
2018-11-17,1.03344,1.03933,1.00616,1.00912,1.01188,0,5537380,110591300,0.979166622711122,1.02083337728888,144078009.427742,142775893.28,-0.0207422398790526,1.03027,1.01096,0.00912000000000002,0.0328702235611227,0.0162095521556508,0.0108803300122669,0.00621599322902675,1.01654285714286,1.00802346666667,-0.00730206020405298,1.01588196027009,0.54972970722315,0.0205856459803187
2018-11-18,1.00962,1.01463,1.00118,1.01188,1.02019,0,5735460,115611682,0.979472656010693,1.02052734398931,144472180.075049,142776001.18,0.00273132282615365,1.00912,1.00901,0.0118799999999999,0.0132920899711428,0.0167431585166556,0.0109036959517279,0.00606588643262523,1.01695285714286,1.0081868,-0.00498829135217692,1.01488147020257,0.618827071319449,0.0233089909406017
2018-11-19,1.01203,1.05217,1.00131,1.02019,1.01995,1,27873100,143184911,0.980885295785412,1.01911470421459,145433960.311124,142555759.53,0.00817889769968353,1.01188,1.0132,0.0201899999999999,0.0498534586694637,0.0153683463485077,0.0112358432238521,0.00623750882102349,1.01795142857143,1.00864546666667,0.00219909454001442,1.01620860265193,0.808072680110394,0.0317265504645182
2018-11-20,1.01588,1.0567,1.00722,1.01995,1.01441,0,43293600,185969235,0.98248058372962,1.01751941627038,156707497.53873,153642333,-0.000235277972204956,1.02019,1.01282,0.0199499999999999,0.0485121819697044,0.00426761339503584,0.0112331517250369,0.00613588601477829,1.01897,1.00888046666667,0.000961755498199143,1.01714395198894,0.773899715276522,0.0300824599696572
2018-11-21,1.02412,1.03205,1.00892,1.01441,1.01948,1,20164000,204922075,0.983038259351389,1.01696174064861,165035814.906515,162691431.38,-0.0054464437904379,1.01995,1.02307,0.01441,0.0228014313739019,0.00687513069142379,0.0106620843362991,0.00618553388234245,1.01773285714286,1.0090508,-0.00326496007231764,1.01646046399171,0.610872408142028,0.0216789383441975
2018-11-22,1.01285,1.02256,1.00616,1.01948,1.02061,1,11556600,214974835,0.983306882182733,1.01669311781727,166175761.749806,163000511.78,0.0049855306840107,1.01441,1.01831,0.0194799999999999,0.0160866324008318,0.00521598798000728,0.0107650841636129,0.00624522228520124,1.0179,1.00934713333333,0.00155221534531871,1.01721534799378,0.730977623540076,0.0254701137093634
2018-11-23,1.01613,1.02783,1.00833,1.02061,1.02296,1,17717500,231768395,0.983720217604518,1.01627978239548,169431171.766614,166009711.61,0.00110779437726975,1.01948,1.03027,0.02061,0.0191062207895279,0.00527290192492394,0.00955439767031835,0.0062447790702092,1.01652,1.00970013333333,0.00402353126352647,1.01806401099534,0.738475671125949,0.02580229573133
2018-11-24,1.01718,1.03969,1.01105,1.02296,1.02596,1,19409700,249812575,0.984122020581268,1.01587797941873,169951729.428763,166137218.88,0.00229989776309705,1.02061,1.00912,0.0229600000000001,0.0279971846406507,0.00198622646967447,0.00426103515442511,0.00623793972641982,1.01849714285714,1.0101998,0.00438180624673907,1.0192880082465,0.783184663586638,0.0260066884472417
2018-11-25,1.02687,1.04013,0.990265,1.02596,1.03741,1,23476200,272338152,0.984572442587546,1.01542755741245,170393048.504764,166081570.92,0.00292837411303839,1.02296,1.01188,0.02596,0.0486032593863309,0.00092471649522326,0.00426773396400127,0.00622717146948011,1.02050857142857,1.01067746666667,0.00534187435956311,1.02095600618488,0.846844816894117,0.0269189977189972
2018-11-26,1.01831,1.05881,1.01551,1.03741,1.0121,0,29734800,301359989,0.98508448901736,1.01491551098264,172044015.330946,165839943.06,0.0110984627382126,1.02596,1.02019,0.0374099999999999,0.041738560453437,0.00490849733093823,0.00504674886986034,0.0064752608299102,1.02296857142857,1.0116498,0.0141171771790223,1.02506950463866,1.09501035227561,0.0379687902667855
2018-11-27,1.03242,1.038,0.995528,1.0121,1.01164,0,13622700,314699982,0.985298293085195,1.0147017069148,170711290.864261,168670379.28,-0.0246998421593085,1.03741,1.01995,0.0121,0.0419642327833219,0.0187598299391308,0.0115060973762906,0.00797679207928992,1.02184714285714,1.01168413333333,-0.00953874845692592,1.02182712847899,0.34583610920981,0.0113868212768179
2018-11-28,1.00871,1.02585,1.00372,1.01164,1.0145967489,1,23327400,336043702,0.9856163840103,1.0143836159897,173690422.157984,171691928.11,-0.000454603860102604,1.0121,1.01441,0.0116400000000001,0.021875370685224,0.0182703017743106,0.0113456617822943,0.00796108776204383,1.02145142857143,1.01179313333333,-0.00960537946003985,1.01928034635924,0.308531451594545,0.009534883883174
2018-11-29,1.0116764307,1.020604029,1.0039204359,1.0145967489,1.0103967066,0,18025473.45,353353293.45,0.985855195407275,1.01414480459272,179215722.520525,176637390.88,0.00291846547573087,1.01164,1.01948,0.0145967489000001,0.0164435704313935,0.015066409069811,0.011208485451697,0.0079442008475121,1.02075382127143,1.01212369163,-0.00603188765314565,1.01810944699443,0.389252534651416,0.0115661781070624
2018-11-30,1.013566686,1.0204493743,1.0040656962,1.0103967066,1.0081973826,0,14143220.53,366217153.98,0.986022791652103,1.0139772083479,178350743.836846,176515563.31,-0.00414820928070222,1.0145967489,1.02061,0.0103967065999999,0.0162150945197865,0.00353454876565198,0.0112442902883898,0.00782437750691157,1.01929477935714,1.01259071518333,-0.00872963634990335,1.01618126189583,0.250229192125599,0.0074644542961132
2018-12-01,1.0128178952,1.0253430663,1.0001936091,1.0081973826,1.0127712083,0,14198648.63,378615322.61,0.986177054214635,1.01382294578536,177962574.067388,176515608.09,-0.00217906599650348,1.0103967066,1.02296,0.00819738259999991,0.0249449737065802,0.00364692209260845,0.0111229997804616,0.00779741933683007,1.01718583401429,1.01311389460333,-0.00883658729183528,1.01418529207187,0.180325492116279,0.00541787177456736
2018-12-02,1.0082554935,1.0317921797,0.9932867265,1.0127712083,1.0097488772,0,10761894.92,387334827.53,0.986281567719136,1.01371843228086,178770938.264327,176516607.89,0.00452637762870086,1.0081973826,1.02596,0.0127712083,0.0380198932240914,0.00454769094400821,0.0112584160385964,0.00772437630138569,1.01530172091429,1.01354063488,-0.0024923749878082,1.0138317711289,0.333170525063878,0.0100298219292712
