date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply
2018-11-06,1.00249,1.00506,0.99711,1.00052,0,0,0,0,1.00384,1.00804,1.00384,1.01096,1.00384,1.0132,2241070,46825863,0.972255851313181,1.027744148686819,134764761.215,134225425.91
2018-11-07,1.00144,1.01161,0.997181,1.0043,0,0,0,0,1.00384,1.01096,1.00384,1.0132,1.00384,1.02307,2589880,49032843,0.9726785145259816,1.0273214854740182,134846050.978564,134268695.59
2018-11-08,1.00383,1.00721,0.998625,1.00384,0,0,0,0,1.00804,1.01096,1.00804,1.0132,1.00804,1.02307,3423190,52347230,0.9732677550786347,1.0267322449213652,134582387.304781,134067567.84
2018-11-09,1.00407,1.01361,1.00194,1.00804,0,0,0,1,1.00901,1.0132,1.00901,1.02307,1.00901,1.03027,3478250,55113697,0.9737227355403002,1.0262772644596998,135152022.946511,134074067.44
2018-11-10,1.00711,1.02973,0.995854,1.01096,0,0,0,1,1.00901,1.0132,1.00901,1.02307,1.00901,1.03027,2497760,53434167,0.9734502571613599,1.02654974283864,135543519.223448,134074067.44
2018-11-11,1.01264,1.01993,0.996741,1.00901,0,0,1,1,1.01282,1.02307,1.01282,1.03027,1.00912,1.03027,4726130,56838057,0.9739912033628609,1.026008796637139,135307299.941031,134099067.34
2018-11-12,1.00856,1.01514,1.0006,1.0132,0,0,1,1,1.01282,1.02307,1.00912,1.03027,1.00912,1.03027,6446540,62586090,0.9748131381600348,1.0251868618399653,135869179.957355,134099072.2
2018-11-13,1.00826,1.02223,0.999477,1.01282,0,1,1,1,1.01831,1.03027,1.00912,1.03027,1.00912,1.03027,6483310,68086650,0.975510532354762,1.0244894676452379,135535719.465778,133820145.2
2018-11-14,1.01763,1.04334,0.999077,1.02307,0,1,1,1,1.00912,1.03027,1.00912,1.03027,1.00912,1.03027,24013300,81439550,0.9769296130808602,1.0230703869191398,145938457.51628,142647577.89
2018-11-15,1.02067,1.06139,1.00785,1.01831,1,1,1,1,1.00912,1.03027,1.00912,1.03027,1.00912,1.03027,18776600,98092070,0.9783168670076643,1.0216831329923357,145288637.977145,142676236.09
2018-11-16,1.01712,1.03941,1.00618,1.03027,0,0,0,0,1.00912,1.02019,1.00912,1.02019,1.00912,1.02061,9247040,106236370,0.9788857532600793,1.0211142467399206,147038389.425786,142718306.29
2018-11-17,1.03344,1.03933,1.00616,1.00912,0,0,0,1,1.01188,1.02019,1.01188,1.02019,1.01188,1.02296,5537380,110591300,0.9791666227111218,1.0208333772888782,144078009.427742,142775893.28
2018-11-18,1.00962,1.01463,1.00118,1.01188,0,0,1,1,1.01441,1.02019,1.01441,1.02061,1.01441,1.02596,5735460,115611682,0.9794726560106926,1.0205273439893074,144472180.075049,142776001.18
2018-11-19,1.01203,1.05217,1.00131,1.02019,1,1,1,1,1.01441,1.01995,1.01441,1.02296,1.01441,1.03741,27873100,143184911,0.9808852957854124,1.0191147042145876,145433960.311124,142555759.53
2018-11-20,1.01588,1.0567,1.00722,1.01995,0,1,1,1,1.01441,1.02061,1.01441,1.02596,1.0121,1.03741,43293600,185969235,0.9824805837296201,1.0175194162703798,156707497.53873,153642333
2018-11-21,1.02412,1.03205,1.00892,1.01441,1,1,1,1,1.01948,1.02296,1.01948,1.03741,1.01164,1.03741,20164000,204922075,0.9830382593513891,1.016961740648611,165035814.906515,162691431.38
2018-11-22,1.01285,1.02256,1.00616,1.01948,1,1,1,1,1.02061,1.02596,1.0121,1.03741,1.01164,1.03741,11556600,214974835,0.983306882182733,1.016693117817267,166175761.749806,163000511.78
