"date","open","high","low","close","next_close","depeg","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","Intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","is_depegged","markout_1d","will_depeg_1d","markout_3d","will_depeg_3d","markout_7d","will_depeg_7d","markout_14d","will_depeg_14d","markout_30d","will_depeg_30d","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_shark_trades","shark_volume_pct","shark_pct_7d_avg","log_diff_shark_pct","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2018-10-08,1.0041,1.00768,1.0019,1.00221,1.00686,NA,382900,NA,NA,NA,0,0,NA,NA,NA,0.00221000000000005,0.00576725436784695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Fear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00462901571698771,0,0.00752492380237931,0,0.0242396084728477,0,0.00704945972067612,0,0.00208321987515554,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",2.36036873865213,NA,NA,0.687344321817196,NA,NA,0.230769230769231,NA,NA,0,0,NA,NA,0,NA,NA
2018-10-09,1.00427,1.00833,1.00003,1.00686,1.00962,NA,108803,NA,NA,NA,0,0,0.00462901571698771,1.00221,NA,0.00686000000000009,0.00824344993345646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Fear",0.000169305846031275,0.000645046046363964,-0.00186645373789803,0.00463974616098427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00273744517528467,0,0.00580320308744737,0,0.0143670289920353,0,0.00369774145591105,0,-0.00300393123881207,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",1.68449835368648,NA,0.53861319769668,0.848098900129584,NA,0.80365864812246,0.333333333333333,NA,0.893561893566856,2,0.661168604471967,NA,6.49552021304383,4.0905983e-07,NA,4.09059746343879e-07
2018-10-10,1.00494,1.01908,1.00397,1.00962,1.00978,NA,711783,NA,NA,NA,0,0,0.00273744517528467,1.00686,NA,0.00961999999999996,0.0149660268219726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Fear",0.000667151264102232,0.0106611922684042,0.00393988180354595,0.0027411953995589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000158462910106737,0,-0.0021714889175318,0,0.00254227784430475,0,0.000396110203036319,0,-0.00156617103274483,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",2.23815971416567,NA,0.845267825511658,0.71586340715684,NA,0.61192659840168,0.12,NA,0.307405308648249,1,0.46485755371355,NA,0.531817511184014,6.09399999999998e-10,NA,6.09399641674225e-10
2018-10-11,1.00994,1.03123,1.00173,1.00978,1.01272,NA,4177290,NA,NA,NA,0,0,0.00015846291010673,1.00962,NA,0.0097799999999999,0.0292142842995505,0.00224406740233935,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Extreme Fear",0.00497542141819424,0.0119225183498843,-0.00223114236481172,0.000158475466016856,0.00581615376954493,0.0233705144490316,-0.000169677612536185,0.00755330719110751,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00290729500205594,0,0.00644593538308225,0,0.00504774689220643,0,-0.00179407804285914,0,0.00116788912390851,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",2.44599478345574,NA,0.738508127059807,0.861625380674677,NA,0.790023818386574,0,NA,0,2,0.592238122634788,NA,0.820346130990617,4.27278400000001e-07,NA,4.27278308489356e-07
2018-10-12,1.00861,1.01871,1.00114,1.01272,1.00743,NA,1322240,NA,NA,NA,0,0,0.00290729500205594,1.00978,NA,0.0127200000000001,0.0173493166916819,0.00154035041237843,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"Extreme Fear",-0.00131690991544057,-0.0121408415193508,-0.000588981062761513,0.00291152528273502,0.0043215469943342,0.010294248906608,0.00110996670099891,0.00582007429036805,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00523724682969448,0,0.0138073896684124,0,-0.00568402778043005,0,-0.00107688898198294,0,-0.00367012822130067,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",1.55411941655348,NA,0.491855122783506,0.913717125166647,NA,0.722868333904229,0.0555555555555556,NA,6.3217669960214,1,0.481520698871459,NA,0.594255689031576,0,NA,0
2018-10-13,1.01445,1.02029,1.00355,1.00743,1.01631,NA,698507,NA,NA,NA,0,0,-0.00523724682969448,1.01272,NA,0.00743000000000005,0.0166165391143801,0.00414333446865863,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Extreme Fear",0.00579014683574431,0.00155098114281779,0.00240725572846957,-0.00522355636306187,0.00946325153740535,0.00118734544883614,-0.00041833919340228,-0.00216913294110647,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00877588721072098,0,0.0138010727342823,0,-0.000993117776002708,0,0.000803703030358,0,0.00571110562864191,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",1.95336111865219,NA,0.813953056916027,0.696405967959524,NA,0.566497545977543,0.230769230769231,NA,1.63829407274451,1,0.434536428258446,NA,0.642145949093266,0,NA,0
2018-10-14,1.00726,1.02251,1.00492,1.01631,1.0268,NA,982750,NA,NA,NA,0,0,0.00877588721072098,1.00743,NA,0.01631,0.0173077112298413,0.007037303718937,NA,NA,1.00927571428571,NA,0.00696963734955624,1.00927571428571,NA,NA,NA,18,"Extreme Fear",-0.00708758440534283,0.0021758519636575,0.00136515370434965,0.00881450820404395,-0.00265362298750422,-0.00845592156938807,0.00318449083086263,0.00646675513478198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010268749287386,0,-0.00406212044888432,0,-0.00336091701684789,0,-0.00516924470815,0,-0.00343990127927445,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",1.57916843201557,1.97366722245447,0.592439776950622,0.611943867925269,0.762142710118534,0.63052202243803,0.1,0.152918192918193,0.359871774450073,1,0.481139176334376,0.445065797754941,0.74417521263861,0,1.19563947142857e-07,0
2018-10-15,1.0169,1.11373,0.998372,1.0268,1.02143,NA,10660400,NA,NA,NA,0,0,0.010268749287386,1.01631,1.00221,0.0267999999999999,0.112347097779509,0.00855406802246265,0.00521782337085646,NA,1.01278857142857,NA,0.0138345050158544,1.01365678571429,NA,NA,NA,20,"Extreme Fear",0.00957051803903647,0.0892118414489835,-0.00651594156748796,0.0103216538260963,0.00821923240895877,0.0932748279687056,-0.00276484807319644,0.0139031519077335,0.0127477342894133,0.105241743410607,-0.00352130951192731,0.0245357759351831,NA,NA,NA,NA,NA,-0.0052435637638246,0,-0.0116669377782619,0,-0.0171901487521713,0,-0.0181120042249305,0,-0.00363925918886589,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",1.81057955532048,1.89512591054994,0.763823356791748,0.939765594643432,0.798202891950853,0.930372964683054,0.0112359550561798,0.121556296387757,0.106382566118957,3,0.719553563725314,0.547859164001414,0.913253638554651,1.992963374e-05,2.96665448142857e-06,1.99294351474671e-05
2018-10-16,1.02723,1.03551,1.01899,1.02143,1.01219,NA,2124080,NA,NA,NA,24323316.2344,23813003.57,-0.0052435637638246,1.0268,1.00686,0.0214300000000001,0.0161734039532811,0.00855770120034569,0.0061083391643375,NA,1.01487,NA,0.00646388207356619,1.01560008928571,NA,NA,NA,24,"Extreme Fear",0.0101583243190089,-0.0702324620868614,0.0206516208387255,-0.00522984028048293,0.0125979594854355,0.014917327426516,0.0153853818942754,0.0138967471685378,0.0228623776474455,0.0269554610097884,0.0189594312170636,0.0144707307868025,NA,NA,NA,NA,NA,-0.00908730597244574,0,-0.0142478536850178,0,-0.010669287536124,0,-0.0165345234027611,0,-0.00305921581504304,0,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",2.35066847568213,1.99029307083504,0.832136847951358,0.673311934632725,0.773233325451302,0.540224252997484,0.0222222222222222,0.0771118519433126,1.08530103011771,2,0.707885817882117,0.554533051631436,0.684318030661331,3.43195e-08,2.91312014857143e-06,3.43188154223457e-08
2018-10-17,1.02404,1.02653,1.01058,1.01219,1.01489,NA,1102740,NA,NA,NA,24107422.7902,23817092.43,-0.00908730597244574,1.02143,1.00962,0.0121899999999999,0.0157579110641282,0.0102474637966893,0.00738828371110185,NA,1.01523714285714,NA,-0.00300140994503742,1.01474756696429,NA,NA,NA,23,"Extreme Fear",-0.00310543889878608,-0.00867205531573813,-0.00825327039519527,-0.00904614119420825,0.016659055258821,0.00393150189240194,0.00563228913744377,-0.00405388119766619,0.0190061098175017,0.00731051536680139,0.00658386206759167,0.00254551217289669,NA,NA,NA,NA,NA,0.00266393195800847,0,-0.00570688453783913,0,-0.00214616764126846,0,-0.0157368465534954,0,0.0177046035336788,1,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC",2.17988299505031,1.98196782524713,0.656123456050417,0.795473687273638,0.784606222610845,0.779902082431531,0.0136986301369863,0.0619259419628821,0.478515308481458,3,0.693584350751602,0.587208308351157,0.682295900182235,4.31979999999994e-09,2.91365020571429e-06,4.31979984182982e-09
