date,open,high,low,close,next_close,depeg,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply
2021-03-15,1.00093028,1.00189051,0.99173371,1.00071849,1.00091543,0,67578230.77,1263150602.13,0.990749150359094,1.009250849640906,1067394824.44,1066628460.07
2021-03-16,1.00050139,1.00230896,0.99806548,1.00091543,0.99887655,0,113368656.21,1354657799.0500002,0.9909623233425089,1.0090376766574911,1116892754.99,1115871251.61
2021-03-17,1.00048835,1.02487489,0.99570206000000006,0.99887655,1.00184157,0,158858282.57,1482750095.12,0.9912304492348364,1.0087695507651635,1176684380.39,1178007818.49
2021-03-18,0.99887946,1.00307783,0.99518314,1.00184157,1.00323001,0,48324052.7,1479442057.69,0.9912239178521235,1.0087760821478764,1238512225.25,1236235608.16
2021-03-19,1.00202763,1.00535066,0.99915519,1.00323001,1.00268787,0,89826392.74,1525434953.6299999,0.9913130210565081,1.008686978943492,1280535843.39,1276413014.03
2021-03-20,1.00369341,1.00468571,1.00056453,1.00268787,1.00216977,0,35377164.85,1524920798.7699997,0.9913120448417525,1.0086879551582475,1309136724.74,1305627373.54
2021-03-21,1.00254258,1.0038931,0.98963769,1.00216977,1.00321024,0,50189951.13,1545081916.46,0.9913499988845993,1.0086500011154007,1338042502.81,1335145550.48
2021-03-22,1.00241687,1.00551367,0.99895645,1.00321024,1.00188064,0,60837962.59,1536513404.2299998,0.9913339494984311,1.008666050501569,1366869310.46,1362495377.57
2021-03-23,1.0035478,1.00460922,1.00004593,1.00188064,1.00264585,0,56785001.68,1548744970.69,0.9913568238594842,1.008643176140516,1394426125.76,1391808638.11
2021-03-24,1.00216721,1.00563093,0.99818325,1.00264585,1.00218735,0,68108234.75,1534087093.6,0.9913293831659872,1.008670616834013,1419793879.5,1416047225.68
2021-03-25,1.00296432,1.00362044,0.99914354,1.00218735,1.00193204,0,53977311.03,1496899957.1299999,0.9912581689656113,1.0087418310343887,1442003036.99,1438855757.56
2021-03-26,1.00227854,1.00457788,0.99973797,1.00193204,1.00152557,0,66782492.57,1517175865.5499997,0.9912972863991688,1.0087027136008313,1477164044.91,1474315608.53
2021-03-27,1.00235196,1.0041223,0.99966903,1.00152557,1.002521,0,34708082.43,1521350459.81,0.9913052537895755,1.0086947462104245,1515297068.28,1512988899.87
2021-03-28,1.00180273,1.0044287,1.00009706,1.002521,1.00191291,0,35994248.69,1533960721.58,0.9913291450692179,1.0086708549307821,1553880831.66,1549973341.36
