"date","open","high","low","close","next_close","depeg","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","Intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band"
<<<<<<< HEAD
2020-11-25,1.01048833,1.01075222,0.99354158,0.99957196,1.00044145,NA,3758726.64,NA,NA,NA,13328042.0724798,13333749.41,NA,NA,NA,0.000428039999999963,0.0172180099969992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-26,0.99935995,1.0227736,0.98269107,1.00044145,0.99951533,NA,16210369.84,NA,NA,NA,15646380.0067857,15639476.02,0.00086948422488637,0.99957196,NA,0.000441450000000065,0.0400648433748922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-27,1.00010601,1.00360525,0.99469791,0.99951533,0.99932532,NA,4086972.72,NA,NA,NA,17439301.8686989,17447758.34,-0.000926140080084276,1.00044145,NA,0.000484669999999965,0.00891165921387112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-28,0.99947553,1.00403307,0.99560121,0.99932532,0.99964099,NA,3721757.38,NA,NA,NA,17435986.2692095,17447757.88,-0.000190120208504263,0.99951533,NA,0.000674680000000039,0.00843755264802053,0.000902658430343676,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-29,0.99924555,1.00182822,0.99705886,0.99964099,0.99770842,NA,856953.09,NA,NA,NA,17438703.3980373,17444966.35,0.000315833239454649,0.99932532,NA,0.000359010000000048,0.00477107286286844,0.000624528071067627,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-30,0.99962877,1.00151232,0.98790167,0.99770842,0.99996315,NA,2663923.71,NA,NA,NA,17428749.412264,17468780.46,-0.00193513522812437,0.99964099,NA,0.00229157999999996,0.0136419115316277,0.00118095479395814,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-01,0.99687959,1.00645353,0.99109269,0.99996315,0.99985995,NA,9102663.96,NA,NA,NA,17541897.7326911,17542544.13,0.00225735900866473,0.99770842,NA,3.68499999999772e-05,0.0153614060678135,0.00209814955298122,NA,NA,0.999452374285714,NA,0.000511055581463544,0.999452374285714,NA,NA,NA
2020-12-02,1.00016824,1.00305456,0.99511825,0.99985995,0.99979456,NA,2346373.47,NA,NA,NA,23546187.0213075,23549485.24,-0.000103209128938979,0.99996315,0.99957196,0.000140049999999947,0.00793742163590016,0.00210179459393857,0.00132846087067928,NA,0.999493515714286,NA,0.000366619972969395,0.999554268214286,NA,NA,NA
2020-12-03,0.99983109,1.0023017,0.99549338,0.99979456,1.00069198,NA,3813306.81,NA,NA,NA,23543823.6529768,23548661.59,-6.54012977705204e-05,0.99985995,1.00044145,0.000205440000000001,0.00680971898866912,0.00135209262537241,0.00127731570262406,NA,0.999401102857143,NA,0.000393692924424702,0.999614341160714,NA,NA,NA
2020-12-04,0.99984938,1.00220003,0.9890702,1.00069198,1.00037538,NA,4671524.02,NA,NA,NA,23564956.6790589,23548661.59,0.000897201797918327,0.99979456,0.99951533,0.000691980000000036,0.0131207507029286,0.000566988561686934,0.00126481022192707,NA,0.999569195714286,NA,0.00112326819446651,0.999883750870536,NA,NA,NA
2020-12-05,1.00082893,1.00163035,0.99631894,1.00037538,1.00080809,NA,3255119.79,NA,NA,NA,23557501.2053708,23548661.59,-0.000316431129676509,1.00069198,0.99932532,0.000375379999999925,0.00530941695106482,0.000640641030437342,0.00127165460949724,NA,0.999719204285714,NA,0.000656360017365461,1.0000066581529,NA,NA,NA
2020-12-06,1.00036972,1.00241182,0.99912218,1.00080809,1.00021393,NA,3435633.89,NA,NA,NA,23567690.9980925,23548661.59,0.000432454108511886,1.00037538,0.99964099,0.000808090000000039,0.00328698382124398,0.000612334929828375,0.00127494850731807,NA,0.999885932857143,NA,0.000922262342687545,1.00020701611468,NA,NA,NA
2020-12-07,1.00086418,1.00145348,0.99913592,1.00021393,0.99945298,NA,2550538.3,NA,NA,NA,23553699.3367843,23548661.59,-0.000593856550825698,1.00080809,0.99770842,0.000213929999999918,0.00231706431043201,0.000530896652489327,0.000970971743359916,NA,1.00024386285714,NA,-2.9925559410503e-05,1.00020874458601,NA,NA,NA
2020-12-08,1.00023956,1.00258062,0.99530759,0.99945298,0.99945449,NA,5183315.45,NA,NA,NA,23535779.9655392,23548661.59,-0.0007610767902648,1.00021393,0.99996315,0.000547019999999954,0.00727701067037692,0.000646244559523547,0.00057760216711328,NA,1.00017098142857,NA,-0.000717878684648437,1.00001980343951,NA,NA,NA
2020-12-09,0.99940162,1.00158036,0.99481523,0.99945449,1.00050771,NA,7156472.21,NA,NA,NA,23535815.612126,23548661.59,1.51082531086969e-06,0.99945298,0.99985995,0.000545510000000027,0.00676882246034024,0.000400825147347152,0.000578042366776411,NA,1.00011305857143,NA,-0.000658494123023809,0.999878475079629,49.39201058327,NA,NA
2020-12-10,0.9994352,1.00112507,0.995817,1.00050771,0.99860359,NA,6486806.76,NA,NA,NA,23560617.535044,23548661.59,0.00105324000359878,0.99945449,0.99979456,0.000507709999999939,0.00530537640734434,0.000910990263796033,0.000714224964604721,NA,1.00021493714286,NA,0.000292709942904095,1.00003578380972,54.7095362517887,NA,NA
2020-12-11,1.00070103,1.00146993,0.9959596,0.99860359,0.99948541,NA,15755473.56,NA,NA,NA,23515777.9451124,23548661.59,-0.00190496704792935,1.00050771,1.00069198,0.00139641000000001,0.00551803543986871,0.00149954332522313,0.000942847822818789,NA,0.999916595714286,NA,-0.00131311523372385,0.999677735357292,45.4181617646954,NA,NA
2020-12-12,0.99860725,1.00125162,0.9925069,0.99948541,0.99843893,NA,3976835.13,NA,NA,NA,23536543.7958427,23548661.59,0.000882663442170795,0.99860359,1.00037538,0.000514589999999981,0.00874922226228388,0.00166087171250297,0.00104267810234662,NA,0.999789457142857,NA,-0.000304111171292148,0.999629654017969,49.6802797005976,NA,NA
2020-12-13,0.99946385,1.00062608,0.99658872,0.99843893,0.99988421,NA,793155.75,NA,NA,NA,23511900.4588342,23548661.59,-0.00104756729246353,0.99948541,1.00080809,0.00156107000000005,0.0040436724557605,0.00142780768890257,0.00106020133755327,NA,0.999451005714286,NA,-0.00101263164327143,0.999331973013476,45.1722695312039,NA,NA
2020-12-14,0.99869722,1.00026275,0.99641127,0.99988421,0.99938355,NA,2752776.31,NA,NA,NA,23545934.9164319,23548661.59,0.00144649303515724,0.99843893,1.00021393,0.000115789999999949,0.00385192601451335,0.00130792656627873,0.00124303117264682,NA,0.999403902857143,NA,0.000480593623342934,0.999470032260107,51.6919472777531,0.563714810867134,0.00174902521637472
2020-12-15,0.99987747,1.00058543,0.996476,0.99938355,0.99732706,NA,1831152.47,NA,NA,NA,143233458.226267,143321809.24,-0.000500843379243733,0.99988421,0.99945298,0.000616449999999991,0.00411196482071381,0.00131093878994852,0.00122182956863955,NA,0.999393984285714,NA,-1.04406128898227e-05,0.999448411695081,49.496243805576,0.405411259494532,0.00126212558925261
2020-12-16,0.99934265,1.00202591,0.98956048,0.99732706,0.99822719,NA,6826785.14,NA,NA,NA,145563467.975049,145953593.16,-0.00205987859919028,0.99938355,0.99945449,0.00267293999999996,0.0124988386457698,0.0017567655870018,0.00144639436923506,NA,0.999090065714286,NA,-0.00176461139469467,0.99891807377131,41.6671274530358,-0.0993669657274905,-0.000364692382026896
2020-12-17,0.99734959,1.00212483,0.98932985,0.99822719,0.99810532,NA,18132243.01,NA,NA,NA,148348514.640252,148611975.95,0.000902135395264144,0.99732706,1.00050771,0.00177280999999996,0.0128177033526808,0.00148169200365085,0.00142370507977345,NA,0.998764277142857,NA,-0.00053775165486855,0.998745352828483,45.7146256146214,0.17968737969415,0.000691789755697698
2020-12-18,0.99811236,1.00041615,0.99400996,0.99810532,0.99922402,NA,9175014.53,NA,NA,NA,150148517.049087,150433540.03,-0.000122093889210385,0.99822719,0.99860359,0.00189468000000004,0.00641835072074356,0.00150430394273403,0.00124203788325459,NA,0.998693095714286,NA,-0.000588544886119815,0.998585344621362,45.2567652348909,0.179354087430639,0.000724032420873055
2020-12-19,0.99807083,1.0010203,0.98942635,0.99922402,0.99740195,NA,5803228.09,NA,NA,NA,150371947.660123,150488723.88,0.0011201959482379,0.99810532,0.99948541,0.000775980000000009,0.011602953659981,0.000663309891398899,0.00127524534458975,NA,0.998655754285714,NA,0.000569030631273084,0.998745013466022,50.1885962547829,0.462340573282651,0.00186456824352826
2020-12-20,0.99931452,0.99953575,0.98763175,0.99740195,0.99808528,NA,4883891.15,NA,NA,NA,150122339.92907,150513381.8,-0.00182514956048795,0.99922402,0.99843893,0.00259805000000002,0.0119350077468767,0.00147866735190112,0.00140515669021653,NA,0.998507614285714,NA,-0.00110731682953204,0.998409247599516,43.3399839643264,0.0266484049350749,0.000110541970660044
2020-12-21,0.99702623,1.00000782,0.99207146,0.99808528,0.99636901,NA,11957191.54,NA,NA,NA,152100687.858404,152392476.65,0.000684875369219757,0.99740195,0.99988421,0.00191472000000004,0.00795158505894404,0.00158980026628308,0.00128546462763972,NA,0.998250624285714,NA,-0.000165634041884685,0.998328255699637,46.2995340853597,0.22185407752027,0.000944684248879619
2020-12-22,0.99842592,0.99928423,0.98961542,0.99636901,0.99889763,NA,14616395.42,NA,NA,NA,152049142.98864,152603244.5,-0.00172104262527955,0.99808528,0.99938355,0.00363099,0.00970404529141264,0.00142006483408143,0.00140149716980774,NA,0.997819975714286,NA,-0.00145413576556949,0.997838444274728,40.5679822962619,-0.0524785213351824,-0.0002594995245075
2020-12-23,0.99634857,1.00003651,0.93376418,0.99889763,0.99572413,NA,18677852.73,NA,NA,NA,157241074.183147,157414603.49,0.00253461998815085,0.99636901,0.99732706,0.00110237000000002,0.0663454672527353,0.0021338799103538,0.00157672587754867,NA,0.998044342857143,NA,0.000854959149825358,0.998103240706046,50.3249816699747,0.469449851362633,0.00230135468104571
2020-12-24,0.99815359,1.00279786,0.99057724,0.99572413,0.99862475,0,12861524.54,207343977.41,0.98310455927848,1.01689544072152,162850387.113174,163549704.82,-0.00318205961793303,0.99889763,0.99822719,0.00427586999999996,0.0122730981722819,0.00297000731342497,0.00198667549137241,NA,0.997686762857143,0.999082765666667,-0.00196718341889422,0.997508463029534,41.1862199436644,-0.062724194191298,-0.000344037811448395
2020-12-25,0.99539844,1.00163829,0.99444913,0.99862475,0.99787928,0,10032425.38,213617676.15,0.983271605134179,1.01672839486582,163343755.419143,163568703.49,0.00290884115046571,0.99572413,0.99810532,0.00137525000000005,0.00719906050796361,0.00341368665246778,0.00234483618210465,0.00143427262608943,0.997760967142857,0.999051192,0.0008657212354341,0.997787534772151,50.1048661923016,0.483604970241013,0.00255298790940808
2020-12-26,0.99835909,1.00171753,0.99184587,0.99787928,0.99972133,0,5776734.65,203184040.96,0.982990033086098,1.0170099669139,163215055.380152,163561925.01,-0.000746775386818565,0.99862475,0.99922402,0.00212071999999996,0.00989263951847969,0.00306575748455042,0.00231199635468836,0.00142960617400533,0.997568861428571,0.998965786333333,0.000311175081170852,0.997810471079113,48.0866468842518,0.360614094548354,0.00177975992925649
2020-12-27,0.99799007,1.0025147,0.99136586,0.99972133,0.99824493,0,17643295.84,216740364.08,0.983352332221975,1.01664766777803,163677411.267888,163723036.01,0.00184426307530462,0.99787928,0.99740195,0.000278670000000036,0.0111519477132693,0.0018801745955266,0.00229602776128438,0.00146252954940909,0.997900201428571,0.998972653,0.00182496062113375,0.998288185809335,53.1124128538897,0.746378322925367,0.00359291094459109
=======
2020-12-25,0.99539844,1.00163829,0.99444913,0.99862475,0.99787928,0,10032425.38,213617676.15,0.983271605134179,1.01672839486582,163343755.419143,163568703.49,0.00290884115046571,0.99572413,0.99810532,0.00137525000000005,0.0071990605079636,0.00341368665246778,0.00234483618210465,0.00143427262608943,0.997760967142857,0.999051192,0.0008657212354341,0.997787534772151,50.1048661923016,0.483604970241013,0.00255298790940808
