timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T11:25:00.000Z";"2021-12-31T00:40:11.000Z";"2781";84.7726216436;90.9011675276;84.1758146297;85.4725421205;2046640965.58;30922351070.43;361781108.92;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T12:53:09.000Z";"2021-12-30T04:00:03.000Z";"2781";84.0960197386;87.7640180678;81.0831039733;84.7118695234;2142642372.43;30667157583.03;362017244.52;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T01:26:03.000Z";"2021-12-29T13:28:07.000Z";"2781";85.2084572277;87.7326866928;82.6893845658;84.0593359471;2573529251.15;30459294936.68;362354693.78;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T04:14:03.000Z";"2021-12-28T17:38:03.000Z";"2781";90.8499281328;93.6351323285;83.6687387561;85.3683437776;3402432487.27;30960298694.49;362667205.72;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T01:48:03.000Z";"2021-12-27T22:47:03.000Z";"2781";99.5588902166;103.3316522994;89.8160854394;90.8004963477;2986686990.16;32955737523.79;362946667.14;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T11:02:03.000Z";"2021-12-26T03:49:03.000Z";"2781";98.2458025353;100.8553694165;95.9711363055;99.7203189298;2316030430.72;36262543327.79;363642472.44;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T18:33:03.000Z";"2021-12-25T11:04:03.000Z";"2781";95.8320776317;100.9272857301;95.4127407325;98.1842663215;2719645647.61;35766128646.36;364275560.5;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T07:54:03.000Z";"2021-12-24T00:14:03.000Z";"2781";94.2034332844;101.2710847078;93.8617172059;95.972209072;3887299961.27;35074946311.49;365469823.51;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T18:29:03.000Z";"2021-12-23T07:52:08.000Z";"2781";85.3681312524;95.038784912;84.4941961371;93.8543018276;3941887685.25;34456377974.53;367126251.05;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T10:45:03.000Z";"2021-12-22T23:45:03.000Z";"2781";87.3001927346;97.8774199677;84.5402409598;85.4755765439;4658621232.12;31512674410.13;368674604.89;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T18:55:06.000Z";"2021-12-21T01:27:03.000Z";"2781";81.916509605;88.8989291329;79.6896139132;87.4506237466;3025504028.64;32396133628.41;370450572.45;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T23:58:05.000Z";"2021-12-20T14:22:03.000Z";"2781";78.2116202431;82.5590540092;72.293761702;82.0668118137;4116185091.35;30550192156.23;372260009.63;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T23:22:03.000Z";"2021-12-19T00:49:03.000Z";"2781";74.2391259885;78.775473609;72.3509692095;78.2259431434;2292707388.3;29259639594.93;374040099.99;"2021-12-19T23:59:59.999Z"
"2021-12-18T00:00:00.000Z";"2021-12-18T23:59:59.999Z";"2021-12-18T23:59:03.000Z";"2021-12-18T02:06:03.000Z";"2781";65.7258381335;73.9959329221;62.4079444466;73.9959329221;2114385682.08;27742412134.95;374918066.97;"2021-12-18T23:59:59.999Z"
"2021-12-17T00:00:00.000Z";"2021-12-17T23:59:59.999Z";"2021-12-17T16:31:03.000Z";"2021-12-17T15:18:03.000Z";"2781";64.2196973708;68.946627134;60.8219320651;65.712667188;1975391453.24;24715389879.96;376113022.61;"2021-12-17T23:59:59.999Z"
"2021-12-16T00:00:00.000Z";"2021-12-16T23:59:59.999Z";"2021-12-16T21:53:03.000Z";"2021-12-16T06:12:03.000Z";"2781";61.6689252953;68.012797149;61.0958414551;64.3229671269;1919582736.53;24202851314.6;376270753.6;"2021-12-16T23:59:59.999Z"
"2021-12-15T00:00:00.000Z";"2021-12-15T23:59:59.999Z";"2021-12-15T20:42:03.000Z";"2021-12-15T16:00:03.000Z";"2781";60.181629396;63.9915830156;54.4787346777;61.5270205073;2167599311.37;23151030076.91;376274194.43;"2021-12-15T23:59:59.999Z"
"2021-12-14T00:00:00.000Z";"2021-12-14T23:59:59.999Z";"2021-12-14T23:46:03.000Z";"2021-12-14T00:05:03.000Z";"2781";52.8288998526;60.5388292779;52.3783985251;57.2773376116;2466163254.9;21580950140.86;376779910.53;"2021-12-14T23:59:59.999Z"
"2021-12-13T00:00:00.000Z";"2021-12-13T23:59:59.999Z";"2021-12-13T01:09:03.000Z";"2021-12-13T23:58:03.000Z";"2781";62.0309339582;62.49028043;52.5164227706;52.7457889251;1883487110.21;19913349877.61;377534401.96;"2021-12-13T23:59:59.999Z"
"2021-12-12T00:00:00.000Z";"2021-12-12T23:59:59.999Z";"2021-12-12T18:42:03.000Z";"2021-12-12T05:42:03.000Z";"2781";60.0882648547;62.5223214421;57.5886212463;61.9194476635;1424627922.4;23430129954.49;378396946.98;"2021-12-12T23:59:59.999Z"
"2021-12-11T00:00:00.000Z";"2021-12-11T23:59:59.999Z";"2021-12-11T13:11:03.000Z";"2021-12-11T21:32:03.000Z";"2781";60.985294303;63.8640966764;57.8199838617;59.9843580032;1958065105.42;22718139558.97;378734395.35;"2021-12-11T23:59:59.999Z"
"2021-12-10T00:00:00.000Z";"2021-12-10T23:59:59.999Z";"2021-12-10T13:37:03.000Z";"2021-12-10T23:56:03.000Z";"2781";66.5332679084;71.9388879128;60.5468296596;60.9307003656;2603599691.31;23081785080.42;378820281.76;"2021-12-10T23:59:59.999Z"
"2021-12-09T00:00:00.000Z";"2021-12-09T23:59:59.999Z";"2021-12-09T04:26:03.000Z";"2021-12-09T20:15:03.000Z";"2781";74.9803789484;76.4828822719;65.6918933911;66.4765729789;2964505735.39;25249721551.46;379828869.33;"2021-12-09T23:59:59.999Z"
"2021-12-08T00:00:00.000Z";"2021-12-08T23:59:59.999Z";"2021-12-08T23:17:03.000Z";"2021-12-08T11:04:03.000Z";"2781";68.7752999054;75.7856422708;65.3657033822;75.0376578869;2701933808.73;28605583673.01;381216371.6;"2021-12-08T23:59:59.999Z"
"2021-12-07T00:00:00.000Z";"2021-12-07T23:59:59.999Z";"2021-12-07T12:19:03.000Z";"2021-12-07T02:50:03.000Z";"2781";67.2445369495;74.4322956112;65.7202238734;68.9843665753;2996218670.79;26428124894.09;383103103.01;"2021-12-07T23:59:59.999Z"
"2021-12-06T00:00:00.000Z";"2021-12-06T23:59:59.999Z";"2021-12-06T00:01:03.000Z";"2021-12-06T11:14:03.000Z";"2781";68.1511966815;68.2895189836;59.9663035094;67.2858839615;4041694459.9;25847539652.96;384145055.86;"2021-12-06T23:59:59.999Z"
"2021-12-05T00:00:00.000Z";"2021-12-05T23:59:59.999Z";"2021-12-05T10:07:03.000Z";"2021-12-05T19:24:03.000Z";"2781";75.1069904109;78.1884855314;65.5771903579;68.1056225181;4569096546.03;26270930242.37;385738053.2;"2021-12-05T23:59:59.999Z"
