"model","window","coin","horizon","feature","baseline_logloss","perm_logloss_mean","perm_logloss_sd","importance_logloss"
"RF","Window 1","DAI","depeg_3d","parkinson_daily",0.602103426817776,0.606558388763845,0.00262471759565658,0.00445496194606876
"RF","Window 1","DAI","depeg_3d","pct_close_30d",0.602103426817776,0.606465291992919,0.00141638415833662,0.00436186517514281
"RF","Window 1","DAI","depeg_3d","pct_open_7d",0.602103426817776,0.605643204576761,0.00144213735151563,0.00353977775898462
"RF","Window 1","DAI","depeg_3d","gini_7d_avg",0.602103426817776,0.605538752357964,0.00191375119227027,0.00343532554018777
"RF","Window 1","DAI","depeg_3d","gross_outflow",0.602103426817776,0.605365119629019,0.000559873704777024,0.00326169281124233
"RF","Window 1","DAI","depeg_3d","big_players_vol_pct",0.602103426817776,0.605200975612662,0.00124839883168502,0.00309754879488533
"RF","Window 1","DAI","depeg_3d","log_diff_pin",0.602103426817776,0.604936855239492,0.000596673832512847,0.00283342842171552
"RF","Window 1","DAI","depeg_3d","abs_peg_deviation",0.602103426817776,0.604880660935591,0.000530731257383875,0.00277723411781439
"RF","Window 1","DAI","depeg_3d","gini_coefficient",0.602103426817776,0.604495522590933,0.000557809791093377,0.00239209577315613
"RF","Window 1","DAI","depeg_3d","shannon_entropy",0.602103426817776,0.604391208499994,0.000464812006804432,0.00228778168221744
"RF","Window 1","DAI","depeg_3d","pin_7d_avg",0.602103426817776,0.604349581672503,0.00107329103173327,0.00224615485472657
"RF","Window 1","DAI","depeg_3d","pct_low_30d",0.602103426817776,0.604193401968929,0.00038835130492148,0.0020899751511525
"RF","Window 1","DAI","depeg_3d","pct_close_3d",0.602103426817776,0.604142781156395,0.000604767470784607,0.00203935433861879
"RF","Window 1","DAI","depeg_3d","V_monthly",0.602103426817776,0.604079353412455,0.00108362476595714,0.00197592659467893
"RF","Window 1","DAI","depeg_3d","log_return",0.602103426817776,0.60402482416816,0.000574178436918803,0.00192139735038377
"RF","Window 1","DAI","depeg_3d","pct_open_30d",0.602103426817776,0.603722120498324,0.00104171063377142,0.00161869368054723
"RF","Window 1","DAI","depeg_3d","bb_pctb",0.602103426817776,0.603698846725088,0.000507513073451414,0.00159541990731127
"RF","Window 1","DAI","depeg_3d","pin_proxy",0.602103426817776,0.603494431283233,0.00199150552577075,0.00139100446545681
