timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T15:23:00.000Z";"2021-12-31T07:11:00.000Z";"2781";1.0017478691;1.0023266094;0.9989237129;1.0014399111;135703578.51;10137119504.07;10122543941.1;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T15:13:22.000Z";"2021-12-30T09:05:12.000Z";"2781";1.0010190187;1.0029501047;0.9997304957;1.0019844193;110621928.36;10117714194.28;10097676170.75;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T23:21:35.000Z";"2021-12-29T13:10:13.000Z";"2781";1.002243932;1.0033474612;0.9992698637;1.0014233729;157592551.5;10079440005.7;10065113595.91;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T23:04:20.000Z";"2021-12-28T16:31:14.000Z";"2781";1.0005600436;1.0031106346;0.9991079225;1.0022390914;139518951.51;10056424372;10033957424.68;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T01:41:12.000Z";"2021-12-27T11:58:12.000Z";"2781";1.002184269;1.0035037664;0.9991020882;1.0005148198;137566700.82;10009575311.75;10004424835.37;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T07:25:14.000Z";"2021-12-26T04:10:11.000Z";"2781";1.0010210659;1.0049982654;0.9982626197;1.0020902998;128412369.46;9952448734.27;9931688527.37;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T14:25:12.000Z";"2021-12-25T16:16:11.000Z";"2781";1.0023807351;1.0084604764;0.9970297874;1.0014990658;145681878.26;9879523640.49;9864735752.75;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T02:00:28.000Z";"2021-12-24T20:16:13.000Z";"2781";1.0021381255;1.0048708111;0.9996843534;1.002696059;230405461.84;9770583184.1;9744311944.45;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T01:11:14.000Z";"2021-12-23T16:54:24.000Z";"2781";1.0019884491;1.0042177025;0.9995232239;1.0018174194;180650229.08;9595007975.77;9577601457.08;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T00:02:13.000Z";"2021-12-22T07:43:19.000Z";"2781";1.0073043924;1.0074060802;1.0008239479;1.0019489408;235102412.49;9455978771.72;9437585476.8;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T21:52:13.000Z";"2021-12-21T10:04:12.000Z";"2781";1.0015314914;1.0072664518;0.9997534442;1.0072152645;196244003.16;9332182768.31;9265330954.34;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T14:50:12.000Z";"2021-12-20T14:40:13.000Z";"2781";1.0016939598;1.0045212751;0.998812914;1.0019731724;192344722.3;9127595911.73;9109621059.18;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T22:32:14.000Z";"2021-12-19T04:28:13.000Z";"2781";1.0010992155;1.0043621793;0.9997970871;1.0017230978;122647213.72;8983247661.21;8967795272.56;"2021-12-19T23:59:59.999Z"
"2021-12-18T00:00:00.000Z";"2021-12-18T23:59:59.999Z";"2021-12-18T20:24:21.000Z";"2021-12-18T08:49:11.000Z";"2781";1.0013707216;1.0048657121;0.9994957359;1.0008878968;219187505.3;8906996177.36;8899094699.81;"2021-12-18T23:59:59.999Z"
"2021-12-17T00:00:00.000Z";"2021-12-17T23:59:59.999Z";"2021-12-17T19:17:11.000Z";"2021-12-17T22:08:11.000Z";"2781";1.0011647442;1.0029767399;0.9990191243;1.0014997446;140238919.64;8823977728.82;8810763833.46;"2021-12-17T23:59:59.999Z"
"2021-12-16T00:00:00.000Z";"2021-12-16T23:59:59.999Z";"2021-12-16T20:48:22.000Z";"2021-12-16T15:04:10.000Z";"2781";1.0011804659;1.0028729714;0.9993098859;1.0015351142;122734463.54;8811484718.37;8797978816.32;"2021-12-16T23:59:59.999Z"
"2021-12-15T00:00:00.000Z";"2021-12-15T23:59:59.999Z";"2021-12-15T02:06:30.000Z";"2021-12-15T19:03:21.000Z";"2781";1.0010877372;1.0027564758;0.9985296348;1.0008639175;160438192.1;8801867989.91;8794270466.06;"2021-12-15T23:59:59.999Z"
