"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","WLUNA_close","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","is_depegged","markout_1d","will_depeg_1d","markout_3d","will_depeg_3d","markout_7d","will_depeg_7d","markout_14d","will_depeg_14d","markout_30d","will_depeg_30d","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_shark_trades","shark_volume_pct","shark_pct_7d_avg","log_diff_shark_pct","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2018-10-27,1.00719,1.01126,1.00479,1.00593,0,0,0,0,26526700,511756090,0.987498014424704,1.0125019855753,96716552.4939,96146404.32,1,-0.0012120731906935,1.00715,1.00758,0.00592999999999999,0.00643185907568118,0.00160232797602761,0.00323354761611189,0.00561077186240457,1.00914,1.0084418,-0.00318092633331367,1.0088111260552,48.8065084363378,0.232070295271306,0.00480658418428861,33,"Fear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000735367219861932,0,-0.00156196401434443,0,-0.00774817058868893,0,-0.00322609832629492,1,0.0033841651534921,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.08697546713509,NA,NA,0.825546283093732,NA,NA,0.00656455142231947,NA,NA,9,0.837161053906401,NA,NA,0,NA,NA
2018-10-28,1.00515,1.01031,1.00325,1.00667,0,0,0,1,20093500,517404390,0.98754367406406,1.01245632593594,96787700.8331,96146404.32,1,0.000735367219861932,1.00593,1.01077,0.00666999999999995,0.00701322181052387,0.00214985405135539,0.00292425071523543,0.00559896954019459,1.00855428571429,1.0086638,-0.00186830371054472,1.0082758445414,49.612677335036,0.284975648597813,0.0054164481356447,35,"Fear",-0.00202543710719928,-0.000939422107074349,-0.00153265856547149,0.000735637668625017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00220286262649755,0,-0.00810992227261664,0,-0.0252233145448277,1,-0.00789863587311702,1,0.00698874355144422,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",4.08902613195583,NA,0.843532090858064,0.922911473806076,NA,0.750380135109186,0.0087527352297593,NA,0.838686741863944,12,0.547536167798895,NA,0.502748430678337,0,NA,0
2018-10-29,1.00639,1.0195,1.00248,1.00889,0,0,0,1,24948600,529711590,0.987640900132612,1.01235909986739,107540393.359,106592783.51,1,0.00220286262649754,1.00667,1.00669,0.00889000000000006,0.0168700254735403,0.00171307975863624,0.00262931584879037,0.00560465455178364,1.00886857142857,1.0089961,2.12402011872305e-05,1.00842938340605,52.0520987330735,0.389912902753496,0.00720091851544544,34,"Fear",0.00123364671939502,0.00909621799249738,-0.000767505606777909,0.00220529071095802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00450019386070409,0,-0.00256054129577193,0,-0.0129501076314263,1,-0.00429112734194534,1,0.00215845942135009,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.75764081038025,NA,0.651770304921756,0.751087701875498,NA,0.595388828608557,0,NA,0,17,0.878724901998511,NA,0.956259333836161,0,NA,0
2018-10-30,1.00862,1.0098,0.999712,1.00436,0,0,1,1,27944200,533487590,0.987670128241834,1.01232987175817,112028557.747,111542233.61,1,-0.00450019386070408,1.00889,1.01146,0.00435999999999991,0.0100442072563622,0.00352362523705936,0.00234442126755047,0.00564457929912983,1.00785428571429,1.0090701,-0.00346705447783002,1.00741203755454,47.0468464203203,0.154913444615324,0.00291462437633022,31,"Fear",0.00221584077743238,-0.00951446787641005,-0.00276115234219136,-0.00449008316070151,0.00141979169769363,-0.0014437434487669,-0.00505379233471673,-0.00156074478343431,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00581259103841015,0,-0.00505076785165143,0,-0.00794798585510124,1,0.0090098289645784,1,0.00479255593988599,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.91407653243573,NA,0.713735600492915,0.777155459803426,NA,0.710283970307458,0.00689655172413793,NA,4.24800250983934,12,0.795105743404712,NA,0.643858084691726,0,NA,0
2018-10-31,1.00576,1.00763,0.997302,0.998539,0,0,1,1,40036600,563331590,0.987891826612537,1.01210817338746,108437569.399,108596228.49,1,-0.00581259103841015,1.00436,1.01124,0.00146100000000004,0.0103431112855882,0.00429924121361256,0.00291501029469377,0.00568542863993209,1.00603985714286,1.00910096666667,-0.00745582502482522,1.0051937781659,41.5216646833211,-0.0351106445756132,-0.000765455254379909,32,"Fear",-0.00283555749439837,-0.00214894038423451,-0.00241069427995265,-0.00579573061452066,0.000606874595831467,-0.00265265116647367,-0.00592873162222771,-0.00807712557243188,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00775224360334218,0,-0.00037361553593429,0,-0.00193670097715199,1,0.0130447295442186,1,0.00919319735842748,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.410500691717,NA,0.626644118193822,0.816521551315029,NA,0.718092883487786,0.00116959064327485,NA,0.154579210067735,16,0.815329783624585,NA,0.705148671911584,0,NA,0
2018-11-01,0.998617,1.04012,0.99751,1.00631,0,1,1,1,30620400,590280950,0.988078971009058,1.01192102899094,112559941.393,111854141.76,1,0.00775224360334218,0.998539,1.01074,0.00631000000000003,0.0423428168258289,0.00748163695346256,0.00467086673612044,0.00571504188565152,1.005407,1.0091543,0.000898143736814918,1.00547283362443,49.9689915565029,0.337945028949778,0.00739424451698543,29,"Fear",-0.0071020919503659,0.0322439784444686,0.000208562702170442,0.00778237004263237,-0.00772364590268178,0.0202256007846982,-0.0049577048918682,-0.00255726590609484,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0069904204165836,0,-0.0248656358755533,1,-0.00630817546419208,1,0.00237219777646248,1,0.00889780833613849,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.91942173053972,NA,0.765090143154254,0.807965656400576,NA,0.68783326641562,0.00633713561470215,NA,1.79033836944343,9,0.757209950839493,NA,0.656264548548957,0,NA,0
2018-11-02,1.00605,1.0069,0.987664,0.9993,0,1,1,1,44779500,632534120,0.988350551986763,1.01164944801324,132331435.336,132424132.23,1,-0.0069904204165836,1.00631,1.00715,0.000700000000000034,0.0192494746322425,0.00819286440860365,0.00518197053346176,0.00585804319939058,1.00428557142857,1.00897563333333,-0.00496429658098107,1.00392962521832,43.8197694579147,0.078639922857489,0.00187722060609137,36,"Fear",0.00744329407570684,-0.0319386224666385,-0.00987057773856906,-0.00696604426071496,-0.00254803593028094,-0.00287185581303241,-0.0120514708235973,-0.00503803417101433,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.00113543872269305,0,-0.0033991459190708,1,0.00425392331369101,1,0.00814248283482252,1,0.0137457219486226,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.23265222500039,3.63004194130914,0.601446721374584,0.814301911258949,0.816498576793327,0.696998509707774,0.00137174211248285,0.00444175810666808,0.193177595776476,14,0.91794269594181,0.792715756787772,0.793296027636655,0,0,0
2018-11-03,0.99984,1.00199,0.997469,0.998166,1,1,1,1,41278200,670076670,0.988572308680644,1.01142769131936,132804918.948,133048930.69,1,-0.00113543872269304,0.9993,1.00593,0.001834,0.00452930674857677,0.00742313781551448,0.00518181919246671,0.00586049263690017,1.00317642857143,1.00877383333333,-0.00499456369660093,1.00248871891374,42.9000463965761,0.0787171551414848,0.00190096240022647,36,"Fear",-0.0061726554346207,-0.00487635316317407,0.009927465210841,-0.0011347943560492,-0.00588609608654156,-0.00559729265702697,0.000167451784915731,-0.000373545750341205,-0.00729753075387968,-0.00916678203429396,-0.00728609958299746,-0.00771823089081745,NA,NA,NA,NA,0,-0.0167397767362767,1,-0.00176177928075677,1,0.004522072262394,1,0.00591734252333341,1,0.00919037824562773,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.91496563945951,3.7483262516412,0.793459269499176,0.797985492109963,0.812561320938502,0.683017226239529,0,0.00350396504633673,0,12,0.763312750843578,0.782165999207369,0.604666934246188,0,0,0
2018-11-04,0.997522,1.00683,0.981596,0.981596,0,0,0,0,56330100,714490470,0.988814179312068,1.01118582068793,130600298.167,133048930.69,1,-0.0167397767362767,0.998166,1.00667,0.018404,0.0257071137209197,0.00788274618101993,0.00772954532404874,0.00659156024391007,0.999594428571429,1.0080717,-0.0180057311815463,0.997265539185306,32.2489059601093,-0.326711049018284,-0.00979252375378719,41,"Fear",-0.00231837093935023,0.00483038752881761,-0.0159132765028287,-0.0166004452165271,-0.00109651648229497,-0.03200592239357,-0.015953724774689,-0.0245590325048941,-0.00758891707705314,-0.00344448733557042,-0.0215838524794418,-0.0249078645434948,NA,NA,NA,NA,1,0.014476069539899,0,0.0151766912950591,0,0.0173246786717105,0,0.0256900914587705,1,0.0258559042098751,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",2.93943394968021,3.5840987970304,0.560073215505905,0.671196173806603,0.776601992367149,0.610313173015131,0.00258397932816537,0.00262271420325188,3.28988561019803,14,0.892170355478266,0.831399454590136,0.773474958126124,0,0,0
2018-11-05,0.976401,1.00508,0.97567,0.995909,0,0,0,0,50824900,752701270,0.989006758118815,1.01099324188119,133417495.39,133965548.45,1,0.014476069539899,0.981596,1.00889,0.00409099999999995,0.0295308105459434,0.0156079232753378,0.0102478392454972,0.00714983311116074,0.99774,1.00782766666667,-0.00183514743319905,0.996926404388979,44.9606345964944,0.185917559576159,0.00550638494419261,42,"Fear",-0.0211734678533406,-0.00173812858178632,-0.00603710691567609,0.0145813552622464,-0.0294707022513793,-0.0018075280564107,-0.0121438059907012,-0.00339337536275385,-0.0297985870288854,-0.0141441883276117,-0.0267436756843029,-0.0128666157856655,NA,NA,NA,NA,0,0.000501927915620983,0,0.00408139087146222,0,0.00865898028948081,0,0.0137823594157988,1,0.0104637303928777,1,"0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","PAX",3.11677838083029,3.49254702138041,0.722850040267586,0.723229741140762,0.772622283690758,0.731099359327764,0.00118063754427391,0.00279137670957672,0.364562032480629,20,0.904756376851556,0.835118236712,0.699612134367294,0,0,0
