date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply
2018-10-26,1.00944,1.01215,1.00427,1.00715,0,0,0,0,1.00593,1.00889,0.998539,1.00889,0.998539,1.00889,18251500,503313990,0.9874285029067372,1.0125714970932629,96833851.1072,96146404.32
2018-10-27,1.00719,1.01126,1.00479,1.00593,0,0,0,0,1.00436,1.00889,0.998539,1.00889,0.998166,1.00889,26526700,511756090,0.987498014424704,1.012501985575296,96716552.4939,96146404.32
2018-10-28,1.00515,1.01031,1.00325,1.00667,0,0,0,1,0.998539,1.00889,0.998539,1.00889,0.981596,1.00889,20093500,517404390,0.98754367406406,1.01245632593594,96787700.8331,96146404.32
2018-10-29,1.00639,1.0195,1.00248,1.00889,0,0,0,1,0.998539,1.00631,0.998166,1.00631,0.981596,1.00631,24948600,529711590,0.9876409001326115,1.0123590998673886,107540393.359,106592783.51
2018-10-30,1.00862,1.0098,0.999712,1.00436,0,0,1,1,0.998539,1.00631,0.981596,1.00631,0.981596,1.00631,27944200,533487590,0.987670128241834,1.0123298717581661,112028557.747,111542233.61
2018-10-31,1.00576,1.00763,0.997302,0.998539,0,0,1,1,0.998166,1.00631,0.981596,1.00631,0.981596,1.00631,40036600,563331590,0.9878918266125368,1.0121081733874633,108437569.399,108596228.49
2018-11-01,0.998617,1.04012,0.99751,1.00631,0,1,1,1,0.981596,0.9993,0.981596,0.9993,0.981596,0.999982,30620400,590280950,0.9880789710090583,1.0119210289909417,112559941.393,111854141.76
2018-11-02,1.0060500000000001,1.0069,0.987664,0.9993,0,1,1,1,0.981596,0.998166,0.981596,0.998166,0.981596,1.00356,44779500,632534120,0.988350551986763,1.011649448013237,132331435.336,132424132.23
2018-11-03,0.99984,1.00199,0.997469,0.998166,1,1,1,1,0.981596,0.996409,0.981596,0.999982,0.981596,1.00356,41278200,670076670,0.9885723086806444,1.0114276913193556,132804918.948,133048930.69
2018-11-04,0.997522,1.00683,0.981596,0.981596,0,0,0,0,0.995909,0.996607,0.995909,1.00356,0.995909,1.00356,56330100,714490470,0.9888141793120678,1.011185820687932,130600298.167,133048930.69
2018-11-05,0.976401,1.00508,0.97567,0.995909,0,0,0,0,0.996409,0.999982,0.996409,1.00356,0.996409,1.00457,50824900,752701270,0.989006758118815,1.0109932418811851,133417495.39,133965548.45
2018-11-06,0.998211,1.00097,0.992515,0.996409,0,0,0,1,0.996607,1.00356,0.996607,1.00356,0.996607,1.01345,56682400,796503570,0.9892120872721126,1.0107879127278874,134074291.565,136828956.4
2018-11-07,0.998879,1.00158,0.992636,0.996607,0,0,0,1,0.999982,1.00356,0.99875,1.00457,0.99875,1.01345,58709200,840450270,0.9894034947007421,1.0105965052992578,135417480.357673,135878516.16
2018-11-08,0.995461,1.00209,0.994064,0.999982,0,0,1,1,0.99875,1.00356,0.99875,1.01345,0.99875,1.01345,50134300,877698970,0.9895555685516141,1.0104444314483858,134599180.894924,134601603.72
2018-11-09,0.999493,1.00736,0.994813,1.00356,0,0,1,1,0.99875,1.00457,0.99875,1.01345,0.99875,1.01345,46708600,920106600,0.989718559859644,1.010281440140356,135371397.212334,134891184.6
2018-11-10,1.0036,1.0078,0.996636,1.00269,0,1,1,1,0.99875,1.01345,0.99875,1.01345,0.99875,1.01345,34089900,901449500,0.9896481127624709,1.010351887237529,135254041.881736,134891184.6
2018-11-11,1.0035,1.00566,0.996971,0.99875,0,1,1,1,1.00457,1.01345,1.00457,1.01345,1.00409,1.01345,45203500,915022800,0.989699554037221,1.010300445962779,135138420.681269,135307555.13
2018-11-12,0.999412,1.00768,0.996852,1.00457,1,1,1,1,1.0087,1.01345,1.00409,1.01345,1.00409,1.01345,43124500,941977600,0.9897987558573523,1.0102012441426476,132305019.184735,131703135.85
2018-11-13,1.00453,1.01551,1.00358,1.01345,1,1,1,1,1.00747,1.01165,1.00409,1.01165,1.00409,1.01165,47528500,963877100,0.9898766066353274,1.0101233933646727,133482198.257441,131710689.48
2018-11-14,1.01268,1.04775,0.999979,1.01165,0,0,0,0,1.00409,1.0087,1.00409,1.00973,1.00409,1.00973,72003800,1009476100,0.9900313889114933,1.0099686110885067,131297591.647046,129785589.53
2018-11-15,1.01273,1.02716,1.00488,1.0087,0,0,0,1,1.00409,1.00747,1.00409,1.00973,1.00409,1.01515,60039800,1051466700,0.9901658953479886,1.0098341046520114,131560843.109876,130426135.73
2018-11-16,1.01162,1.01354,1.00389,1.00747,0,1,1,1,1.00409,1.00973,1.00409,1.00973,1.00409,1.01515,51347600,1086063000,0.9902714452533109,1.009728554746689,134250307.090035,133254893.04
2018-11-17,1.0094,1.01212,1.00249,1.00409,0,1,1,1,1.00648,1.00973,1.00648,1.01515,1.00648,1.01515,49010700,1114864000,0.9903559518645967,1.0096440481354032,134769115.734206,134220155.3
2018-11-18,1.00548,1.00954,1.00298,1.00714,1,1,1,1,1.00648,1.00973,1.00648,1.01515,1.00648,1.01515,51855500,1149136300,0.9904527971075078,1.0095472028924921,136123401.465824,135158370.7
2018-11-19,1.00684,1.01966,1.00116,1.00973,0,1,1,1,1.00648,1.01515,1.00648,1.01515,1.00648,1.01515,61090200,1200206900,0.9905901804833499,1.00940981951665,135665622.640893,134358316.22
2018-11-20,1.0088,1.02634,0.992924,1.00648,0,1,1,1,1.00714,1.01515,1.00709,1.01515,1.00709,1.01515,70244400,1255654600,0.9907307783073561,1.009269221692644,134910532.746512,134041940.97
2018-11-21,1.0123,1.01797,1.00214,1.00766,1,1,1,1,1.00709,1.01515,1.00709,1.01515,1.00709,1.01515,42087400,1277990600,0.9907850967418457,1.0092149032581543,138131322.49074,137081279.89
2018-11-22,1.00864,1.01773,1.0044,1.01515,0,1,1,1,1.00709,1.01508,1.00709,1.01508,1.00709,1.01508,35518200,1293578900,0.9908222612236195,1.0091777387763805,140841893.150422,138739982.42
2018-11-23,1.01654,1.02019,1.00011,1.00714,0,1,1,1,1.00709,1.01508,1.00709,1.01508,1.00709,1.01508,43726600,1321791400,0.9908880283601637,1.0091119716398365,141969813.198613,140963334.99
2018-11-24,1.008,1.02071,0.990827,1.00709,1,1,1,1,1.00934,1.01508,1.0091850043,1.01508,1.0077610914,1.0153039072,40724900,1341464200,0.9909327907644477,1.0090672092355522,140834376.607878,139842890.51
2018-11-25,1.00494,1.02092,0.995028,1.01508,1,1,1,1,1.00934,1.01373,1.0077610914,1.01373,1.0077610914,1.0153039072,45581800,1368794500,0.9909935443212737,1.0090064556787262,141951721.303086,139842890.51
2018-11-26,1.00984,1.02192,1.00263,1.00934,1,1,1,1,1.0091850043,1.01373,1.0077610914,1.0153039072,1.0073818066,1.0153039072,53641400,1395909200,0.9910522410294662,1.0089477589705338,137677470.29315,136403461.96
2018-11-27,1.00801,1.01829,0.999317,1.01373,1,1,1,1,1.0077610914,1.01107,1.0077610914,1.0153039072,1.0073070105,1.0153039072,52772500,1428588200,0.9911209947289453,1.0088790052710548,137536983.268776,135674176.82
2018-11-28,1.00992,1.01694,1.00368,1.01107,1,1,1,1,1.0077610914,1.0153039072,1.0073818066,1.0153039072,1.0063846348,1.0153039072,67908400,1471548000,0.9912082528550369,1.008791747144963,135280580.649646,133799421.06
2018-11-29,1.0088154078,1.0160787451,1.0044401037,1.0091850043,0,1,1,1,1.0077610914,1.0153039072,1.0073070105,1.0153039072,1.0063846348,1.0153039072,67964670.5,1511568470.5,0.9912865383285319,1.0087134616714681,144085541.998723,142774160.72
2018-11-30,1.0080997632,1.0189513666,1.0053785726,1.0077610914,1,1,1,1,1.0073818066,1.0153039072,1.0063846348,1.0153039072,1.0041945689,1.0153039072,85826958.13,1557358828.63,0.9913727886622201,1.0086272113377799,162916905.851073,161662230.51
2018-12-01,1.0107556019,1.0291945766,0.9996661154,1.0153039072,1,1,1,1,1.0073070105,1.0131309403,1.0063846348,1.0131309403,1.0041945689,1.0183979668,65507288.82,1592245717.45,0.991436263349925,1.008563736650075,168225538.406211,165689836.53
2018-12-02,1.013353312,1.0187637652,1.0090230394,1.0131309403,0,0,0,1,1.0063846348,1.0073818066,1.0041945689,1.0073818066,1.0041945689,1.0183979668,67325337.76,1614791555.21,0.9914763061313776,1.0085236938686224,167865499.890672,165689836.53
2018-12-03,1.0104653043,1.0193721999,1.005014619,1.0073818066,0,0,1,1,1.0063846348,1.0073070105,1.0041945689,1.0183979668,1.0041945689,1.0183979668,74156305.57,1647669660.78,0.9915333822703163,1.0084666177296837,185856038.615613,184494138.56
2018-12-04,1.0060451195,1.0120849485,0.9967411605,1.0073070105,0,0,1,1,1.0041945689,1.0066123976,1.0041945689,1.0183979668,1.0041945689,1.0183979668,83771293.25,1675110854.03,0.9915798696303854,1.0084201303696145,175434869.356675,174162263.86
2018-12-05,1.0079997253,1.0119061186,1.0008368961,1.0063846348,0,1,1,1,1.0041945689,1.0183979668,1.0041945689,1.0183979668,1.0041945689,1.0183979668,80548955.81,1704834909.84,0.9916290922340321,1.008370907765968,161948237.197498,160920816.56
2018-12-06,1.0033844992,1.0124325823,0.9923749589,1.0066123976,0,1,1,1,1.0041945689,1.0183979668,1.0041945689,1.0183979668,1.0040847029,1.0183979668,78747044.7,1726899554.54,0.9916648969378686,1.0083351030621315,166516606.164959,165422765.07
2018-12-07,1.009119133,1.0126066272,0.9931169884,1.0041945689,1,1,1,1,1.0148871699,1.0183979668,1.0081453291,1.0183979668,1.0040847029,1.0183979668,98954584.5,1767144939.04,0.991728658672526,1.008271341327474,170418118.485991,169706273.83
2018-12-08,1.0072896587,1.0211601927,1.0002166922,1.0183979668,1,1,1,1,1.0081453291,1.0155074289,1.0040847029,1.0155074289,1.0040847029,1.0155074289,80419852.42,1797430491.46,0.9917753776594064,1.0082246223405937,176680301.783888,173488466.73
2018-12-09,1.0173558877,1.0206348572,1.0093383553,1.0155074289,1,1,1,1,1.0081453291,1.0148871699,1.0040847029,1.0148871699,1.0040847029,1.0148871699,65237815.07,1815959706.53,0.9918034467623842,1.0081965532376158,176367943.479642,173674695.49
2018-12-10,1.0151880085,1.0227215236,1.0124389961,1.0148871699,0,1,1,1,1.0040847029,1.0082843855,1.0040847029,1.0082843855,1.0040847029,1.0092049732,56767018.53,1838636825.06,0.9918372840879494,1.0081627159120505,173047677.593568,170509277.02
2018-12-11,1.0163282472,1.0203781662,1.0053542433,1.0081453291,1,1,1,1,1.0040847029,1.0082843855,1.0040847029,1.0082843855,1.0040847029,1.011159324,53707872.12,1847141197.1799998,0.9918498306082025,1.0081501693917974,166536782.359739,165191245.3
2018-12-12,1.0114993756,1.0156854266,1.0070423533,1.0082843855,0,0,1,1,1.0040847029,1.0062668144,1.0040847029,1.0092049732,1.0040847029,1.0155381276,51519504.78,1855536201.9599998,0.9918621404652983,1.0081378595347017,160345391.382987,159027942.6
