date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close,log_return,close_lag1d,close_lag7d,abs_peg_deviation,intraday_range,volatility_3d,volatility_7d,volatility_30d,ma_7d,ma_30d,dist_from_ma_7d,ema_7d,rsi_14,bb_pctb,dist_from_lower_band
2018-10-27,1.00719,1.01126,1.00479,1.00593,0,0,0,0,26526700,511756090,0.987498014424704,1.012501985575296,96716552.4939,96146404.32,1,-0.0012120731906935028,1.00715,1.00758,0.005929999999999991,0.006431859075681186,0.0016023279760276148,0.0032335476161118944,0.00561077186240457,1.0091400000000001,1.0084417999999997,-0.00318092633331367,1.008811126055202,48.80650843633784,0.23207029527130613,0.004806584184288616
2018-10-28,1.00515,1.01031,1.00325,1.00667,0,0,0,1,20093500,517404390,0.98754367406406,1.01245632593594,96787700.8331,96146404.32,1,7.353672198619317e-4,1.00593,1.01077,0.006669999999999954,0.007013221810523872,0.0021498540513553983,0.002924250715235432,0.005598969540194592,1.0085542857142857,1.0086637999999997,-0.001868303710544723,1.0082758445414015,49.61267733503597,0.2849756485978131,0.0054164481356447
2018-10-29,1.00639,1.0195,1.00248,1.00889,0,0,0,1,24948600,529711590,0.9876409001326116,1.0123590998673886,107540393.359,106592783.51,1,0.0022028626264975456,1.00667,1.00669,0.008890000000000065,0.01687002547354026,0.0017130797586362423,0.002629315848790379,0.005604654551783642,1.0088685714285714,1.0089960999999998,2.124020118723047e-5,1.0084293834060511,52.05209873307347,0.3899129027534956,0.007200918515445442
2018-10-30,1.00862,1.0098,0.999712,1.00436,0,0,1,1,27944200,533487590,0.987670128241834,1.012329871758166,112028557.747,111542233.61,1,-0.004500193860704089,1.00889,1.01146,0.0043599999999999195,0.010044207256362247,0.0035236252370593694,0.002344421267550477,0.005644579299129831,1.0078542857142858,1.0090700999999997,-0.003467054477830023,1.0074120375545383,47.046846420320335,0.15491344461532364,0.002914624376330224
2018-10-31,1.00576,1.00763,0.997302,0.998539,0,0,1,1,40036600,563331590,0.9878918266125368,1.0121081733874633,108437569.399,108596228.49,1,-0.005812591038410151,1.00436,1.01124,0.0014610000000000456,0.01034311128558825,0.004299241213612563,0.002915010294693773,0.005685428639932097,1.0060398571428573,1.0091009666666664,-0.0074558250248252245,1.0051937781659037,41.52166468332111,-0.035110644575613185,-7.654552543799095e-4
2018-11-01,0.998617,1.04012,0.99751,1.00631,0,1,1,1,30620400,590280950,0.9880789710090584,1.0119210289909415,112559941.393,111854141.76,1,0.00775224360334218,0.998539,1.01074,0.006310000000000038,0.042342816825828945,0.007481636953462563,0.004670866736120443,0.005715041885651521,1.0054070000000002,1.0091542999999998,8.981437368149177e-4,1.0054728336244279,49.96899155650294,0.337945028949778,0.0073942445169854305
2018-11-02,1.0060500000000001,1.0069,0.987664,0.9993,0,1,1,1,44779500,632534120,0.988350551986763,1.011649448013237,132331435.336,132424132.23,1,-0.006990420416583604,1.00631,1.00715,7.000000000000339e-4,0.01924947463224249,0.008192864408603652,0.005181970533461766,0.005858043199390584,1.0042855714285714,1.008975633333333,-0.0049642965809810705,1.003929625218321,43.819769457914724,0.07863992285748898,0.0018772206060913706
2018-11-03,0.99984,1.00199,0.997469,0.998166,1,1,1,1,41278200,670076670,0.9885723086806444,1.0114276913193556,132804918.948,133048930.69,1,-0.0011354387226930485,0.9993,1.00593,0.0018340000000000023,0.004529306748576776,0.007423137815514482,0.0051818191924667195,0.005860492636900179,1.0031764285714286,1.0087738333333331,-0.0049945636966009345,1.0024887189137408,42.90004639657609,0.07871715514148477,0.001900962400226478
2018-11-04,0.997522,1.00683,0.981596,0.981596,0,0,0,0,56330100,714490470,0.9888141793120678,1.011185820687932,130600298.167,133048930.69,1,-0.016739776736276715,0.998166,1.00667,0.018403999999999976,0.02570711372091967,0.00788274618101993,0.0077295453240487436,0.006591560243910076,0.9995944285714286,1.0080717,-0.0180057311815463,0.9972655391853057,32.24890596010932,-0.32671104901828363,-0.009792523753787197
2018-11-05,0.976401,1.00508,0.97567,0.995909,0,0,0,0,50824900,752701270,0.989006758118815,1.0109932418811851,133417495.39,133965548.45,1,0.014476069539899042,0.981596,1.00889,0.004090999999999956,0.02953081054594339,0.015607923275337804,0.010247839245497199,0.007149833111160748,0.9977400000000001,1.0078276666666666,-0.0018351474331990568,0.9969264043889793,44.96063459649442,0.1859175595761593,0.005506384944192615
2018-11-06,0.998211,1.00097,0.992515,0.996409,0,0,0,1,56682400,796503570,0.9892120872721126,1.0107879127278874,134074291.565,136828956.4,1,5.019279156209827e-4,0.995909,1.00436,0.003591000000000011,0.008485471327537065,0.015636400226056335,0.010206558235852658,0.007137232431060886,0.9966041428571428,1.0075286333333333,-1.9580779243340025e-4,0.9967970532917344,45.34640689285229,0.23175429661276487,0.007005242854100079
2018-11-07,0.998879,1.00158,0.992636,0.996607,0,0,0,1,58709200,840450270,0.989403494700742,1.0105965052992578,135417480.357673,135878516.16,1,1.986938395391437e-4,0.996409,0.998539,0.0033929999999999794,0.008974450309901447,0.008156919781485176,0.00999820629631018,0.006481639583022647,0.9963281428571429,1.0067108666666664,2.7988484000609e-4,0.9967495399688008,45.5092839831371,0.2629434377811954,0.008056457274561111
