"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","parkinson_daily","parkinson_7d","rvol","close_dai","close_pax","close_usdt","close_ust","close_wluna","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_big_players","big_players_vol_pct","big_player_7d_avg","gross_inflow","gross_outflow","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2019-11-22,1.0040424189,1.0157169676,0.9920338725,1.0012472949,1,1,1,1,360936425.47,7673626291.47,0.994930095427412,1.00506990457259,441973715.153583,441423130.32,-0.00278775260349803,1.0040424189,1.0025901397,0.00124729489999997,0.023653592095213,0.000198752378384906,0.00397971753501143,0.0031269830229009,1.00747795938571,1.00385274083667,-0.00618441766161632,1.00555117613263,45.1568751035391,0.243974886025671,0.00332300751626272,20,"Extreme Fear",-0.00251731352379852,-0.00478235360632937,-0.0105100791723222,-0.00278387042956032,-0.0100212685568165,-0.0131257451397376,-0.0120461846005826,-0.00888677822672717,-0.00350895753489451,0.000601147620044056,-0.00691528199554233,-0.00133937563000764,0.00143521306684131,-0.0187126480349264,-0.00841287567561244,-0.00191670947666378,0.014168897420583,0.0108786330795977,1.41246348082179,0.9925979113,1.0030221026,1.0030452513,NA,0.2542380599,9.17551056842671e+47,"USDC",7.17774884898291,6.0518896098631,0.76099493304345,0.916713383562769,0.941894479298864,0.673621877943019,0,0.00291079955302138,0,173,0.564358625386768,0.601113736218148,0.000110841617020781,0.000111262924620781,-4.21307600000038e-07,3.44602887142837e-07,4.21302636402983e-07
2019-11-23,1.0011012521,1.0155443875,0.9989394967,1.0117439628,1,1,1,1,278078471.93,7782005539.57,0.994953741567674,1.00504625843233,448722470.833908,443513860.54,0.0104290199953681,1.0012472949,1.0079688392,0.0117439628,0.0164121471543512,0.00767946313233464,0.00537627693765177,0.00357872890842381,1.00801726275714,1.00398675641,0.00369705974346492,1.00709937279947,57.6423403967775,0.943093158995526,0.0140588148092319,23,"Extreme Fear",-0.00292932524028432,-0.000169909635759712,0.00696107702713555,0.0104835917694523,-0.00903134286201961,-0.00443502594809383,-0.005400422939291,0.00469719530727608,-0.0016703596654821,0.00451685798731452,-0.00343342160179776,0.00374527808121164,-0.00180141027779213,0.00776095023500811,-0.00300408014672694,0.00398965313159255,0.00990077821244223,0.0113397805460126,1.07356412057665,1.0162822351,1.0115782858,1.0131301904,NA,0.2696752135,9.17551056842671e+47,"USDC",6.2677515047322,6.12836455088303,0.627652206322943,0.920691541597038,0.939936059988696,0.695259967461625,0.000243605359317905,0.00251916108622884,1.23432360154957,91,0.659656390769891,0.596447271163365,5.26253311600799e-05,5.05242644600799e-05,2.10106670000001e-06,2.85091982857123e-07,2.10106360764998e-06
2019-11-24,1.0119940696,1.0165460694,1.0020898128,1.0088790456,1,1,1,1,205327942.88,7718205199.99,0.994939875220338,1.00506012477966,447418651.137833,443480963.43,-0.00283567900379342,1.0117439628,1.0082191992,0.00887904560000008,0.0143290285025223,0.00764457993622868,0.00552781999838349,0.00336300100731354,1.00811152652857,1.00426138466667,0.000761343414127641,1.0075442909996,54.0270819296073,0.727168451536444,0.010962810477076,21,"Extreme Fear",0.0108808349576532,0.000986349698082329,0.00315366056743879,-0.00283166226371272,0.00538238648175123,-0.00396998483792492,-0.00047992612299187,0.00481715374665051,0.0039934075771577,-0.00239032647618962,-0.000903547112313863,0.000654467203683114,0.00423784303794293,0.0072138534290782,0.0282563003252043,0.00823357658156316,0.00860186363888902,0.0112373603074252,0.809142669194432,1.0022701008,1.0177293826,1.0175186715,NA,0.2585304636,9.17551056842671e+47,"USDC",5.28241964965583,6.16907385435928,0.611275280062218,0.948546166716454,0.938866340166812,0.708105809002543,0.000277854959711031,0.00220641104287929,0.592578274277346,76,0.34948019323442,0.587304342420689,4.93523505684959e-05,4.94337523184959e-05,-8.14017500000021e-08,2.83823618571408e-07,8.14015757198053e-08
2019-11-25,1.0081329624,1.0191070957,0.9870949672,1.0003926633,1,1,1,1,292879019.64,7685647766.25,0.994932740163701,1.0050672598363,457965522.747746,457785767.07,-0.00844727243756907,1.0088790456,1.0136292014,0.000392663299999985,0.0319995634458187,0.00969326773606396,0.00579419781348478,0.00370658666183372,1.00622059251429,1.00431162541,-0.00579190016348529,1.0057563840747,45.019752440865,0.184932091434806,0.00289529651858786,17,"Extreme Fear",-0.00381534567838549,0.00251934110719802,-0.0149635745304126,-0.00841169448112888,0.0040740743847073,0.0033376700479961,-0.00497856518503098,-0.000853566950296076,-0.000279598502728969,-0.00410115821998253,-0.0200251600465994,-0.0130585603509823,0.00753881172503153,0.0101266915239567,0.01980427201285,0.00150890406260311,0.0191674355385251,0.0128804008971743,1.15456500644037,1.0070214472,1.0023198942,1.0031141184,NA,0.2408847724,9.17551056842671e+47,"USDC",6.14413835570268,6.13432430216375,0.771545856804757,0.93959790629237,0.938296684086758,0.688366733783583,0,0.00216933418254782,0,133,0.665549732429067,0.598055868908629,0.00013571563498398,0.00012144919924398,1.42664357399996e-05,2.34121356285706e-06,1.42663328139704e-05
2019-11-26,1.0001218558,1.0192330575,0.9967930977,1.0079346237,1,1,1,1,253662665.05,7679684916.27,0.994931429020786,1.00506857097921,462535121.469333,458893970.51,0.00751072387742459,1.0003926633,1.0102249399,0.00793462369999997,0.022263308822179,0.00809522163414753,0.00671412430678101,0.00393707145126013,1.00589340448571,1.00454897759333,0.00202925996450805,1.00630094398103,52.5853528577909,0.649710491798293,0.00998077623678736,21,"Extreme Fear",-0.00794647819165478,0.000123600159915969,0.00982492143335488,0.00753900011133757,-0.000978318924230212,0.0036322095276213,-0.00214867767977005,-0.00376512165138865,-0.0138869160745111,-0.00970949956073228,-0.00730653323884435,-0.00226713488208557,0.00112720916756837,0.0122923739414936,0.0243499901715826,0.00711477366016076,0.0133699911064969,0.0126507718202866,1.00021120983211,1.0060959036,1.0095033154,1.0097727433,NA,0.2305066265,9.17551056842671e+47,"USDC",5.43307957625897,5.99660076388298,0.633533043259152,0.952737287312445,0.940625693388814,0.700061293596413,0.000221680336954112,0.000202577319159867,1.1683881240827,109,0.342152951752499,0.552282156567551,9.633821943827e-05,9.52344334582699e-05,1.1037859800001e-06,2.7710365271428e-06,1.10376962405893e-06
2019-11-27,1.0024297174,1.0289312644,0.9850440361,1.0074877311,1,1,1,1,320421509.46,7720301882.76,0.994940333338738,1.00505966666126,467956601.92397,464478710.25,-0.000443472909050381,1.0079346237,1.0070138222,0.00748773109999989,0.0435610548349634,0.0079790110059668,0.00659850946223881,0.00393895351328525,1.00596110575714,1.00475995784667,0.00151757889457161,1.00659764076077,52.1276240581993,0.615407351328154,0.00950599642742794,20,"Extreme Fear",0.0023075804079434,0.00951520050162816,-0.0117868609113664,-0.00044337458947446,-0.00945099629267626,0.012183604238724,-0.0170102285067357,-0.00137906967744854,-0.00771632355539709,0.00868848289861762,-0.0192355143351959,0.000470608138192719,0.00202737084471641,0.0223860592662717,0.0106924777514852,0.006322084580861,0.0261782156391802,0.0156696502234974,1.24368833006988,0.9970338111,1.0042619779,1.0050266147,NA,0.2186627358,9.17551056842671e+47,"USDC",6.41621282701283,6.14504102635423,0.779752072384938,0.950767058191361,0.940363403256419,0.692060240292082,0,0.000130024173981024,0,115,0.61257065937168,0.552512452822019,0.000256577362567367,0.000250780347757366,5.79701481000054e-06,4.90517517571431e-06,5.79699160871294e-06
2019-11-28,1.0070010135,1.0315317474,1.0041394224,1.0067545798,1,1,1,1,297912087.91,7743201111.85,0.99494532597107,1.00505467402893,458276295.90287,455201600.38,-0.000727967363618119,1.0074877311,1.0040424189,0.00675457979999993,0.0272085427269095,0.00467664796226746,0.00648114585975736,0.00392955467859596,1.00634855731429,1.00499728649333,0.000403461089861019,1.00663687552058,51.3381125358091,0.555575332734916,0.00844472597292464,32,"Fear",0.00456021606368227,0.00252736318739092,0.0193853123314189,-0.000727702459661205,-0.00112281707097955,0.0121917036515833,0.0172672901456973,0.00635941938939643,0.000421951625013931,0.0107132504180671,0.00156442749945125,0.00270124135090966,0.00480952332673867,0.0189862416038599,0.0120176617181227,0.0071224610897378,0.0161634756629923,0.0163247370937478,1.15102080452261,1.004738072,1.0053987405,1.0040800041,NA,0.2580371496,9.17551056842671e+47,"USDC",5.44803928741435,6.0241985785371,0.61469465692574,0.961724902307708,0.941539749425734,0.69884038728903,0.000487329434697856,0.000175781441525849,1.77041569395953,91,0.64495204581123,0.548388656965078,0.000108443375327565,0.000117730256697565,-9.28688136999988e-06,1.92553035857147e-06,9.2867844117782e-06
2019-11-29,1.006490922,1.0164238781,0.9927045086,1.0030499459,1,1,1,1,243248443.06,7708212842.62,0.994937689640561,1.00506231035944,454235199.905107,452854019.63,-0.00368656558223539,1.0067545798,1.0012472949,0.00304994589999996,0.0236472466769512,0.00179591622859342,0.0065628760903358,0.00395824268346529,1.00660607888571,1.00501269653667,-0.00353279506284213,1.00574014311543,47.4290606383774,0.289903009788904,0.00416957394971844,31,"Fear",-0.000506545170423537,-0.0146460536363325,-0.0113877749891238,-0.00367977854219042,0.00636829018690464,-0.00275616982723309,-0.0041017429890255,-0.00484622482961145,0.0024386450750583,0.000695971931698914,0.000676021372445693,0.00180040536357207,0.00645285020351843,0.00841353119798074,-0.0057003462095606,0.00046110811607345,0.0141808707388206,0.0163262222428304,0.928675931850738,1.0047594318,1.0047260308,1.0045208555,NA,0.2862549442,9.17551056842671e+47,"USDC",6.07439774899353,5.86657699282434,0.749030724649381,0.954910381024486,0.946996463348837,0.689546224615933,0,0.000175781441525849,0,120,0.723768214258694,0.571161455375354,7.7193181811883e-05,7.7564403231883e-05,-3.7122141999997e-07,1.93268552714291e-06,3.71217903682063e-07
2019-11-30,1.0028709713,1.0131310304,0.9918262988,0.9976578241,1,1,1,1,225316662.19,7694717145.65,0.994934731788545,1.00506526821145,454059447.84784,455125431.66,-0.00539022733486626,1.0030499459,1.0117439628,0.00234217589999996,0.0213547481765298,0.00235911123187262,0.00501827458074164,0.00405134984241543,1.00459377335714,1.00476880196,-0.00690423277656231,1.00371956336157,42.3718811828527,-0.0159479035083363,-0.000253632391283647,38,"Fear",-0.00359660541478793,-0.00323964024355187,-0.00088466385756484,-0.00537572612614198,0.000440184376361374,-0.015355966473828,0.00688523807204839,-0.00975685032835817,0.00176777243689146,-0.00237641715094409,-0.00712074947832032,-0.0139226318297137,0.000467502796806568,-0.0263754155030801,-0.0045404238624019,-0.00728061868724831,0.0127636400826906,0.0166076739061217,0.857404309310759,1.0052275661,1.0023446747,1.0017033446,NA,0.283601044,9.17551056842671e+47,"USDC",5.85662799827243,5.80784506333008,0.675051283633267,0.931633510837797,0.948559601811802,0.680832600400814,0.00161864681126578,0.000372215934661259,2.84412233654276,71,0.671595882078985,0.572867096990938,3.4069251854132e-05,3.3813920924132e-05,2.5533093e-07,1.66900898857148e-06,2.55330802544708e-07
2019-12-01,0.9978691392,1.0111734647,0.981534749,0.996449857,1,1,1,1,195974260.1,7646311475.88,0.994924065551245,1.00507593444876,454728031.489011,456348132.62,-0.00121153662784175,0.9976578241,1.0088790456,0.003550143,0.0297443122619665,0.00210117775376244,0.00501089569928809,0.00402023072269015,1.00281817498571,1.00458800263667,-0.00635042138701273,1.00190213677118,41.3092292669082,-0.00311231530475846,-5.59671328508255e-05,25,"Extreme Fear",-0.00498751309305141,-0.00193219400182352,-0.0103763630914521,-0.00121080301363823,-0.00906838640435992,-0.0197359729851395,-0.0225114888388431,-0.0102355857194581,-0.013957522898907,-0.00528515613972232,-0.0205121971478443,-0.0123198005293174,-0.00735362730394028,0.00213298682312361,-0.0171404564887342,-0.00541383505718208,0.0178663142272632,0.0176308048354083,0.753354036341529,1.0010404802,1.0032080515,1.0024807923,NA,0.2823890555,9.17551056842671e+47,"USDC",5.43968341424172,5.83031131541378,0.656894015589946,0.951296174707815,0.948952460096282,0.703590452338157,0.000324569944823109,0.000378889503962985,0.172988163618691,78,0.59564388295218,0.60803333837919,3.89128010425651e-05,3.76961041825651e-05,1.21669686000001e-06,1.85445164714291e-06,1.21669580911415e-06
