"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","parkinson_daily","parkinson_7d","rvol","close_dai","close_pax","close_usdc","close_ust","close_wluna","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_big_players","big_players_vol_pct","big_player_7d_avg","gross_inflow","gross_outflow","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2020-11-25,0.99980511,1.00116863,0.99945608,1.00005305,0,0,0,0,86889311261.6,1611654474504.38,0.995,1.005,18655472842.8904,18654483312.02,0.000245337079144554,0.99980773,1.00039946,5.30499999999989e-05,0.00171245915404191,0.000587483157317428,0.000786003207537392,0.000560064962069716,0.999890985714286,1.00043765466667,0.00016208195496285,0.999952799691316,47.3687719742523,0.356665304177727,0.000883953561835842,94,"Extreme Greed",-0.000351325021147342,8.53775224826686e-05,0.000622756102477624,0.000245367176747066,0.000932209714749335,0.000709524484357079,0.00143809623692924,0.000851088624025221,-0.00103380183389584,-0.000171679856285397,-0.000552705141721927,-0.000346271678315288,-0.00091516023353274,3.82554400637934e-06,-0.00104068248941174,-0.000904283515535324,0.00102817018769335,0.0010496232263456,1.52187842825497,1.0012392,0.99726133,1.00005264,0.99957196,0.40699868,1.24887514601296e+48,"USDT",9.89003286393901,9.88235184025722,0.694617003528807,0.930850463268446,0.926610423691375,0.693158565351309,0.000394543769976549,6.40279564516866e-05,1.56528904916277,4538,0.829259952835158,0.792653482206193,0.00403704933472896,0.00403704933472896,0,-1.42857080331904e-13,0
2020-11-26,1.00002093,1.00240844,0.99962383,1.00203454,0,0,0,0,114616849233.01,1675676769034.77,0.995,1.005,18996225426.8317,18957655236.64,0.00197942453354542,1.00005305,1.00078094,0.00203453999999991,0.00277895610265087,0.00118388723139538,0.00110097201727438,0.000653705295998188,1.00007007142857,1.00049804566667,0.00196433092795431,1.00047323476849,60.6137429616938,1.03693174331529,0.00297616930588327,93,"Extreme Greed",0.000215862069358675,0.00123836281206689,0.000167841292235695,0.00198138488753164,0.000818942992384407,0.00172790612969178,0.000566804178930371,0.00194279209852753,-0.000378378852783344,0.00157936265097846,-0.000243402323828569,0.0012526217775489,-0.000936372767613951,0.00142990278479278,-0.000559377460517658,0.00181132641836074,0.00167063222590752,0.0012053697587974,1.90458707157875,1.00443507,1.00262449,1.00023493,1.00044145,0.34942642,1.24887514601296e+48,"USDT",10.0012256666482,9.85266498849759,0.698747813010654,0.923475254632087,0.92642456358274,0.689124273300717,1.25338937376489e-05,6.58185126999222e-05,0.025028513979729,4842,0.789776977608213,0.789725004195114,0.00475352874669269,0.00475352874669269,0,0,0
2020-11-27,1.00195524,1.00211233,1.00066364,1.00119989,0,0,0,0,71012323469.37,1692393429054.15,0.995,1.005,18980402374.0661,18957655236.64,-0.000833302419125958,1.00203454,1.00042702,0.00119989000000009,0.00144695381458755,0.00141903461180619,0.0011533139393829,0.000673583523095165,1.00018048142857,1.000526693,0.00101922462031306,1.00065489857637,54.4032053980732,0.761666699761054,0.00210872594058663,86,"Extreme Greed",0.00193426951573903,-0.000295398550315328,0.00104020129252018,-0.000832955319084935,0.00179846855765548,0.00102805645037524,0.00183172570058053,0.00139242772207821,0.00117338365776627,0.00124923313605215,0.000452024387801548,0.000772540109922298,0.00173204408325793,0.00156151123128328,0.00060417409393348,0.00085912749286256,0.000868821252066094,0.00124055337101982,1.16569069347399,1.00269751,0.99869085,1.00076925,0.99951533,0.38394561,1.24887514601296e+48,"USDT",10.4307210574442,9.95114551614318,0.714386935224421,0.921863927904932,0.925286736045889,0.692220282641405,4.52830872197543e-06,6.64654139459187e-05,0.039450984541239,4472,0.800126070220314,0.789061281712813,0.00313515553414316,0.00313515560192078,-6.77776159849208e-11,-9.6825165692744e-12,6.77775613388344e-11
2020-11-28,1.00118067,1.00158272,1.00089788,1.00100063,0,0,0,0,59622219574.79,1706116286024.14,0.995,1.005,19057337380.3126,19038287104.76,-0.000199041003803068,1.00119989,0.99887395,0.00100063000000005,0.000684155413568652,0.00147532101312824,0.000917033616788347,0.000674861959874528,1.00048429285714,1.00054841233333,0.000516087205509857,1.00074133143227,53.0068671364802,0.685436755853467,0.00191195804423257,87,"Extreme Greed",-0.000773058485127458,-0.000528493647014671,0.000234084652061447,-0.000199021196456618,0.00137582813514531,0.000413606646864309,0.00144258465064312,0.000947529733547694,0.000753328313743515,0.00108294935919149,0.00226206892463397,0.00212907744765999,0.000839914034468753,0.000889914010421072,0.000863480322181172,0.000651352645359122,0.0004107788622288,0.00117669194430056,0.960504424739201,1.00236246,1.00069141,1.00004266,0.99932532,0.3849632,1.24887514601296e+48,"USDT",10.0081231674502,9.9625696775583,0.6726771249326,0.915754066360087,0.925262108040945,0.689773761341085,0,6.64654139459187e-05,0,3516,0.787242721950865,0.79001650101983,0.00208977920326117,0.00208977920326117,0,-9.6825165692744e-12,0
2020-11-29,1.00098106,1.00133848,1.00059867,1.00088981,0,0,0,0,56283936387.92,1714090160690.38,0.995,1.005,19126891187.7666,19109887104.76,-0.00011071534975022,1.00100063,0.99920264,0.000889810000000102,0.000739152294896485,0.000394170233308799,0.000929990705201074,0.000667627747561483,1.00072531714286,1.000547926,0.000164373634128261,1.00077845107421,52.2043477601777,0.640403331857209,0.00179922194626577,89,"Extreme Greed",-0.000199374604385967,-0.000243854047322229,-0.000298941586328351,-0.000110709221032115,0.000960109904899638,-0.00106738925701775,0.000975206843558374,-0.00114240572984621,0.00210948538601889,0.000879296596307585,0.0025829521013104,0.00168851635540121,0.000631789473884046,0.000247699880802972,0.000438799879779191,-1.45768167268777e-05,0.000443871282220283,0.0010516846004692,0.899355218019032,1.00390913,1.00371065,1.00007259,0.99964099,0.38011206,1.24887514601296e+48,"USDT",10.2158768435445,9.99453138789639,0.70346789129423,0.90396264117395,0.923878869705364,0.686634029071922,1.76675323757531e-05,6.89893471424548e-05,0.162692939551049,3328,0.746672907902607,0.78778069708825,0.0016163479886149,0.0016163479886149,0,-9.6825165692744e-12,0
2020-11-30,1.00092773,1.00116678,0.99998021,1.00037696,0,0,0,0,78422057481.18,1749997794082.94,0.995,1.005,19134597303.7246,19127387104.76,-0.000512525385335239,1.00088981,1.00009157,0.000376960000000093,0.00118612287911937,0.00021115759648712,0.000917987429829235,0.000661573040377361,1.00076608714286,1.00055381066667,-0.000388829265755842,1.00067807830565,48.541699097175,0.470394598315932,0.0012921388692284,88,"Extreme Greed",-5.32777313489564e-05,-0.000171470490178414,-0.000618089968078798,-0.000512394066635576,-0.00102550489181545,-0.000943556896461082,-0.000682976749310017,-0.000821943757904328,0.00172646661542035,0.000487089091155049,0.000923520362530488,0.000285363869230658,2.33089194131598e-05,0.000245763703239723,-0.000145941586549915,0.000176504624943072,0.000712199548930281,0.00102124607481597,1.21443842209031,1.00644711,1.00032731,1.00019227,0.99770842,0.39824063,1.24887514601296e+48,"USDT",9.67014330357383,10.0110066477832,0.666069156291255,0.929026239435958,0.922237408761317,0.70685908448751,1.2815966986069e-05,6.37648870951261e-05,0.103383651557325,5035,0.783880566011007,0.788551207962978,0.00495180522100986,0.00495180522100986,0,-9.6825165692744e-12,0
2020-12-01,1.00036943,1.00182816,0.99974391,1.00132273,0,0,0,0,91231924619.41,1806868077934.56,0.995,1.005,19379236733.982,19353637102.75,0.000944966994902281,1.00037696,0.99980773,0.00132273000000004,0.00208149674181482,0.000752794854299437,0.000962003614935102,0.000682926666989154,1.00098251571429,1.00058527933333,0.000339880347931471,1.00083924122924,54.8348977687108,0.801150059978681,0.00225709709483454,95,"Extreme Greed",-0.000557782528414925,0.000660609214381,-0.000236304676469625,0.000945413616882937,-0.000810283322789495,0.000245052151059516,-0.00115293480289912,0.000321778019260579,0.000212906682233237,0.000744193918914784,0.00091092208961031,0.00151529134506696,0.000168976133803066,0.00128835543470161,-0.000376084854774174,0.000943702648118372,0.00125073701960494,0.0010028764783422,1.36161131518741,1.00468244,0.99782219,1.00022674,0.99996315,0.38902112,1.24887514601296e+48,"USDT",9.44900247225629,9.9521607678366,0.681641990166584,0.936128479816026,0.923008724655927,0.696908284412792,0,6.31556388282851e-05,0,5232,0.737298443951285,0.782036805782778,0.00536448810047227,0.00536448810047227,0,-9.6825165692744e-12,0
2020-12-02,1.00133498,1.00153366,1.00024433,1.00067079,0,0,0,0,65320503080.74,1825111077815.08,0.995,1.005,19417653464.1247,19404637102.75,-0.000651290842384989,1.00132273,1.00005305,0.000670790000000032,0.00128846571008641,0.000884267962179423,0.0010156885211145,0.000693752607125881,1.00107076428571,1.00059019533333,-0.000399546465628488,1.00079712842193,50.2709576639182,0.56652964560102,0.00159912470085302,92,"Extreme Greed",0.000965193428591768,-0.000293962589352735,0.000500548185384741,-0.000651078798540824,0.000353573123551416,0.000194919104676734,-0.000354127994193836,-0.000218825287071381,0.00153016821448325,0.000364603912929222,0.000788678978269795,0.000617707230631448,0.000955948011166683,0.000881295580353633,0.000149825842956056,0.000147402862608057,0.000773633928043536,0.000969661512034196,0.959352841891027,1.0037464,1.00293455,1.00005216,0.99985995,0.40816157,1.24887514601296e+48,"USDT",10.4227262921633,10.0282598290115,0.743383328272303,0.915372945041428,0.920797650623495,0.681946629627495,5.19553391904319e-06,7.53446224864137e-06,0.0506506601733195,4120,0.792408963926902,0.776772378795885,0.00323842264378887,0.00323842264378887,0,-9.6825165692744e-12,0
2020-12-03,1.00053399,1.0012006,1.0003898,1.00083972,0,0,0,0,53438971741.08,1833530880729.04,0.995,1.005,19466986494.6036,19450653386.47,0.000168802511460431,1.00067079,1.00203454,0.000839720000000099,0.000810119726263462,0.000798229655495942,0.000598780681496976,0.000694389247907599,1.00090007571429,1.00059977566667,-6.03014384254903e-05,1.00080777631645,51.3997276129392,0.617074395212007,0.00175058702651127,92,"Extreme Greed",-0.000799922119968175,-0.000332549981395529,0.000145434465997015,0.000168816759406025,-0.000393375054160813,3.37805854885369e-05,0.000409598105946476,0.000462585623723288,0.000513049261879014,-0.0012049379791734,0.000766258243363411,-0.00119239402665682,1.06744139725757e-05,0.000428149417272,0.000461332985308447,0.00028725134820797,0.000486548148068146,0.000758515580552938,0.779143254904682,1.00366453,1.00145126,0.99998822,0.99979456,0.5024722,1.24887514601296e+48,"USDT",9.75118288699032,9.99253943191752,0.660396864832924,0.925853302410532,0.921137371734702,0.698800566053905,0.00178921359802335,0.00026134584857517,2.8908414190099,3900,0.790193967628763,0.77683194879882,0.00350009901738548,0.00350009902748548,-1.00999998295381e-11,-1.11253736877798e-11,1.0099920899569e-11
2020-12-04,1.00082857,1.00121251,0.99992655,1.00023672,0,0,0,0,57391362136.99,1839570753923.77,0.995,1.005,19537072294.6854,19532448591.25,-0.000602675646165599,1.00083972,1.00119989,0.000236719999999968,0.00128565565959229,0.000460089682203179,0.000561408079045189,0.00069601944493567,1.00076248,1.00057170966667,-0.000525359423946582,1.00066501223734,47.2747657124297,0.405347333970326,0.00115143947401971,92,"Extreme Greed",0.0002944227811789,1.18957180009719e-05,-0.000463069495510676,-0.000602494073676583,0.000458970442549434,-0.000614526547147645,0.000182686784258592,-0.00108457539958179,-0.00112447138856233,-0.00089792328969758,-0.000736601162004843,-0.000962015686997453,0.000276107503064899,8.53038531739513e-05,-0.000119254536949728,-0.000841072734841058,0.000771858196310441,0.000743383760609056,0.824883075386019,1.00360458,0.99876073,1.00005416,1.00069198,0.45094279,1.24887514601296e+48,"USDT",10.1752360608915,9.95604157526713,0.714652600532557,0.919305358376053,0.920771861802005,0.689550938184135,0,0.000260698947329174,0,4181,0.792313802281256,0.775715910521812,0.00340591354439246,0.00340591354439246,0,-1.44285711850544e-12,0
