"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","parkinson_daily","parkinson_7d","rvol","close_pax","close_usdc","close_usdt","close_ust","close_wluna","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_big_players","big_players_vol_pct","big_player_7d_avg","gross_inflow","gross_outflow","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2020-11-25,1.00112974,1.00282704,0.99985852,1.0012392,1,1,1,1,135982584.6,4136772146.17,0.993770601224779,1.00622939877522,1046331677.8232,1045036666.79,0.000171672017093487,1.00106733,0.9996466,0.0012392000000001,0.00296484596288271,0.00109084243242545,0.00125352771200919,0.0027932246744616,1.00191238714286,1.00471829666667,-0.000671902205717441,1.00181025512081,43.3570047627594,0.262679355792813,0.00304396501788947,94,"Extreme Greed",-0.00110638325045552,-0.000274139610703495,0.000366185831985994,0.000171686753577489,-0.00151089424375607,-0.000128221024810264,-0.000798215364969351,-0.00028174136713625,-0.00162431925037506,-0.000984513774750182,0.000350972776878586,0.00159316302381267,0.00426489431767684,-0.0086422259276862,0.00454222827560187,-0.00527039014525818,0.00178038858194799,0.00218651492883746,1.302481656082,0.99726133,1.00005264,1.00005305,0.99957196,0.40699868,6.11382286831621e+47,"DAI",6.85316816937184,6.63282768558598,0.689288054925715,0.911533439051917,0.929132285961956,0.693595755797813,0,2.87739821221719e-05,0,376,0.898334188340019,0.819071033621471,285613268.936494,285825354.502387,-212085.565892696,7732238.11912641,0.0113131430962459
2020-11-26,1.00117974,1.02000011,1.00065688,1.00443507,0,0,1,1,338992662.68,4354685541.04,0.993876293037986,1.00612370696201,1016911191.53242,1012421031.59,0.00318683123430835,1.0012392,1.00146166,0.00443506999999998,0.0192578202192801,0.00228421555999593,0.00160205570967786,0.00284693907750103,1.00233716,1.00469872533333,0.00209301828139349,1.0024664588406,50.8824720265532,0.558810169105655,0.00608808877864316,93,"Extreme Greed",4.99435767434933e-05,0.0171246579071104,0.000798472967955504,0.00319191457945302,-0.000341809741646589,0.0168647904542965,0.000913303979346429,0.00206759512044443,0.00153514476147,0.0159051689677696,0.00287414447476062,0.00296907022880942,-0.00533149925943782,0.0078489289951238,5.0259513081857e-05,-0.000584205994810732,0.011498387333368,0.00465453215736779,2.91957286329082,1.00262449,1.00023493,1.00203454,1.00044145,0.34942642,6.11382286831621e+47,"DAI",5.89721655467124,6.48864868282403,0.620843644940282,0.940976409133762,0.92830223222385,0.709112674264107,0,1.39900493003626e-05,0,400,0.870427962458141,0.829977056857129,1631395753.45875,1678441422.29804,-47045668.8392901,624189.827928849,5.40637753400188
2020-11-27,1.00419543,1.00520899,1.00130073,1.00269751,0,1,1,1,92986943.76,4331902094.7,0.993865576016543,1.00613442398346,1017527955.57165,1014790551,-0.00173138581015563,1.00443507,1.00308993,0.00269750999999995,0.00389774579174929,0.00247997557432413,0.00168283948258835,0.00273947275788142,1.0022811,1.004475132,0.000415462288972547,1.00252422163045,47.210014490852,0.419544972348271,0.00410383586375582,86,"Extreme Greed",0.00301213646213018,-0.0145010964753719,0.000643427345445436,-0.0017298878263978,0.00195245922477932,0.00210044435858644,0.00180912809632641,0.0016284419150908,0.00273599789186837,0.000948562547856897,0.000410814559908411,-0.000391211184823738,-0.000822737963127818,-0.00632082841655009,0.000887793722943863,-0.00664529890376745,0.00233953743414861,0.00467605779277957,0.805444745682701,0.99869085,1.00076925,1.00119989,0.99951533,0.38394561,6.11382286831621e+47,"DAI",3.85316604731028,6.12932682937887,0.502819355216961,0.986145528877773,0.934088259319758,0.716810498377493,0.0106341079165026,0.00153314832308645,4.67601142040623,266,0.917629059183429,0.844758009362324,1599575169.16007,1595224431.09315,4350738.06691837,385907.253519533,0.0884494563010506
2020-11-28,1.00282157,1.0057985,1.00100921,1.00236246,0,1,1,1,82838265.96,3189877304.37,0.99320678530412,1.00679321469588,1019334637.14335,1016932173.29,-0.00033420447082032,1.00269751,1.00264463,0.00236246000000006,0.00477800216101463,0.00253438575820104,0.00167912575897138,0.00269934955693484,1.00224079,1.00416453766667,0.000121397972637079,1.00248378122284,46.5128804163115,0.405167360285761,0.00345763634902587,87,"Extreme Greed",-0.00136812014768873,0.000586455160931221,-0.000291141303771934,-0.00033414863072702,0.00168992082884277,0.0029630832451428,0.00115085282265747,0.00112186977896986,-0.000267593139873768,0.00191481766886297,-0.000749520805905375,-0.000281425733063539,-0.00652299522871831,-0.0097678113727144,0.00572543875800306,-0.00921025159045044,0.00286651004662133,0.00477597167567847,0.716341646206042,1.00069141,1.00004266,1.00100063,0.99932532,0.3849632,6.11382286831621e+47,"DAI",7.00858084643263,6.39103124637394,1.03633525127415,0.936719099198604,0.929530090876725,0.667718012591013,0,0.001526582895316,0,326,0.793916141642453,0.83004266059878,209608928.356987,207679687.156508,1929241.200479,-2058215.36633741,0.367021107230842
2020-11-29,1.00223282,1.00579343,1.00137469,1.00390913,1,1,1,1,80972759.24,3188319879.22,0.993205679371466,1.00679432062853,1033591986.38458,1029567273.19,0.00154183542658099,1.00236246,1.00152137,0.00390913000000003,0.00440153383205109,0.00164243815998512,0.00169503193069907,0.00261011973598621,1.00258189857143,1.00405056533333,0.00132381347644781,1.00284011841713,50.1708365730017,0.618192985537546,0.0047385415049996,89,"Extreme Greed",-0.000587093474664828,-5.04077108889248e-06,0.000365111525796969,0.00154302466594766,0.00105183910333616,-0.0139281161450071,0.000717338794492715,-0.000523617718763988,-0.000410723787549855,0.00282942723169697,0.000716958771677635,0.00238413285180321,-0.00933929572537993,-0.0118802575745749,0.00981105548191813,-0.00339429558367408,0.00264425094935794,0.00485155331706077,0.702852523099525,1.00371065,1.00007259,1.00088981,0.99964099,0.38011206,6.11382286831621e+47,"DAI",6.42376786489699,6.29151135544753,0.650523823702071,0.932786187356552,0.933671987668488,0.690992411083327,0,0.001526582895316,0,246,0.751449506561937,0.81966906959355,193309854.728352,177307186.574457,16002668.1538943,-847684.90450292,2.22945454350846
2020-11-30,1.00404727,1.00703401,1.0032157,1.00644711,1,1,1,1,163131514.35,3281500131.98,0.993270607528125,1.00672939247187,1053445327.28935,1046697155.02,0.00252490707650363,1.00390913,1.00236259,0.00644711000000008,0.00379385062767977,0.0014526111205667,0.00188664819640174,0.00264493465190014,1.00316540142857,1.00406161766667,0.00327135342462506,1.00374186631285,55.543611868934,0.951265456646719,0.00727032655291232,88,"Extreme Greed",0.00181040768551177,0.00123343418538729,0.00183848265627716,0.00252809733884983,-0.000147541002053707,0.00181556275178144,0.00191248237679788,0.00373951262729288,0.00252136231006872,0.00393854620172522,0.00347277969142907,0.00407489269925781,-0.00325716055033886,-0.00613249819701052,0.00897672503530471,0.000329554595688056,0.00228143956311651,0.00486909997667011,1.36389594208269,1.00032731,1.00019227,1.00037696,0.99770842,0.39824063,6.11382286831621e+47,"DAI",5.90529124297866,6.12106589641769,0.651946708519229,0.92965158421869,0.935489779161427,0.691412022366286,2.90537203288881e-05,0.00153073342679156,0.255058568345948,535,0.908427508701977,0.846488885598277,954735853.747566,952300967.320053,2434886.42751276,-557033.541595971,0.141634118235372
2020-12-01,1.00663737,1.0082787,1.00420515,1.00468244,0,0,0,0,169476641.7,3374244396.07,0.993332835742072,1.00666716425793,1062264757.46546,1057313953.15,-0.00175490480251406,1.00644711,1.00106733,0.00468244000000006,0.00405456474386073,0.00224171495834462,0.0019693712593473,0.0023285550935952,1.00368184571429,1.004244707,0.000996923766218187,1.00397700973464,51.3941766822196,0.776510944562824,0.00511815333084554,95,"Extreme Greed",0.00257965942181181,0.00123599599183353,0.000986278424470489,-0.00175336585744682,0.00380506374628532,0.00246590147032426,0.00319271787719106,0.00231451205784383,0.00438894490792899,0.00516066147329,0.00471502277976027,0.00361125559856213,0.000518668069858733,-0.00391181567417145,0.00507472054672263,0.00549713399785045,0.00243124379385313,0.00488702342904927,1.36548596782345,0.99782219,1.00022674,1.00132273,0.99996315,0.38902112,6.11382286831621e+47,"DAI",6.36039949819563,6.04308431769389,0.730948443313285,0.927064420057894,0.937839523985026,0.691701037478997,0,0.00152330880526164,0,348,0.839455023967439,0.854234198693629,604555413.86501,581913250.666787,22642163.1982228,14563.2345492146,2.33205258572963
2020-12-02,1.00491076,1.00574607,1.00310691,1.0037464,0,0,0,1,105698786.15,3396161913.66,0.993347209141232,1.00665279085877,1076028394.38604,1072012202.92,-0.000932111757339503,1.00468244,1.0012392,0.00374640000000003,0.0026293095546843,0.00227100408529336,0.00204420605096324,0.00233390309061271,1.00404001714286,1.00441439433333,-0.000292435697625548,1.00391935730098,49.2907104963985,0.653760905427967,0.00408979958859142,92,"Extreme Greed",-0.0017152254142919,-0.00251183526935551,-0.0010936410752324,-0.000931677476118749,0.00267197396309582,-4.70872035820922e-05,0.00172984200349628,-0.000162096344317538,0.00377675325078237,0.00291080104900258,0.00324884964724819,0.00250409692309283,0.00572791393006819,-0.006465119479272,0.00911322253847463,0.00509747212397854,0.00157799304961146,0.0048770785244334,0.844263067154069,1.00293455,1.00005216,1.00067079,0.99985995,0.40816157,6.11382286831621e+47,"DAI",5.73897170171978,5.8839133937436,0.643054837441115,0.959382020328102,0.94467503559591,0.710372238567844,0,0.00152330880526164,0,287,0.80047255544849,0.840253965423411,715001625.391473,659163261.970829,55838363.4206438,8021770.23262586,1.24303669764614
2020-12-03,1.00377512,1.0053754,1.00296657,1.00366453,0,0,0,1,91760700.2,3397923345.21,0.99334835890831,1.00665164109169,1080757071.38388,1076811060.76,-8.15677535894326e-05,1.0037464,1.00443507,0.00366452999999999,0.00240003499974242,0.000836706875873765,0.00161930243057158,0.00144565611476573,1.00392994,1.00425113433333,-0.000264371037684295,1.00385565047573,49.1014191622799,0.654155024085403,0.00395721340610823,92,"Extreme Greed",-0.00113009039728064,-0.000368552272841721,-0.000139905326741477,-8.15644270306119e-05,-0.000271052975424182,-0.00164702481100912,-0.000248331440586548,-0.00276475531833967,0.00259232173435715,-0.0143379494341428,0.00230817380678972,-0.000767137690642349,0.00512759959546364,-0.00426251241768229,0.00473275957607594,-0.00485621944654621,0.00144064164499935,0.00227921670804358,0.729326634924987,1.00145126,0.99998822,1.00083972,0.99979456,0.5024722,6.11382286831621e+47,"DAI",7.40061214262902,6.09868419202328,0.828339479401558,0.914253080339791,0.940857417196771,0.66929552108605,0.000761614623000762,0.00163211089426175,2.15363791162367,293,0.775763530238376,0.826730475106301,275757708.881154,281881164.351812,-6123455.47065884,13867800.7138589,0.104057219588652
2020-12-04,1.00370613,1.00477251,1.00236363,1.00360458,0,0,1,1,114181887.81,3422744186.6,0.993364476582781,1.00663552341722,1073432519.84621,1069577140.92,-5.97328975165181e-05,1.00366453,1.00269751,0.00360457999999996,0.0024002281854871,0.000497484796806391,0.00145522318922057,0.00144569607431302,1.00405952142857,1.004088488,-0.000453102051085786,1.0037928828568,48.953168874735,0.638899778285763,0.00389269923152774,92,"Extreme Greed",-6.87305339864725e-05,-0.000599666552414065,-0.000601156626785507,-5.97311135425208e-05,-0.00291191255893857,-0.0034774016350836,-0.00183380855993412,-0.00107283650742427,-0.000487255752597793,-0.000434218161936726,0.00106151925006584,0.00090462975219716,-0.0048145285840071,-0.00409487980445316,-0.00430428532032389,-0.00483834165455295,0.00144153706347811,0.00217020062651141,0.893003761954604,0.99876073,1.00005416,1.00023672,1.00069198,0.45094279,6.11382286831621e+47,"DAI",5.6900274079753,6.36109295783257,0.570328844628068,0.94971521088357,0.935653086054742,0.712299832297086,0.000676132521974307,0.000209542980757707,0.579265633850098,306,0.887852286124446,0.82247665038359,444575294.445898,437593819.386538,6981475.05935973,14243620.2842077,0.760861892157895
